[2020-12-03 21:51:13+00:00; guilhermemacalossi; Dentro do Capitólio. #tbt de uma baita viagem em 2018.; https://www.instagram.com/p/CIWfDDQhTK4/]
[2020-11-30 15:02:54+00:00; guilhermemacalossi; Apresentando ontem a apuração dos votos do 2° turno da eleição. Cobertura da @rdctvdigital para todo RS.; https://www.instagram.com/p/CIOB738BZcJ/]
[2020-11-19 18:02:36+00:00; guilhermemacalossi; Tbt do último domingo, dia do 1° turno da eleição municipal. Das 14 até a 00:30 na @rdctvdigital acompanhando os resultados na companhia do brilhante colega Armando Burd, referência do jornalismo.; https://www.instagram.com/p/CHyBwXJB7yl/]
[2020-11-07 23:57:16+00:00; guilhermemacalossi; Mais fotos dos bastidores do debate entre os candidatos a prefeito de POA. Aqui com a equipe de produção da @rdctvdigital que viabilizou essa noite histórica. Só gente de gabarito.; https://www.instagram.com/p/CHTwzifhD3Y/]
[2020-11-02 13:57:11+00:00; guilhermemacalossi; Para espairecer a mente ... sol, mar e charuto.; https://www.instagram.com/p/CHF0KDcBaih/]
[2020-10-29 20:54:03+00:00; guilhermemacalossi; Debate de ontem entre os candidatos a prefeito de Porto Alegre, que tive a enorme satisfação de moderar. Sem dúvida um dos grandes momentos de minha vida profissional. Evento organizado pela @rdctvdigital e pelo @lideriograndedosul. Fotos de @rodrigo_farias.; https://www.instagram.com/p/CG8QryFBVNe/]
[2020-10-27 20:51:21+00:00; guilhermemacalossi; Meu home office de todo dia. Primeiro, gravação na @radiosonorafm, depois coluna na @gazetadopovo e participação no Portal @rdctvdigital.; https://www.instagram.com/p/CG3GyQghpd_/]
[2020-10-15 22:08:43+00:00; guilhermemacalossi; Da última viagem a Sampa, em março de 2020. Boas lembranças. Foto no Pateo do Collegio, epicentro histórico da cidade. #tbt; https://www.instagram.com/p/CGYWGYwhHC5/]
[2020-10-12 15:12:07+00:00; guilhermemacalossi; Tarde de aventuras na chácara da @vesinhor.; https://www.instagram.com/p/CGP4CeGB9Z_/]
[2020-10-02 20:07:26+00:00; guilhermemacalossi; Um apresentador em seu estúdio não quer guerra com ninguém. Ou quer. Foto do grande @rivapontodevista.; https://www.instagram.com/p/CF2p4ssB6Tj/]
[2020-09-16 21:26:46+00:00; guilhermemacalossi; Qualquer ocasião serve para uma foto com essa vó maravilhosa. @mariamdteixeira; https://www.instagram.com/p/CFNmPwZhHed/]
[2020-09-12 16:50:47+00:00; guilhermemacalossi; Foto da Yumi de quando ela ainda era novinha. Como o tempo correu rápido! Um ano atrás ela nos deixou e hoje está em nossos corações e nas memórias da nossa família. Sempre a amaremos.; https://www.instagram.com/p/CFCze6GhZRE/]
