[2020-11-28 22:17:35+00:00; roxmo; Vontade; https://www.instagram.com/p/CIJqEXRpZ5_/]
[2020-11-19 03:23:50+00:00; roxmo; Hoje, no YouTube.; https://www.instagram.com/p/CHwdMKfJLjS/]
[2020-11-03 00:06:27+00:00; roxmo; None; https://www.instagram.com/p/CHG53PqpWxi/]
[2020-10-31 19:54:40+00:00; roxmo; Hoje faz 39 anos que fizemos nossa primeira apresentação em uma festa de Halloween, com Leôspa na bateria, Fábio na guitarra e Edu no baixo. Infelizmente, não tenho fotos da apresentação, mas eu me apresentei assim.; https://www.instagram.com/p/CHBTenCJw5P/]
[2020-10-31 14:11:49+00:00; roxmo; None; https://www.instagram.com/p/CHAsOBwJUxw/]
[2020-10-25 17:51:20+00:00; roxmo; Cosplay; https://www.instagram.com/p/CGxomBnpLeu/]
[2020-10-23 02:04:37+00:00; roxmo; Dica!; https://www.instagram.com/p/CGqyn5XJHad/]
[2020-10-11 20:17:07+00:00; roxmo; None; https://www.instagram.com/p/CGN2Io6pgsP/]
[2020-10-07 17:21:31+00:00; roxmo; None; https://www.instagram.com/p/CGDOpafpIsT/]
[2020-10-04 19:17:46+00:00; roxmo; None; https://www.instagram.com/p/CF7tqAWp34S/]
[2020-09-27 12:25:08+00:00; roxmo; None; https://www.instagram.com/p/CFo89nbJMut/]
[2020-09-25 04:58:00+00:00; roxmo; None; https://www.instagram.com/p/CFjAPrzJG2z/]
