[2020-03-14 19:38:43+00:00; rubensvalente; perto de Catalão, GO, três dias atrás; https://www.instagram.com/p/B9ueBkGnfgs/]
[2020-02-29 11:54:55+00:00; rubensvalente; a Serra do Roncador, MT; https://www.instagram.com/p/B9Jl0c1HRMd/]
[2020-02-26 14:06:23+00:00; rubensvalente; terra indígena xavante Areões, MT; https://www.instagram.com/p/B9CGem4ngvv/]
[2020-02-26 13:56:26+00:00; rubensvalente; cacique xavante Pedro na terra indígena Areões, MT; https://www.instagram.com/p/B9CFVvEHwL4/]
[2020-02-23 12:10:13+00:00; rubensvalente; o Guardião da Serra do Roncador; https://www.instagram.com/p/B86KzO4HwBU/]
[2020-02-22 18:21:31+00:00; rubensvalente; onde o rio Araguaia, â esq., encontra o rio das Garças; https://www.instagram.com/p/B84Qf3knX4U/]
[2020-02-01 18:35:56+00:00; rubensvalente; que calor; https://www.instagram.com/p/B8CNThmn0Q7/]
[2020-01-25 15:33:46+00:00; rubensvalente; Brumadinho, ano 1. Gravei este vídeo na manhã seguinte. Por um instante veio uma esperança, as pessoas acharam que havia alguém pedindo socorro na lama -eu também achei. Mas não havia ninguém, era só um galho de árvore balançando com o vento. Uma mulher começou a chorar e rezar, dizendo que era o parente dela que, enfim, havia sido encontrado. Foi para mim um dos momentos mais tristes entre tantos; https://www.instagram.com/p/B7v2vYgnAMz/]
[2020-01-25 15:27:21+00:00; rubensvalente; Brumadinho, ano 1. No 7º dia das buscas, os bombeiros fizeram uma homenagem com pétalas jogadas dos helicópteros e uma oração na lama. Naquele momento ficou claro, pelo menos aos jornalistas, que não havia mais sobreviventes. Parentes caíram em prantos. Nós nunca poderemos esquecer; https://www.instagram.com/p/B7v2TqGnNFf/]
[2020-01-21 01:28:58+00:00; rubensvalente; últimos dias de dezembro nas proximidades da Praça Baquedano, Santiago do Chile.; https://www.instagram.com/p/B7kDLoKnw_8/]
[2020-01-20 19:31:01+00:00; rubensvalente; Raoni Metuktire fala aos líderes indígenas reunidos na aldeia kayapó Piaraçu, MT (17.01.2020).; https://www.instagram.com/p/B7jaN6bHJ_r/]
[2020-01-18 22:00:27+00:00; rubensvalente; os kayapós dançam ao redor e em homenagem ao cacique Raoni Metuktire, atacado por Jair Bolsonaro. Encontro com 600 indígenas de 45 etnias na aldeia Piaraçu, em Mato Grosso, de 13 a 17/01.; https://www.instagram.com/p/B7ehkRJHuT4/]
