2019-12-30 13:33:37+00:00; alexandregarcia; Minha resposta às mulheres. E a uma operadora de call center https://t.co/3OaOyOiQxO via @YouTube; 19; 84; 1048; 0; https://twitter.com/alexandregarcia/status/1211641492009373696; None; None
2019-12-28 18:25:35+00:00; alexandregarcia; Putz, Aguinaldo, a Lolita já estava com 73! James Mason estaria com 110. Bom mesmo é ser ageless. https://t.co/8CWS5QGOM1; 17; 45; 829; 1; https://twitter.com/alexandregarcia/status/1210990193832026115; None; https://twitter.com/aguinaldaosilva/status/1210984308531499008
2019-12-28 18:19:39+00:00; alexandregarcia; E o cara que filmou? E o equipamento à prova d’água que registrou? Believe it or not... https://t.co/8wTb7KgJjH; 421; 1042; 8660; 75; https://twitter.com/alexandregarcia/status/1210988696884920320; None; https://twitter.com/Miltonneves/status/1210753755743801345
2019-12-28 18:12:14+00:00; alexandregarcia; Meu artigo semanal, publicado em 34 jornais: Podemos torcer para o Brasil, time de que somos sócios perpétuos https://t.co/M02S9nN1hL via @YouTube; 29; 263; 2194; 5; https://twitter.com/alexandregarcia/status/1210986833880002565; None; None
2019-12-25 17:43:18+00:00; alexandregarcia; Olhem aí o que ganhei de Natal de um Amigo. Primeira vez que vejo esse paradoxo: TREvo QUADRIfolio. Dizem que atrai boa sorte. https://t.co/qfVWqN9Ke4; 173; 201; 3958; 14; https://twitter.com/alexandregarcia/status/1209892388874919937; None; None
2019-12-25 17:39:28+00:00; alexandregarcia; Vi a posição de uma gentil senhora contra “o assassinato de perus” nas festas de fim-de-ano. Por analogia, ela deveria defender o fim do aborto de galináceos, proibindo o consumo de ovos.; 689; 2524; 20794; 126; https://twitter.com/alexandregarcia/status/1209891420707971072; None; None
2019-12-25 17:30:37+00:00; alexandregarcia; Leio na propaganda: “se você possui 10 minutos”... Se eu possuísse 10 minutos, eu seria deus. Tempus fugit. Nós só possuímos o presente, o momento, o agora. E ele logo nos foge; é passado. E quanto ao futuro, que ainda não chegou, só nos resta estarmos preparados para surpresas.; 120; 903; 8082; 35; https://twitter.com/alexandregarcia/status/1209889195885547523; None; None
2019-12-25 02:25:35+00:00; alexandregarcia; Na política, a esquerda foi quem mais perdeu neste ano - no mundo e no Brasil. E Sérgio Moro, único no Brasil a ser destaque mundial da década https://t.co/s3ziX9LYJy via @YouTube; 181; 1807; 11393; 43; https://twitter.com/alexandregarcia/status/1209661437959974912; None; None
2019-12-24 21:18:22+00:00; alexandregarcia; É comemoração do maior aniversário do mundo. Faz 2019 que Ele nasceu, para trazer um novo mandamento: “Amai-vos uns aos outros”. A prática desse princípio resulta em paz, harmonia e felicidade. É isso que se deseja aos nossos próximos quando se diz, como digo agora, FELIZ NATAL!; 785; 2967; 24084; 83; https://twitter.com/alexandregarcia/status/1209584122131369990; None; None
2019-12-24 00:12:19+00:00; alexandregarcia; O repórter Felipe Pereira, UOL, mostra que o jornalismo vive. Fidelidade numa entrevista: https://t.co/pld5loXdaQ; 23; 203; 2231; 2; https://twitter.com/alexandregarcia/status/1209265510958981120; None; https://twitter.com/alexandregarcia/status/1209265022708469760
2019-12-24 00:10:23+00:00; alexandregarcia; Acho uma arrogância alguém pensar que é influenciador, diz Alexandre Garcia - 23/12/2019 - UOL Notícias https://t.co/qQMSUzBH1I; 467; 2077; 17903; 134; https://twitter.com/alexandregarcia/status/1209265022708469760; None; None
2019-12-23 23:33:28+00:00; alexandregarcia; @Metropoles Herói.; 20; 49; 1368; 1; https://twitter.com/alexandregarcia/status/1209255733797236737; None; None
2019-12-22 17:07:56+00:00; alexandregarcia; Quando penso que já vi tudo nesse quase meio século de jornalismo, abro o jornal de vésperas de Natal e vejo manchete - e página inteira - sobre preço mais caro de enterro e sepultura. Parece sabotagem de quinta-coluna contra o velho e bom jornalismo impresso.; 344; 2039; 16832; 43; https://twitter.com/alexandregarcia/status/1208796321748078592; None; None
2019-12-22 00:33:18+00:00; alexandregarcia; Enquanto na Argentina, o agro se desespera, do Brasil, alimentos para o mundo https://t.co/i18IYuSdTx via @YouTube; 147; 1538; 8787; 26; https://twitter.com/alexandregarcia/status/1208546017697816576; None; None
2019-12-21 17:17:21+00:00; alexandregarcia; Never!!!!! https://t.co/ReJVsDC4r0; 28; 53; 802; 1; https://twitter.com/alexandregarcia/status/1208436303253118976; None; https://twitter.com/JamileSalim/status/1208432977509793799
2019-12-21 17:09:12+00:00; alexandregarcia; Em 20 anos pensaremos assim sobre o “aquecimento“. https://t.co/sKvWX5OG0r; 502; 1655; 11730; 97; https://twitter.com/alexandregarcia/status/1208434253396140032; None; https://twitter.com/gugachacra/status/1208184349591556097
2019-12-21 17:08:10+00:00; alexandregarcia; Empresas da Califórnia seriam prejudicadas. Os custos são menores com aço brasileiro. Passar pelo Canal é mais barato que atravessar USA de leste a oeste. https://t.co/z79G7ohFv0; 25; 273; 2194; 8; https://twitter.com/alexandregarcia/status/1208433994590806023; None; https://twitter.com/ernestofaraujo/status/1208164526480334848
2019-12-21 17:02:57+00:00; alexandregarcia; Um inferno entrar em lojas que agridem nossos ouvidos com poluição sonora! Entro, mas saio imediatamente. E os funcionários, sujeitos à surdez, não são protegidos pelos fiscais do trabalho?; 744; 1705; 18027; 81; https://twitter.com/alexandregarcia/status/1208432679592566791; None; None
2019-12-20 20:20:58+00:00; alexandregarcia; Ouvi agora, na @CBNoficial, as pessoas extasiadas com o Nat King Cole em “Candy” e sonhando dançar cheek-to-cheek. Aí, sinto como foi romântica minha adolescência. Reuniões dançantes ao som de Tenderly, com o Nat, por exemplo. Inclusive com este disco, que comprei em 10/3/1958: https://t.co/e4njvppdhg; 99; 125; 1855; 9; https://twitter.com/alexandregarcia/status/1208120126018670593; None; None
2019-12-20 18:14:49+00:00; alexandregarcia; The Woman in Red. https://t.co/1GbU4qj8g2; 17; 32; 430; 0; https://twitter.com/alexandregarcia/status/1208088377414836226; None; https://twitter.com/garciajulia/status/1207814736420777985
2019-12-19 02:22:41+00:00; alexandregarcia; Alienados. Fundo para eleição municipal é mil vezes o $ que elegeu o Presidente https://t.co/m4rVuCS7nb via @YouTube; 201; 1078; 5754; 41; https://twitter.com/alexandregarcia/status/1207486380726792192; None; None
2019-12-18 22:21:48+00:00; alexandregarcia; Amanhã, quinta-feira, a partir de 20:45, estarei colado no SporTV3! https://t.co/LIRyoTQHxx; 38; 79; 1361; 2; https://twitter.com/alexandregarcia/status/1207425759859662849; None; https://twitter.com/garciajulia/status/1207423624111689729
2019-12-18 02:27:42+00:00; alexandregarcia; Toffoli culpa a lava-jato e não os corruptos https://t.co/EdezDtpsyo via @YouTube; 319; 1298; 7381; 69; https://twitter.com/alexandregarcia/status/1207125253127901184; None; None
2019-12-18 00:33:35+00:00; alexandregarcia; @xicograziano Believe it or not...; 28; 40; 893; 1; https://twitter.com/alexandregarcia/status/1207096534220890113; None; None
2019-12-18 00:23:42+00:00; alexandregarcia; @rosaneoliveira Des. Moesch!; 6; 3; 86; 0; https://twitter.com/alexandregarcia/status/1207094046755299328; None; None
2019-12-17 01:53:02+00:00; alexandregarcia; Presos quase todos os vereadores de Uberlândia. E Pelé e eu no Exército https://t.co/Dj91J8xfe1 via @YouTube; 39; 425; 3555; 10; https://twitter.com/alexandregarcia/status/1206754141986574342; None; None
2019-12-16 17:43:22+00:00; alexandregarcia; Cb Garcia - 7RI https://t.co/gCLUq8TF4p https://t.co/5hv84XeAdy; 173; 353; 4649; 18; https://twitter.com/alexandregarcia/status/1206630911292399616; None; https://twitter.com/alexandregarcia/status/1206587651681378307
2019-12-16 14:51:28+00:00; alexandregarcia; Dia do Reservista. Dia de compartilhar o orgulho de um “Reservista-Símbolo”, que serviu a Infantaria do Exército Brasileiro. Aço! Da parede de meu escritório: https://t.co/vZD0aXCmY6; 117; 299; 3626; 10; https://twitter.com/alexandregarcia/status/1206587651681378307; None; None
2019-12-16 02:18:55+00:00; alexandregarcia; Nunca vi inflação e juro básico tão baixos (E a mordida da salva-vida) https://t.co/H6cS1qYx3O via @YouTube Parece presa de jibóia, mas são os caninos da Luli: https://t.co/hnZ1ZLNRj2; 116; 153; 2082; 3; https://twitter.com/alexandregarcia/status/1206398267233382400; None; None
2019-12-15 17:12:26+00:00; alexandregarcia; https://t.co/6QoqbcMg62 https://t.co/x8ljhzvkCP; 29; 102; 1312; 3; https://twitter.com/alexandregarcia/status/1206260742447673346; None; https://twitter.com/Gen_Ex_Freitas/status/1205952332875411456
2019-12-15 16:44:41+00:00; alexandregarcia; Meus amigos argentinos que exportam soja já sentiram que o futuro será pior que o presente. https://t.co/WsgsL3XdT1; 151; 745; 5384; 16; https://twitter.com/alexandregarcia/status/1206253756985303043; None; https://twitter.com/Rconstantino/status/1205973546729652224
2019-12-15 16:42:46+00:00; alexandregarcia; Perguntem a uma menina sueca o que acontece no seu país quando, depois do inverno que congela a vida, chega a primavera com o calor solar: brotam as sementes, as flores, os frutos, os alimentos; reprodução geral, vegetal a animal... A vida!; 741; 2741; 23222; 76; https://twitter.com/alexandregarcia/status/1206253275927977984; None; None
2019-12-15 11:25:23+00:00; alexandregarcia; Quem produz um ótimo texto mas falsifica a autoria põe a perder a mensagem, que se torna falsificada.; 101; 891; 10241; 18; https://twitter.com/alexandregarcia/status/1206173403247456258; None; None
2019-12-15 00:16:02+00:00; alexandregarcia; E a Paz de Caxias(Ma) foi motivo do título de nobreza a Luís Alves de Lima e Silva. Que, por fim, foi o único duque no Império Brasileiro. https://t.co/MqQjAnoFOX; 12; 114; 1408; 1; https://twitter.com/alexandregarcia/status/1206004953929662465; None; https://twitter.com/FotosDeFatos/status/1205901245703245824
2019-12-15 00:11:42+00:00; alexandregarcia; Consequências de uma triste era de corrupção institucionalizada. Para acabar com ela, é preciso acabar com a impunidade https://t.co/DucvTzxxFS via @YouTube; 74; 801; 5320; 19; https://twitter.com/alexandregarcia/status/1206003862857027584; None; None
2019-12-14 16:57:56+00:00; alexandregarcia; Herói desde os 16 anos, na expulsão dos portugueses da Bahia; aos 18, já comandando nave de guerra e vencendo batalhas, na campanha do Prata. Por fim, o Paraguai. O balanço (rock) era em águas belicosas. Não cultuamos os exemplos. https://t.co/QNejYfxyei; 53; 599; 4004; 7; https://twitter.com/alexandregarcia/status/1205894702073036800; None; https://twitter.com/alexandregarcia/status/1205644216325623808
2019-12-14 00:22:35+00:00; alexandregarcia; História do Brasil. No dia de aniversário deste Joaquim, recomendo: https://t.co/dq2YCPK03z; 44; 228; 1752; 9; https://twitter.com/alexandregarcia/status/1205644216325623808; None; None
2019-12-14 00:01:30+00:00; alexandregarcia; O PT(Partido Trabalhista) inglês insistiu em estatizar. Perdeu feio. A pior derrota em 80 anos. Os conservadores tiveram vitória esmagadora. Derrota também dos que, como tem acontecido, não conseguiram sentir a arrasadora vontade do povo.; 288; 3985; 24536; 90; https://twitter.com/alexandregarcia/status/1205638911717982208; None; None
2019-12-13 23:25:44+00:00; alexandregarcia; Neste 13 de dezembro, em solenidade do Dia do Marinheiro, o Presidente elogiou a Marinha e os militares. Mas ouvi em rádio que no aniversário do AI-5, Bolsonaro elogiou os militares. É a falsa verdade de discípulos do nazista Goebbels. A militância debilita o jornalismo.; 153; 2034; 10939; 44; https://twitter.com/alexandregarcia/status/1205629908971642880; None; None
2019-12-13 11:03:30+00:00; alexandregarcia; Um Moro e um Davi se uniram para combater os Golias do crime https://t.co/kRXmSDstUA via @YouTube; 61; 305; 2671; 9; https://twitter.com/alexandregarcia/status/1205443118667051013; None; None
2019-12-13 01:07:51+00:00; alexandregarcia; Que “ibope” isso dá! Como se noticia isso! É o inconsciente incontido. Está catalogado como FALOFILIA. E a gente se diverte... https://t.co/YQvLabHJMA; 162; 285; 3221; 16; https://twitter.com/alexandregarcia/status/1205293219719852032; None; https://twitter.com/sitef5/status/1205271873564622849
2019-12-13 00:47:54+00:00; alexandregarcia; Simples e claro: quem está em universidade pública é sustentado pelos impostos(vale dizer, pelo trabalho) de todos, e tem OBRIGAÇÃO de estudar e retribuir como bom profissional. É óbvio e justo.; 685; 6472; 35033; 289; https://twitter.com/alexandregarcia/status/1205288198831652864; None; None
2019-12-11 12:23:43+00:00; alexandregarcia; Só sai da prisão Com tornozeleira Acima do Pezão https://t.co/DUWUFNiL4g; 185; 626; 6423; 30; https://twitter.com/alexandregarcia/status/1204738532360753152; None; https://twitter.com/claudioedantas/status/1204521994923970560
2019-12-11 10:45:36+00:00; alexandregarcia; Convido você a acompanhar-me também no YouTube. Todos os dias sobre os últimos acontecimentos.  Agora mostro a terça-feira anticrime, anti-impunidade e anticorrupção https://t.co/X5F08NKjgu via @YouTube; 63; 402; 3229; 7; https://twitter.com/alexandregarcia/status/1204713840627372032; None; None
2019-12-11 00:20:26+00:00; alexandregarcia; @malvesfuz Mas o vidro aberto geral mais resistência ao ar e gasta mais combustível...; 10; 2; 42; 0; https://twitter.com/alexandregarcia/status/1204556511294492674; None; None
2019-12-11 00:00:27+00:00; alexandregarcia; O que há com a porta de nossos carros? Vejo muita gente a segurando, para não abrir. Ou será desafio do motorista: “Ei, guarda, me multe por dirigir com uma mão só!” https://t.co/iUWzwAqL5v; 283; 309; 4577; 21; https://twitter.com/alexandregarcia/status/1204551481464164352; None; None
2019-12-09 14:43:16+00:00; alexandregarcia; @carlavilhenaa O livro é de 1936 e já vendeu mais de 60 milhões de exemplares, em 38 idiomas.; 32; 16; 461; 1; https://twitter.com/alexandregarcia/status/1204048875268583425; None; None
2019-12-06 22:34:54+00:00; alexandregarcia; No jornal de hoje: Bento Gonçalves canonizado. https://t.co/TU2UNghEmx; 92; 219; 2395; 7; https://twitter.com/alexandregarcia/status/1203080401155178496; None; None
2019-12-06 13:17:59+00:00; alexandregarcia; Uma jiboia aqui em casa. E serpentes partidárias dando bote: https://t.co/QFrsCRj0Rb via @YouTube No país que elegeu presidente com 2,5 milhões, 13 partidos querem 3,8 bilhões para eleger prefeitos e vereadores. Inscreva-se no meu canal YouTube e converso com você todos os dias.; 114; 701; 3898; 22; https://twitter.com/alexandregarcia/status/1202940250286383106; None; None
2019-12-05 00:42:14+00:00; alexandregarcia; Lançamento do Instituto Gen Villas-Boas, no Centro Internacional de Convenções. Para que o Brasil recupere o destino que a natureza lhe deu. https://t.co/4GM0qS4Dut; 41; 340; 3166; 8; https://twitter.com/alexandregarcia/status/1202387669277429763; None; None
2019-12-04 18:28:03+00:00; alexandregarcia; Hoje, em debates sobre o Agrocenário 2020, com Ana Amélia, Aldo Rebelo e William Waack. Falando sobre o Brasil que dá certo. https://t.co/Ac0YydGNa9; 122; 255; 3167; 10; https://twitter.com/alexandregarcia/status/1202293501771362304; None; None
2019-12-04 01:35:54+00:00; alexandregarcia; Um dia de contrastes, com excelentes e péssimas notícias: voltou o otimismo na economia mas uma ideologia antiquada e fracassada debilita o ensino e o futuro. https://t.co/XI0nAlNS7e via @YouTube; 81; 565; 3716; 11; https://twitter.com/alexandregarcia/status/1202038787435630594; None; None
2019-12-04 00:02:50+00:00; alexandregarcia; Já imaginaram se O Mesmo e o Por Conta se unirem contra a Língua Portuguesa? Camões, socorro! Machado de Assis, rogai por nós! https://t.co/TkSN13OHyK; 130; 312; 3140; 13; https://twitter.com/alexandregarcia/status/1202015365246726144; None; https://twitter.com/alexandregarcia/status/1201650564125396992
