[2020-12-05 22:47:05+00:00; AnaPaulaVolei; @jeffs_araujo35 ❤️ Mestre demais.; 0; 0; 19; 0; https://twitter.com/AnaPaulaVolei/status/1335355040362479617; None; None] 
[2020-12-05 22:41:10+00:00; AnaPaulaVolei; @jeffs_araujo35 “I forgive. But I don’t forget.”; 3; 7; 85; 0; https://twitter.com/AnaPaulaVolei/status/1335353548637278209; None; None] 
[2020-12-05 21:31:02+00:00; AnaPaulaVolei; @ElinhoBighouse Há uma gigantesca diferença entre fraude e votos ILEGAIS.Bons advogados prezam pelos detalhes que mostram as ações em curso. Gente honesta tb já entendeu que não é sobre “virar” a eleição, mas sobre crimes federais. Mas como veterinário vc jamais saberia isso, cuide dos jumentos.; 4; 2; 8; 0; https://twitter.com/AnaPaulaVolei/status/1335335900641837057; None; None] 
[2020-12-05 21:18:44+00:00; AnaPaulaVolei; @GavinWax @NYYRC Haha... I'll find a wagon next time to bring me there all the way from Cali. https://t.co/fcsDHJTyY5; 0; 1; 5; 0; https://twitter.com/AnaPaulaVolei/status/1335332804016525313; None; None] 
[2020-12-05 18:22:49+00:00; AnaPaulaVolei; @ElinhoBighouse Vc está atrasado, “advogado”.  https://t.co/E3UuDe8U75 https://t.co/It8Q3yeU9A; 3; 0; 1; 0; https://twitter.com/AnaPaulaVolei/status/1335288533251104769; None; https://twitter.com/CBS_Herridge/status/1333937356185997312] 
[2020-12-05 03:58:30+00:00; AnaPaulaVolei; @RichardGrenell @ericgarcetti @GavinNewsom "When a long train of abuses and usurpations, pursuing invariably the same object, evinces a design to reduce them under absolute despotism, it is their right, it is their duty, to throw off such government, and to provide new guards for their future security."; 4; 21; 83; 2; https://twitter.com/AnaPaulaVolei/status/1335071020248494080; None; None] 
[2020-12-05 03:31:23+00:00; AnaPaulaVolei; @LilaGraceRose Disgraceful.; 0; 1; 28; 0; https://twitter.com/AnaPaulaVolei/status/1335064198439694336; None; None] 
[2020-12-05 03:29:40+00:00; AnaPaulaVolei; @paula_rossman Vc apagou pq foi educada comigo? Hm.🤔🤷‍♀️😁 Mas pf, mostre onde não fui educada com vc. E mostre tbm, se puder, obviamente, onde Barr disse que não houve fraudes. Essa fala dele -tirada de contexto- já foi corrigida PELA PRÓPRIA ASSESSORIA do DOJ, mas aposto que vc tb não sabia.😜; 0; 0; 7; 0; https://twitter.com/AnaPaulaVolei/status/1335063763779633153; None; None] 
[2020-12-05 02:12:00+00:00; AnaPaulaVolei; @kylenabecker This is heartbreaking.💔😞; 1; 1; 39; 0; https://twitter.com/AnaPaulaVolei/status/1335044220944465922; None; None] 
[2020-12-04 18:50:41+00:00; AnaPaulaVolei; Não há caracteres suficientes para expressar a indignação da sociedade e o mal que o atual STF significa para o país. Só há uma frase para essa corte: o STF é contra o Brasil. #STFVergonhaNacional; 1702; 5447; 29744; 1292; https://twitter.com/AnaPaulaVolei/status/1334933158391771136; None; None] 
[2020-12-04 16:35:41+00:00; AnaPaulaVolei; @JesseKellyDC https://t.co/tWXkKjbZ6O; 1; 1; 16; 0; https://twitter.com/AnaPaulaVolei/status/1334899183371743232; None; None] 
[2020-12-04 16:32:16+00:00; AnaPaulaVolei; “O STF rasgou a Constituição” é pleonasmo ou redundância?  Vergonha. #STFVergonhaMundial; 1467; 3801; 24244; 785; https://twitter.com/AnaPaulaVolei/status/1334898326760693763; None; None] 
[2020-12-04 05:47:02+00:00; AnaPaulaVolei; @samanthamarika1 ❤️🌹; 2; 0; 18; 0; https://twitter.com/AnaPaulaVolei/status/1334735944528711683; None; None] 
[2020-12-04 05:45:57+00:00; AnaPaulaVolei; @paula_rossman Por que vc apagou o tuíte? Geórgia continua Rep, mas parece que vc não segue o que acontece em Atlanta. Sim, pode ser que “o povo tenha mudado” de ideia. Ou que “mudaram de ideia para eles”. É tão ruim assim investigar os indícios e anomalias que nem matemáticos estão entendendo? https://t.co/iN2UjXrUei; 2; 5; 67; 0; https://twitter.com/AnaPaulaVolei/status/1334735672435855360; None; None] 
[2020-12-04 02:29:09+00:00; AnaPaulaVolei; @chrisggomes Que maturidade.; 0; 0; 6; 0; https://twitter.com/AnaPaulaVolei/status/1334686145691598848; None; None] 
