2019-12-28 05:19:45+00:00; antonioprata; @Kidids A isso chamamos civilização; 3; 0; 0; 0; https://twitter.com/antonioprata/status/1210792428640169985; None; None
2019-12-27 06:09:13+00:00; antonioprata; Sei que é ingenuidade minha, mas ainda aguardo a revelação de que o atentado ao Porta dos Fundos era uma piada deles mesmos só pra lançar a piada mor: o vídeo dos integralistas carioquistas sotaquistas de neopentecostalistas avec monty python no úrtimo; 200; 9; 10; 2; https://twitter.com/antonioprata/status/1210442490530213893; None; None
2019-12-25 22:18:32+00:00; antonioprata; Aparentemente, nem tudo que reluz é grego. https://t.co/1axLbyHQ2i; 57; 4; 6; 0; https://twitter.com/antonioprata/status/1209961652097093632; None; https://twitter.com/assinocomx/status/1209871359469346822
2019-12-25 22:18:07+00:00; antonioprata; @assinocomx Hahahaha; 1; 1; 0; 0; https://twitter.com/antonioprata/status/1209961545654034433; None; None
2019-12-25 06:08:51+00:00; antonioprata; Concordo com tudo até o último verso. Jah does not provide. O que vem a ser um pequeno fucking problem, a nível de existência. Não? https://t.co/WUAOkNrthZ; 13; 0; 0; 0; https://twitter.com/antonioprata/status/1209717623660982272; None; https://twitter.com/Kidids/status/1209528581342281728
2019-12-25 03:42:16+00:00; antonioprata; @vaga_toy @hogatic Nunca tive carteirinha nenhuma, felizmente.; 1; 0; 0; 0; https://twitter.com/antonioprata/status/1209680732458803200; None; None
2019-12-25 03:39:28+00:00; antonioprata; @edmoondor É? O governo Bolsonaro dá dinheiro pra Folha fazer matérias que destroem a reputação do filho do presidente, desde que ponha “Flavio B.” no título???? “Carai, bicho!!”; 0; 0; 0; 0; https://twitter.com/antonioprata/status/1209680028046385153; None; None
2019-12-25 03:35:22+00:00; antonioprata; @BernadeteGomes1 @folha Não assina, mas retuíta bastante. Assim como o Globo. Ética curiosa.; 1; 0; 0; 0; https://twitter.com/antonioprata/status/1209678999321890816; None; None
2019-12-24 04:22:56+00:00; antonioprata; @sergiotodoprosa Boa, Sérgio R.; 8; 0; 0; 0; https://twitter.com/antonioprata/status/1209328581542924289; None; None
2019-12-24 02:48:38+00:00; antonioprata; @hogatic Cara, não estou defendendo meu patrão, estou defendendo o bom senso.; 1; 4; 0; 0; https://twitter.com/antonioprata/status/1209304848144965632; None; None
2019-12-24 01:09:07+00:00; antonioprata; Galera, o Bolsonaro falou uma semana antes de ganhar que o Brasil sem a Folha ficava melhor. Desde que ganhou, ele tá em guerra com a Folha. Qual seria exatamente a estratégia da Folha em proteger o Bolsonaro escrevendo Flavio B.?! Não faz sentido esta teoria conspiratória.; 980; 120; 39; 18; https://twitter.com/antonioprata/status/1209279804488507395; None; None
2019-12-23 18:23:37+00:00; antonioprata; @omarcosveras Demais, né?; 1; 1; 0; 0; https://twitter.com/antonioprata/status/1209177756342374400; None; None
2019-12-23 03:26:55+00:00; antonioprata; Sensacional a série The morning show. Uma reflexão muito profunda e atenta às complexidades da era #metoo, olhando as questões por mil ângulos y sin perder el suspense y la fucking tensão narrativa, jamás.; 81; 4; 3; 0; https://twitter.com/antonioprata/status/1208952094411153409; None; None
2019-12-23 02:58:49+00:00; antonioprata; @afonsoborges Bukowski perdeu seu evangelho numa festa. Bêbado. Só restou aquele trechinho...; 3; 0; 0; 1; https://twitter.com/antonioprata/status/1208945025222086657; None; None
2019-12-22 19:58:36+00:00; antonioprata; @dorritharazim Saravá!; 1; 0; 0; 0; https://twitter.com/antonioprata/status/1208839271068717056; None; None
2019-12-21 04:28:15+00:00; antonioprata; Estranha a demora do governo em elogiar a rinha de cães e dizer que é mimimi do PC: https://t.co/4kljDQE95q; 28; 1; 5; 0; https://twitter.com/antonioprata/status/1208242756180742144; None; None
2019-12-20 18:30:52+00:00; antonioprata; https://t.co/58ys6uKoW5; 201; 1; 17; 3; https://twitter.com/antonioprata/status/1208092418706432000; None; None
2019-12-18 16:21:34+00:00; antonioprata; A matemática é clara. Valeu, @cfialho https://t.co/9aPjOIuoPf; 11; 3; 5; 0; https://twitter.com/antonioprata/status/1207335104030355458; None; https://twitter.com/ColunadoFla/status/1207081924860231680
2019-12-18 03:59:49+00:00; antonioprata; Não li e já gostei: vaquinha-funding pro livro do genial @Kidids AKA André Czarnobai. Contribua vc também. https://t.co/eMzyDH6WzP; 5; 0; 0; 0; https://twitter.com/antonioprata/status/1207148437206163456; None; https://twitter.com/tati_bernardi/status/1206600625770913792
