[2017-12-30 23:16:27+00:00; claudioedantas; Diretora da Ancine liberou recursos para filme que produziu https://t.co/06svFKzB06 Bingo!; 2; 21; 68; 3; https://twitter.com/claudioedantas/status/947245026245038085; None; None]
[2017-12-30 23:15:16+00:00; claudioedantas; Cidade do RJ gasta 87% do orçamento com folha salarial https://t.co/XtRHNLvNI8; 5; 6; 29; 4; https://twitter.com/claudioedantas/status/947244725702144001; None; None]
[2017-12-30 23:14:03+00:00; claudioedantas; A Abin e as Forças Armadas já estão resolvendo. 😑😑 https://t.co/hxnqus1gNq; 6; 48; 114; 3; https://twitter.com/claudioedantas/status/947244421694803968; None; https://twitter.com/JornalOGlobo/status/946821874415230976]
[2017-12-30 17:38:35+00:00; claudioedantas; Quase 83% dos brasileiros desaprovam Temer https://t.co/Jkv4hvRJq3; 10; 7; 47; 6; https://twitter.com/claudioedantas/status/947159995925360640; None; None]
[2017-12-30 17:28:44+00:00; claudioedantas; Para 50% do eleitorado, apoio de Temer afunda qualquer candidatura https://t.co/pIHArkSpw0; 2; 6; 22; 0; https://twitter.com/claudioedantas/status/947157518052216832; None; None]
[2017-12-30 17:11:30+00:00; claudioedantas; Marina é a viúva da esquerda https://t.co/VU3jQiJuy5; 1; 3; 19; 0; https://twitter.com/claudioedantas/status/947153180512653312; None; None]
[2017-12-30 16:52:03+00:00; claudioedantas; SEM LULA, BOLSONARO TOMA DIANTEIRA https://t.co/RTudEfdxJz; 3; 4; 13; 0; https://twitter.com/claudioedantas/status/947148286858850304; None; None]
[2017-12-30 16:40:35+00:00; claudioedantas; LULA E BOLSONARO LIDERAM INTENÇÕES DE VOTO https://t.co/cxq5nbGp6O; 5; 7; 9; 2; https://twitter.com/claudioedantas/status/947145401685217280; None; None]
[2017-12-30 16:32:15+00:00; claudioedantas; Os trabalhos de Cármen https://t.co/CHAkXi3Vt0; 0; 6; 13; 0; https://twitter.com/claudioedantas/status/947143303484538880; None; None]
[2017-12-30 16:17:48+00:00; claudioedantas; RESUMÃO: Os furos de reportagem de O Antagonista em 2017 https://t.co/Fav8N0ai5X Legal rever a síntese o trabalho de um ano intenso e histórico. A cada notícia exclusiva, susto, raiva, gargalhadas. Faço o que gosto e com muita paixão, na tola expectativa de melhorar as coisas.; 10; 30; 152; 1; https://twitter.com/claudioedantas/status/947139667761270789; None; None]
[2017-12-30 15:15:09+00:00; claudioedantas; Lula e Bolsonaro virtualmente empatados nas redes sociais https://t.co/6NW3yIxm8S; 29; 10; 32; 4; https://twitter.com/claudioedantas/status/947123902509133829; None; None]
[2017-12-30 15:04:20+00:00; claudioedantas; Indulto de Temer atinge delação premiada, diz procuradora https://t.co/jJjI8SWAJw; 2; 9; 24; 1; https://twitter.com/claudioedantas/status/947121180393254912; None; None]
[2017-12-30 15:03:59+00:00; claudioedantas; Pequena grande corrupção https://t.co/5bCY5qkaGU; 1; 2; 10; 0; https://twitter.com/claudioedantas/status/947121092359008256; None; None]
[2017-12-30 15:03:37+00:00; claudioedantas; Guarda municipal que deu celular a presos da Lava Jato vira réu https://t.co/Gg7aGBlqJt; 1; 2; 13; 0; https://twitter.com/claudioedantas/status/947120999249661952; None; None]
[2017-12-30 14:07:02+00:00; claudioedantas; ‘Japonês da Federal’ vai virar consultor de multinacional https://t.co/ZqwucTR7rm; 2; 3; 16; 2; https://twitter.com/claudioedantas/status/947106758430023681; None; None]
[2017-12-30 13:32:41+00:00; claudioedantas; Exclusivo: STF homologa primeira delação da Carne Fraca https://t.co/u7pt2pQtDI; 1; 37; 60; 0; https://twitter.com/claudioedantas/status/947098115429019648; None; None]
[2017-12-30 13:31:00+00:00; claudioedantas; Vão trocar as máscaras no Carnaval. https://t.co/jgxwULTzp3; 0; 4; 7; 0; https://twitter.com/claudioedantas/status/947097689556123649; None; None]
[2017-12-30 12:40:27+00:00; claudioedantas; @educriago Kk. Se melhorar a pontaria já tá valendo.; 0; 0; 3; 0; https://twitter.com/claudioedantas/status/947084971168149504; None; None]
[2017-12-30 12:38:27+00:00; claudioedantas; Chuva de granizo p lavar Brasília/2017. É a #lavajato do Cara lá de cima?; 7; 9; 57; 0; https://twitter.com/claudioedantas/status/947084465834250240; None; None]
[2017-12-30 00:47:49+00:00; claudioedantas; ‘Segunda sem Carne’ foi barganha para aprovar Orçamento, diz secretário de Alckmin https://t.co/OyGjr6jvVZ; 21; 36; 78; 4; https://twitter.com/claudioedantas/status/946905630807347200; None; None]
[2017-12-30 00:47:30+00:00; claudioedantas; CVM acusa Gabrielli, Graça e ex-diretores da Petrobras https://t.co/8RbauFNvEv; 4; 28; 68; 3; https://twitter.com/claudioedantas/status/946905549232332800; None; None]
[2017-12-29 22:55:38+00:00; claudioedantas; Wesley vai passar o réveillon em cana https://t.co/s3HJkHOHMJ; 5; 19; 55; 2; https://twitter.com/claudioedantas/status/946877397298794496; None; None]
[2017-12-29 22:51:13+00:00; claudioedantas; Dodge questiona gastos de Temer com ‘comunicação institucional’ https://t.co/wBLfDG9JZG Raquel se rebelou; 20; 45; 149; 7; https://twitter.com/claudioedantas/status/946876288324616192; None; None]
[2017-12-29 22:40:33+00:00; claudioedantas; Dodge questiona gastos de Temer com ‘comunicação institucional’ https://t.co/wBLfDGrlog Raquel se rebelou; 16; 58; 131; 4; https://twitter.com/claudioedantas/status/946873600543547393; None; None]
[2017-12-29 20:34:06+00:00; claudioedantas; Um aeroporto para Maia. https://t.co/lYyk7ycSKe; 1; 9; 17; 1; https://twitter.com/claudioedantas/status/946841781097951233; None; None]
[2017-12-29 20:30:16+00:00; claudioedantas; Dez de Espadas https://t.co/aRSqa5zjPe; 1; 1; 14; 1; https://twitter.com/claudioedantas/status/946840817284591616; None; None]
[2017-12-29 20:11:56+00:00; claudioedantas; Pizzolato reduziu pena com trabalho e estudos https://t.co/tIhBtOrfXx; 2; 6; 9; 1; https://twitter.com/claudioedantas/status/946836199909593088; None; None]
[2017-12-29 20:11:16+00:00; claudioedantas; Daiello está de volta https://t.co/9yN5z6Lgcq; 1; 5; 14; 0; https://twitter.com/claudioedantas/status/946836032162496514; None; None]
[2017-12-29 19:39:09+00:00; claudioedantas; Exclusivo: Com doença grave, comandante do Exército adia sucessão para beneficiar pupilo https://t.co/eZOmPOOrkG; 9; 28; 49; 3; https://twitter.com/claudioedantas/status/946827952079167488; None; None]
[2017-12-29 18:11:56+00:00; claudioedantas; Nada de farra para Pizzolato https://t.co/YEdsNIlWrQ; 2; 4; 14; 0; https://twitter.com/claudioedantas/status/946806002405576705; None; None]
[2017-12-29 17:31:44+00:00; claudioedantas; @geraldoalckmin Não existe almoço grátis e nem a 1 real.; 2; 7; 40; 0; https://twitter.com/claudioedantas/status/946795886138527753; None; None]
