[2018-12-26 16:12:49+00:00; claudioedantas; Exclusivo: Vídeo mostra Adélio cercando Bolsonaro antes de caminhada em Juiz de Fora https://t.co/SAWBJAgdvx férias frustradas 2, o retorno 🤔; https://twitter.com/claudioedantas/status/1077960433988964353; None; None]
[2018-12-19 22:53:26+00:00; claudioedantas; A vida imita o meme. https://t.co/BOieo6tYgm; https://twitter.com/claudioedantas/status/1075524534697148416; None; None]
[2018-12-19 22:50:42+00:00; claudioedantas; Marco Aurélio é um ministro vencido.; https://twitter.com/claudioedantas/status/1075523848425099264; None; None]
[2018-12-19 22:32:20+00:00; claudioedantas; Marco Aurélio achou que a tag #SeEuQuiserEuPosso era p ele.; https://twitter.com/claudioedantas/status/1075519226948042754; None; None]
[2018-12-19 22:15:49+00:00; claudioedantas; O choro é livre, Lula não.; https://twitter.com/claudioedantas/status/1075515068161449985; None; None]
[2018-12-19 22:04:52+00:00; claudioedantas; PGR DENUNCIA TEMER NO CASO DOS PORTOS https://t.co/GlvgWWMfP4; https://twitter.com/claudioedantas/status/1075512315108384768; None; None]
[2018-12-19 21:55:27+00:00; claudioedantas; TOFFOLI DERRUBA DECISÃO DE MARCO AURÉLIO https://t.co/5TrA4hwNwy; https://twitter.com/claudioedantas/status/1075509942885470209; None; None]
[2018-12-19 21:11:03+00:00; claudioedantas; Entrei de férias... rasgaram a LRF para os municípios, ressuscitaram o aumento dos servidores e o auxílio moradia e autorizaram a soltura de milhares de bandidos e corruptos. 🔙🙄😳🤨😡; https://twitter.com/claudioedantas/status/1075498772694741008; None; None]
[2018-12-19 20:30:36+00:00; claudioedantas; JUÍZA DE CURITIBA MANDA MPF SE MANIFESTAR SOBRE LULA https://t.co/YoffCS8v2P Lebbos ganha tempo até q Dias Toffoli suspenda a decisão de MAM.; https://twitter.com/claudioedantas/status/1075488593462915072; None; None]
[2018-12-19 20:23:19+00:00; claudioedantas; Isso q chamo de incendiar o país. O impeachment de MAM é uma obviedade. https://t.co/B3TN7D1AAA; https://twitter.com/claudioedantas/status/1075486757741887488; None; https://twitter.com/o_antagonista/status/1075485138480455680]
[2018-12-19 20:04:39+00:00; claudioedantas; PGR PEDE SUSPENSÃO DA DECISÃO DE MARCO AURÉLIO https://t.co/rcpHKxOEIs; https://twitter.com/claudioedantas/status/1075482060712685568; None; None]
[2018-12-19 16:36:59+00:00; claudioedantas; MARCO AURÉLIO SOLTA LULA https://t.co/WK6yfABb1i; https://twitter.com/claudioedantas/status/1075429800205004803; None; None]
[2018-12-15 17:25:59+00:00; claudioedantas; João de Deus na lista da Interpol https://t.co/PiccnYY7Wf; https://twitter.com/claudioedantas/status/1073992579795091456; None; None]
[2018-12-15 17:00:57+00:00; claudioedantas; @cornetacam @cor0te Eu sou a resistência.🤣; https://twitter.com/claudioedantas/status/1073986279191252992; None; None]
[2018-12-15 16:54:15+00:00; claudioedantas; @cor0te Prêmio Joesley de Jornalismo.; https://twitter.com/claudioedantas/status/1073984594167382016; None; None]
[2018-12-15 16:49:12+00:00; claudioedantas; @Ricardo09431546 @o_antagonista Kkk. Falei a semana inteira.; https://twitter.com/claudioedantas/status/1073983320944451589; None; None]
[2018-12-15 16:47:50+00:00; claudioedantas; @AnaMari_Valente Sim. Sou o porta-voz de vcs! 😘; https://twitter.com/claudioedantas/status/1073982980941627393; None; None]
[2018-12-15 14:12:00+00:00; claudioedantas; A última imagem de Cesare Battisti https://t.co/cqTF8cXmLf; https://twitter.com/claudioedantas/status/1073943761552633856; None; None]
