[2017-12-30 22:03:00+00:00; claudferraz; Congratulations Tim Besley ! Very well deserved https://t.co/bjKrfaqU6E; 0; 0; 10; 1; https://twitter.com/claudferraz/status/947226542438043654; None; https://twitter.com/LSEEcon/status/947024860403978241]
[2017-12-30 21:14:03+00:00; claudferraz; La traición de Kuczynski; por Mario Vargas Llosa https://t.co/XzUQdP3CSU vía @el_pais; 0; 4; 16; 0; https://twitter.com/claudferraz/status/947214222550880256; None; None]
[2017-12-29 01:45:30+00:00; claudferraz; https://t.co/43HErWsVwm; 0; 0; 1; 0; https://twitter.com/claudferraz/status/946557759864139776; None; None]
[2017-12-29 01:43:29+00:00; claudferraz; Duas mulheres à frente da Justiça no Brasil https://t.co/48fU2szLPz; 0; 0; 2; 0; https://twitter.com/claudferraz/status/946557252487524353; None; None]
[2017-12-27 10:00:21+00:00; claudferraz; Interesting and scary how private money can shape future knowledge. Jim Simons, the Numbers King https://t.co/pYNbAbPmFf; 0; 1; 9; 0; https://twitter.com/claudferraz/status/945957515854012417; None; None]
[2017-12-26 16:54:19+00:00; claudferraz; Só falta agora o macaco Tião https://t.co/8ZlQhRCnVF; 0; 0; 6; 0; https://twitter.com/claudferraz/status/945699304819347458; None; https://twitter.com/ultimosegundo/status/945656449929269249]
[2017-12-25 21:31:29+00:00; claudferraz; En América Latina los lideres prefieren perdonar a los corruptos para sobrevivir. Verguenza PPK, verguenza Temer https://t.co/0bbVwfWbaf; 2; 17; 30; 1; https://twitter.com/claudferraz/status/945406669604950016; None; https://twitter.com/hugonopo/status/945403834876203008]
[2017-12-23 13:46:17+00:00; claudferraz; Great piece on what happens when cities connect to the world featuring @FilipeCampante and @YanagizawaDrott https://t.co/JB4Zb8yA2r; 0; 2; 15; 1; https://twitter.com/claudferraz/status/944564821420277765; None; None]
[2017-12-22 21:05:10+00:00; claudferraz; Joel Mokyr on How Europe become the richest part of the world https://t.co/lKEw7NcGqU via @aeonmag; 0; 8; 14; 0; https://twitter.com/claudferraz/status/944312884158451712; None; None]
[2017-12-22 20:56:43+00:00; claudferraz; 13 economists on the research that shaped our world in 2017 https://t.co/AQ0lG90ycV via @qz; 0; 1; 12; 1; https://twitter.com/claudferraz/status/944310754739740672; None; None]
[2017-12-22 13:32:41+00:00; claudferraz; Columna de Eduardo Engel en @latercera sobre elecciones y corrupción citando nuestro trabalho de Brasil: ¿Reeligiendo políticos corruptos? https://t.co/T019aSd8zt; 0; 1; 2; 0; https://twitter.com/claudferraz/status/944199012017758208; None; None]
[2017-12-22 02:36:28+00:00; claudferraz; The Anti-Corruption wave keeps spreading- Graft Inquiry Deepens in Mexico With Arrest of Presidential Ally https://t.co/ajWdMB7W6f; 0; 1; 3; 0; https://twitter.com/claudferraz/status/944033870873325568; None; None]
[2017-12-20 21:02:28+00:00; claudferraz; Gracias @IE_UC por el excelente seminário https://t.co/JhnNJmrsLr; 0; 0; 2; 0; https://twitter.com/claudferraz/status/943587426869661702; None; https://twitter.com/IE_UC/status/943561815547633664]
[2017-12-19 23:01:30+00:00; claudferraz; Very happy to collaborate with @AgendaCAF @GovernoMS to evaluate the impacts of Making Schools Safer for students and teachers @JPAL_LAC https://t.co/E5CZ8RUuGx; 0; 2; 15; 0; https://twitter.com/claudferraz/status/943254996929400832; None; https://twitter.com/JPAL/status/943199111318302726]
[2017-12-19 13:49:08+00:00; claudferraz; Como identificar os diferentes tipos de fakes e robôs que atuam nas redes - BBC News Brasil https://t.co/hv7o0dFc0W; 0; 0; 0; 0; https://twitter.com/claudferraz/status/943115987062321152; None; None]
[2017-12-19 08:44:20+00:00; claudferraz; Fundo partidário que beneficia incumbentes dificulta a renovação política https://t.co/qkTTae69c6 https://t.co/AUZIdnIqIx; 0; 2; 6; 0; https://twitter.com/claudferraz/status/943039281685237760; None; None]
[2017-12-18 22:08:42+00:00; claudferraz; Gilmar Mendes está esculhambando o judiciário https://t.co/9fr0k8NsBu; 0; 0; 9; 0; https://twitter.com/claudferraz/status/942879321949163522; None; https://twitter.com/BlogdoNoblat/status/942845042775003143]
[2017-12-18 12:36:18+00:00; claudferraz; Inefficient equilibrium: Women and economics https://t.co/Ynxfgi1Mv0 via @TheEconomist; 0; 1; 4; 0; https://twitter.com/claudferraz/status/942735270759329793; None; None]
[2017-12-18 11:33:27+00:00; claudferraz; Historical persistence-- The Brutal Origins of Gun Rights  https://t.co/H4PbTHc8a9; 0; 2; 2; 0; https://twitter.com/claudferraz/status/942719453984325632; None; None]
[2017-12-17 14:05:29+00:00; claudferraz; The tragedy that shouldn't be-- As Venezuela Collapses, Children Are Dying of Hunger https://t.co/QL2gVdTzoe; 0; 12; 12; 0; https://twitter.com/claudferraz/status/942395326882897920; None; None]
[2017-12-17 11:39:50+00:00; claudferraz; https://t.co/T1hLQgjZ8K; 0; 0; 0; 0; https://twitter.com/claudferraz/status/942358673774522368; None; None]
[2017-12-17 01:33:07+00:00; claudferraz; @lmonasterio @thaleszp @ThiagoKrause2 @StateCapitalism @cdshikida Ótima ideia. Todo meu apoio; 0; 0; 3; 0; https://twitter.com/claudferraz/status/942205988714754049; None; None]
[2017-12-15 17:15:19+00:00; claudferraz; @TheEconomist Boa matéria da @TheEconomist sobre os novos movimentos na política brasileira. Precisamos urgentemente de jovens qualificados e motivados !; 0; 0; 3; 1; https://twitter.com/claudferraz/status/941718322923671556; None; None]
[2017-12-15 17:09:33+00:00; claudferraz; Taking on the dirty old men: How young Brazilians hope to clean up politics https://t.co/VgygJNM1RV via @TheEconomist; 1; 1; 9; 2; https://twitter.com/claudferraz/status/941716872306753538; None; None]
[2017-12-15 12:03:37+00:00; claudferraz; It’s an Unequal World. It Doesn’t Have to Be. https://t.co/VdIVZflXyX; 0; 3; 5; 0; https://twitter.com/claudferraz/status/941639883000565760; None; None]
[2017-12-15 11:47:23+00:00; claudferraz; Great interview with Anne Case on her research and being a women in the economics profession https://t.co/mpoTCnXj0b via @MinneapolisFed; 0; 1; 2; 0; https://twitter.com/claudferraz/status/941635797706510336; None; None]
[2017-12-14 21:26:48+00:00; claudferraz; Mais uma vítima da Oderbrecht? "La permanencia de PPK en la presidencia es insostenible” https://t.co/CiCyTQmP4k via @elcomercio_peru; 0; 0; 2; 0; https://twitter.com/claudferraz/status/941419224936960000; None; None]
[2017-12-14 20:45:21+00:00; claudferraz; Muito interessante essa relatório. É basicamente história econômica da política industrial brasileira durante a ditadura https://t.co/2Xjx9qY16a; 0; 2; 6; 0; https://twitter.com/claudferraz/status/941408792033611779; None; https://twitter.com/ClaudiaCostin/status/941403179727687680]
[2017-12-14 10:50:54+00:00; claudferraz; Punishment for corruption is spreading across Latin America https://t.co/k4HaBbXvmP; 0; 0; 1; 0; https://twitter.com/claudferraz/status/941259193062973440; None; https://twitter.com/nytimesworld/status/941258232584179712]
[2017-12-14 10:38:43+00:00; claudferraz; Não PODE ser candidato se for culpado https://t.co/78osHeimy0; 0; 1; 1; 0; https://twitter.com/claudferraz/status/941256128461144064; None; https://twitter.com/VEJA/status/940984276979519488]
[2017-12-14 10:34:25+00:00; claudferraz; Argentino racista. Deveria ter foto registrada pela PF e ser proibido de entrar no Brasil. https://t.co/SVA6XyI6sP; 0; 0; 0; 1; https://twitter.com/claudferraz/status/941255048885080065; None; https://twitter.com/geglobo/status/941076714670653440]
[2017-12-14 10:29:55+00:00; claudferraz; Parabéns Joice Toyota e @VetorBR ! Prêmio merecido para o excelente trabalho https://t.co/WT0I6Sgos2; 0; 0; 3; 0; https://twitter.com/claudferraz/status/941253914862727169; None; https://twitter.com/VEJA/status/940722778210230272]
[2017-12-14 09:09:33+00:00; claudferraz; Decisão do TSE é muito importante para a eleição brasileira de 2018. Propaganda eleitoral será descrita como tal, mesmo no Facebook https://t.co/DmxnTkjHVA; 2; 4; 9; 2; https://twitter.com/claudferraz/status/941233690792878081; None; https://twitter.com/Poder360/status/941231362157301760]
[2017-12-13 19:20:01+00:00; claudferraz; Very powerful from Salma Hayek- Harvey Weinstein Is My Monster Too https://t.co/0xDRKK12PI; 0; 1; 5; 0; https://twitter.com/claudferraz/status/941024930250084352; None; None]
[2017-12-13 15:21:27+00:00; claudferraz; Que notícia triste. Que grande perda. Um dos grandes pesquisadores da realidade econômica brasileira, um dos grandes líderes de pesquisa aplicada no @ipeaonline e um amante eterno de @berkeleyecon https://t.co/XYg7cpvIhi; 0; 0; 3; 0; https://twitter.com/claudferraz/status/940964894035316736; None; https://twitter.com/folha/status/940961267707187200]
[2017-12-12 21:41:45+00:00; claudferraz; Is this the future of the media? https://t.co/NUpbjdI9oj; 0; 0; 1; 0; https://twitter.com/claudferraz/status/940698209298649089; None; https://twitter.com/FT/status/940697793726959619]
[2017-12-12 19:53:31+00:00; claudferraz; Impressive piece. Unbelievable that it was written 30 years ago https://t.co/HTkkVBrEF6; 0; 0; 9; 0; https://twitter.com/claudferraz/status/940670973245829120; None; https://twitter.com/PublishersWkly/status/940657839646937088]
[2017-12-12 19:51:34+00:00; claudferraz; Leia reportagem especial do @globo sobre violência no Brasil e depois leia a evidência aqui sobre armas e violência https://t.co/FlvkgP4RTi; 0; 4; 8; 0; https://twitter.com/claudferraz/status/940670483753852928; None; None]
[2017-12-12 12:58:54+00:00; claudferraz; A guerra do Brasil. O dia a dia do país mais violento do mundo. Parabéns @oglobo pela matéria https://t.co/ndxvkCa7vn; 0; 1; 0; 0; https://twitter.com/claudferraz/status/940566633139056640; None; None]
[2017-12-12 11:09:46+00:00; claudferraz; Portugal investiga suposto tráfico de crianças articulado pela Universal https://t.co/1YsHfvJisa via @folha; 0; 0; 0; 0; https://twitter.com/claudferraz/status/940539166168895488; None; None]
[2017-12-12 10:16:38+00:00; claudferraz; Special essays in the celebration of 125 years of the JPE @JPolEcon  https://t.co/tkKfqjhSdX; 0; 0; 3; 0; https://twitter.com/claudferraz/status/940525796497743872; None; None]
[2017-12-11 14:50:53+00:00; claudferraz; Great piece by @straightedge but we need more research on failures as well-- there are so many, specially in Latin America, past and present https://t.co/mIDls9brBc; 1; 4; 13; 1; https://twitter.com/claudferraz/status/940232425069862913; None; https://twitter.com/straightedge/status/940226747441741824]
[2017-12-11 14:46:10+00:00; claudferraz; Ótima entrevista @BigBigBLessing falando sobre seu livro e drogas, prisões, crime organizado e violência policial https://t.co/0gAmksYFD1; 0; 0; 1; 0; https://twitter.com/claudferraz/status/940231239482642432; None; None]
[2017-12-09 16:27:43+00:00; claudferraz; @tiagopferraz Nem leio para não me deprimir; 0; 0; 0; 0; https://twitter.com/claudferraz/status/939532016655261697; None; None]
[2017-12-09 15:16:16+00:00; claudferraz; "Tudo o que você precisa saber sobre o Brasil é: tenho mais de 40 anos e nunca tive um chefe negro." https://t.co/PWNWvKTxti; 1; 3; 6; 1; https://twitter.com/claudferraz/status/939514035602640896; None; https://twitter.com/folha/status/939405768113229824]
[2017-12-09 14:59:11+00:00; claudferraz; Importante pensar como o estado brasileiro contribui para a manunentação da desigualdade https://t.co/YMofehl9xw; 0; 0; 0; 0; https://twitter.com/claudferraz/status/939509737053356032; None; None]
[2017-12-09 13:01:32+00:00; claudferraz; Lula é um perigo para a democracia brasileira https://t.co/Pzu07YlyLi; 1; 1; 8; 0; https://twitter.com/claudferraz/status/939480130073845762; None; https://twitter.com/folha/status/939463388635176960]
[2017-12-08 17:27:43+00:00; claudferraz; Very interesting piece by @ioangrillo on how Splintering of Cartels in Mexico Pushes Deadly Violence to Record Levels https://t.co/Vsklajth9P; 0; 0; 2; 0; https://twitter.com/claudferraz/status/939184729198342144; None; None]
[2017-12-08 16:35:08+00:00; claudferraz; #tchauqueridos Projeto em redes sociais cria lista de deputados que não devem ser reeleitos https://t.co/nRtOmpyxl5; 0; 0; 2; 0; https://twitter.com/claudferraz/status/939171495686955008; None; None]
[2017-12-08 16:28:43+00:00; claudferraz; Must read, S. Levitsky and D. Ziblatt on a summary of the forthcoming book: How a Democracy Dies https://t.co/j7iOioXUfD; 0; 6; 14; 1; https://twitter.com/claudferraz/status/939169884155543553; None; None]
