[2020-12-01 19:19:50+00:00; cristilobo; Neutra informativa; 306; 27; 2683; 40; https://twitter.com/cristilobo/status/1333853329156403201; None; None] 
[2020-11-29 22:15:24+00:00; cristilobo; A maior vitória política , e pessoal, é a de Guilherme Boulos, aínda que não tenha vencido em São Paulo, Grande derrota do PT , que não elegeu prefeito em nenhuma Capital. Os partidos mais tradicionais terão de se reciclar, notadamente PT e PSDB.; 991; 130; 3730; 139; https://twitter.com/cristilobo/status/1333172736433287178; None; None] 
[2020-11-29 22:11:33+00:00; cristilobo; No geral, o eleitor em 2020 parece ter preferido o caminho do meio - e não os extremos na política. Também politicos já conhecidos. Pelo que se vê, o modelo Bolsonaro não se repetiu.; 438; 112; 2597; 64; https://twitter.com/cristilobo/status/1333171769662988292; None; None] 
[2020-10-24 20:23:18+00:00; cristilobo; @luizjvicente Sai de férias e agora cuido da saúde. Logo estarei de volta. 🙏🏾; 15; 0; 37; 3; https://twitter.com/cristilobo/status/1320098563892908033; None; None] 
[2020-10-09 17:43:40+00:00; cristilobo; @Le0_2016 Folga; 0; 0; 2; 0; https://twitter.com/cristilobo/status/1314622570872926338; None; None] 
[2020-10-08 17:55:55+00:00; cristilobo; @FCNatuzaNery @JuliaFinamorM Firme aí, Júlia! Toda força ...; 3; 0; 5; 0; https://twitter.com/cristilobo/status/1314263268328902658; None; None] 
[2020-10-07 23:08:31+00:00; cristilobo; Que maravilha de documento... tempo importante da política brasileira. Da política!!!! https://t.co/1kNjHBYb0L; 71; 14; 259; 5; https://twitter.com/cristilobo/status/1313979547415609344; None; https://twitter.com/letiafernandes/status/1313978949463146499] 
[2020-10-07 19:38:16+00:00; cristilobo; @JuliaFinamorM Dica: fique boa logo!!!  Você faz muita falta sempre, mas em período eleitoral, nem se fala!!!; 2; 0; 20; 1; https://twitter.com/cristilobo/status/1313926634966319105; None; None] 
[2020-10-07 19:37:19+00:00; cristilobo; @Ana_Flor Que lindo!; 2; 0; 25; 0; https://twitter.com/cristilobo/status/1313926396281004035; None; None] 
[2020-10-07 18:53:12+00:00; cristilobo; Nada banal, como querem fazer crer alguns senadores, fraude constatada no currículo de Kassio Nunes, escolhido para o STF.Pós-doutorado não reconhecido pela universidade e agora vê-se que trechos longos foram copiados na internet em sua tese de mestrado. O pessoal não aprende!; 158; 125; 1309; 25; https://twitter.com/cristilobo/status/1313915297221488643; None; None] 
[2020-10-07 16:35:22+00:00; cristilobo; @feltrinoficial Também não sei, mas estou no Tier 3; 1; 0; 9; 0; https://twitter.com/cristilobo/status/1313880607928258561; None; None] 
[2020-10-07 16:33:17+00:00; cristilobo; @Danielhrs Esperteza; 18; 1; 197; 2; https://twitter.com/cristilobo/status/1313880085854908417; None; None] 
[2020-10-07 16:03:48+00:00; cristilobo; Segundo o economista @lcmbarros o resultado no RS é impressionante, principalmente no custeio corrente e na conta da previdência. E, se a economia sobrais crescer ano que vem, como se espera, os resultados serão ainda melhores.; 28; 2; 79; 0; https://twitter.com/cristilobo/status/1313872665204142081; None; None] 
[2020-10-07 16:01:20+00:00; cristilobo; Já o governo federal prometeu sua reforma e já adiou seguidas vezes. A ideia agora é cortar altos salários para bancar o Renda Cidadã. Mas uma reforma com a gaúcha já estaria dando resultados com trava para evitar aumento de despesa.; 25; 4; 100; 0; https://twitter.com/cristilobo/status/1313872043545448448; None; None] 
