2020-12-09 17:01:18+00:00; danilogentili; Você sabia que o @eutiringaoficial é roteirista do meu programa?; 40843; 1472; ; ; https://www.instagram.com/p/CIlak4pi3RU/
2020-12-08 15:09:04+00:00; danilogentili; Eu nem sabia que eu tava concorrendo mas ganhei. Se eu tivesse perdido teria ficado quieto. Mas como eu ganhei tô divulgando. Eu sei lá quem concorreu comigo mas chupa quem perdeu! Uhuuuuu!; 58831; 1360; ; ; https://www.instagram.com/p/CIipAD2H3ox/
2020-12-07 21:14:15+00:00; danilogentili; Quando te perguntarem: “O que é um distinto cavalheiro?” mostre essa foto.; 80628; 1352; ; ; https://www.instagram.com/p/CIgt_1yHf-f/
2020-12-04 16:23:04+00:00; danilogentili; Parabéns por ser esse ser tão evoluído e iluminado @marciusmelhem , um dia eu chego lá.; 154362; 6593; ; ; https://www.instagram.com/p/CIYeSjHHN-F/
2020-12-03 19:39:18+00:00; danilogentili; HOJE TEM STAND-UP RAIZ! Obrigado ao grande artista e designer @desenhosdobala pelo cartaz do show!; 11942; 347; ; ; https://www.instagram.com/p/CIWP888nx6x/
2020-12-03 01:54:15+00:00; danilogentili; Me diverti muito o assistindo. E depois me diverti muito trabalhando com ele. O único de todo SBT que tinha um helicóptero só pra ele! Nos bastidores era um cara humilde e tranquilo. Na frente das câmeras prestativo e pau pra toda obra. Não tinha tempo ruim com ele. Entrou pra história da TV. Foi um prazer trabalhar com você, meu caro. Descanse em paz, Luiz. (seguem 3 trechinhos do grande Rodela); 86359; 942; ; ; https://www.instagram.com/p/CIUWEQAHq2h/
2020-12-01 22:19:18+00:00; danilogentili; ; 55138; 1573; ; ; https://www.instagram.com/p/CIRYkh4HUwd/
2020-11-30 15:23:14+00:00; danilogentili; Essa é a foto da boa semana. Me diga aqui embaixo o que você quer que aconteça com você essa semana que vai acontecer!; 79332; 2315; ; ; https://www.instagram.com/p/CIOEQvzHw_P/
2020-11-29 19:52:40+00:00; danilogentili; None; 134159; 2713; ; ; https://www.instagram.com/p/CIL-TSNnExV/
2020-11-29 15:46:55+00:00; danilogentili; Ontem eu apareci de surpresa no fim da noite do @risoramaoficial - e hoje tem mais! Valeu @diogoportugal mais uma vez arrebentando no mais tradicional e melhor festival de stand-up do País.; 23511; 209; ; ; https://www.instagram.com/p/CILiLY6HuMC/
2020-11-26 16:38:21+00:00; danilogentili; COMPRE JÁ! Travesseiro de cachorro! Recheado de orgãos de cachorro e revestido com pelos de cachorro. Infla e murcha enquanto você dorme e late quando acorda. #publi #publipost; 62613; 1169; ; ; https://www.instagram.com/p/CID5reJHn9B/
2020-11-23 17:13:13+00:00; danilogentili; A magia do Natal está apenas começando no The Noite.; 44319; 1008; ; ; https://www.instagram.com/p/CH8PSJHHeoS/
2020-11-17 17:03:45+00:00; danilogentili; QUINTA TEM! Eu @diogoportugal @oscarfilho e a sua mamãe!; 11028; 215; ; ; https://www.instagram.com/p/CHsxbogn52T/
