[2020-12-04 16:23:04+00:00; danilogentili; Parabéns por ser esse ser tão evoluído e iluminado @marciusmelhem , um dia eu chego lá.; https://www.instagram.com/p/CIYeSjHHN-F/; 152372; 6461] 
[2020-12-03 19:39:18+00:00; danilogentili; HOJE TEM STAND-UP RAIZ! Obrigado ao grande artista e designer @desenhosdobala pelo cartaz do show!; https://www.instagram.com/p/CIWP888nx6x/; 11676; 341] 
[2020-12-03 01:54:15+00:00; danilogentili; Me diverti muito o assistindo. E depois me diverti muito trabalhando com ele. O único de todo SBT que tinha um helicóptero só pra ele! Nos bastidores era um cara humilde e tranquilo. Na frente das câmeras prestativo e pau pra toda obra. Não tinha tempo ruim com ele. Entrou pra história da TV. Foi um prazer trabalhar com você, meu caro. Descanse em paz, Luiz. (seguem 3 trechinhos do grande Rodela); https://www.instagram.com/p/CIUWEQAHq2h/; 85682; 929] 
[2020-12-01 22:19:18+00:00; danilogentili; ; https://www.instagram.com/p/CIRYkh4HUwd/; 54456; 1551] 
[2020-11-30 15:23:14+00:00; danilogentili; Essa é a foto da boa semana. Me diga aqui embaixo o que você quer que aconteça com você essa semana que vai acontecer!; https://www.instagram.com/p/CIOEQvzHw_P/; 78584; 2288] 
[2020-11-29 19:52:40+00:00; danilogentili; None; https://www.instagram.com/p/CIL-TSNnExV/; 133606; 2696] 
[2020-11-29 15:46:55+00:00; danilogentili; Ontem eu apareci de surpresa no fim da noite do @risoramaoficial - e hoje tem mais! Valeu @diogoportugal mais uma vez arrebentando no mais tradicional e melhor festival de stand-up do País.; https://www.instagram.com/p/CILiLY6HuMC/; 23362; 207] 
[2020-11-26 16:38:21+00:00; danilogentili; COMPRE JÁ! Travesseiro de cachorro! Recheado de orgãos de cachorro e revestido com pelos de cachorro. Infla e murcha enquanto você dorme e late quando acorda. #publi #publipost; https://www.instagram.com/p/CID5reJHn9B/; 62413; 1163] 
[2020-11-23 17:13:13+00:00; danilogentili; A magia do Natal está apenas começando no The Noite.; https://www.instagram.com/p/CH8PSJHHeoS/; 44148; 1005] 
[2020-11-17 17:03:45+00:00; danilogentili; QUINTA TEM! Eu @diogoportugal @oscarfilho e a sua mamãe!; https://www.instagram.com/p/CHsxbogn52T/; 10939; 215] 
[2020-11-17 02:28:04+00:00; danilogentili; Arte é isso: saber retratar o padrão de beleza de sua era e eterniza-lo através da pintura. Parabéns @nand.olv por capturar a minha essência como ninguém: A arte corre nas suas veias!; https://www.instagram.com/p/CHrNN6QHMPz/; 46726; 1198] 
[2020-11-17 00:22:52+00:00; danilogentili; Eu e @bruno_diferente; https://www.instagram.com/p/CHq-2jWHmEF/; 38623; 790] 
[2020-11-14 00:27:11+00:00; danilogentili; Corre no canal do @leolins que acabou de estrear lá!; https://www.instagram.com/p/CHjQ_7eHlZ-/; 9295; 155] 
[2020-11-13 02:49:35+00:00; danilogentili; Hoje foi demais - de novo! Quinta que vem tem mais @standupraiz; https://www.instagram.com/p/CHg8gAzHSp1/; 39846; 415] 
[2020-11-10 23:35:52+00:00; danilogentili; Cancelem isso, motherfuckers!; https://www.instagram.com/p/CHbcvbbH1Kv/; 45874; 493] 
[2020-11-09 15:39:09+00:00; danilogentili; Valeu #jotinha; https://www.instagram.com/p/CHYBWiJHVae/; 70421; 832] 
[2020-11-07 16:15:24+00:00; danilogentili; 5 Reais faz toda diferença! Doe já! Saiba como entrando aqui @teletonoficial e aqui @aacdoficial #teleton2020 #teleton; https://www.instagram.com/p/CHS78ynHnX_/; 25250; 227] 
[2020-11-06 15:42:40+00:00; danilogentili; Abriremos estúdio hoje exclusivamente para homenagear nosso amigo, um grande cara mesmo sendo pequeno. Hoje tem The Noite especial Jotinha.; https://www.instagram.com/p/CHQTFMpnLbG/; 76958; 960] 
[2020-11-06 01:49:58+00:00; danilogentili; Foi um prazer, mais uma vez, dividir o palco do @standupraiz essa noite com vocês, senhores.; https://www.instagram.com/p/CHO0HMMnfi9/; 41416; 271] 
[2020-11-05 15:32:27+00:00; danilogentili; Acabou a contagem! Revelado aqui em primeira mão o novo presidente dos U.S.A.; https://www.instagram.com/p/CHNtcbcHiQm/; 125223; 4363] 
