2020-12-09 22:19:08+00:00; DaniloGentili; @KleberTanide Nossa mano me ajuda a crescer; 2; 0; 88; 0; https://twitter.com/DaniloGentili/status/1336797554944700424; None; None
2020-12-09 21:58:40+00:00; DaniloGentili; Entrevista que dei hoje para a @gazetadopovo   https://t.co/wuzbiKK1su; 19; 9; 370; 2; https://twitter.com/DaniloGentili/status/1336792405962608640; None; None
2020-12-09 21:16:46+00:00; DaniloGentili; @banana_fcuboko Mesmo discursinho do Melhem. Não, valeu.; 1; 0; 1; 0; https://twitter.com/DaniloGentili/status/1336781859360006145; None; None
2020-12-09 20:56:32+00:00; DaniloGentili; @znpedrin Deixa eu ver se adivinho: e vossa majestade decide quais piadas podem ou não podem, certo?; 10; 1; 277; 0; https://twitter.com/DaniloGentili/status/1336776768779395072; None; None
2020-12-09 20:55:41+00:00; DaniloGentili; Como disse @thiagocarmona outro dia aqui: não seja egoísta. Não é porque você não riu que todos também não devem rir. https://t.co/vM85AxUC1W; 24; 17; 441; 1; https://twitter.com/DaniloGentili/status/1336776554781806594; None; https://twitter.com/KazEfreet/status/1336775094555860992
2020-12-09 20:54:35+00:00; DaniloGentili; @matheusueta É nóis; 0; 1; 16; 0; https://twitter.com/DaniloGentili/status/1336776276577832960; None; None
2020-12-09 20:47:59+00:00; DaniloGentili; Na minha época diziam: “Rir é o melhor remédio”.  Hoje em dia dizem: “Piadas machucam”.  Bom, isso define bem como essa geração é PAU NO CU.  Abraços.; 226; 746; 10177; 84; https://twitter.com/DaniloGentili/status/1336774616371646467; None; None
2020-12-09 19:29:51+00:00; DaniloGentili; Meu filme tem fãs até no Japão \o/  Mas você não vai ler sobre isso na mídia brasileira... https://t.co/DYuujS6UWg; 125; 72; 2010; 11; https://twitter.com/DaniloGentili/status/1336754955382886406; None; None
2020-12-09 18:53:04+00:00; DaniloGentili; Esse dia eu dei uma erradinha. https://t.co/XUEzhNfdhz; 26; 19; 548; 6; https://twitter.com/DaniloGentili/status/1336745699627642885; None; None
2020-12-09 18:45:42+00:00; DaniloGentili; Ví esse artigo e achei interessante: https://t.co/Cdn0umPyKe; 17; 2; 128; 0; https://twitter.com/DaniloGentili/status/1336743842339549184; None; None
2020-12-09 17:41:33+00:00; DaniloGentili; @CesarMenotti @Maraisa Mais que Interessante; 5; 1; 193; 0; https://twitter.com/DaniloGentili/status/1336727699654586374; None; None
2020-12-09 17:22:31+00:00; DaniloGentili; https://t.co/8OUXL2vnoX; 380; 35; 4739; 35; https://twitter.com/DaniloGentili/status/1336722912003448834; None; None
2020-12-09 17:03:49+00:00; DaniloGentili; @monark Ok! Nao tenho endereço manda na DM!; 14; 0; 585; 0; https://twitter.com/DaniloGentili/status/1336718205843279875; None; None
2020-12-09 16:44:36+00:00; DaniloGentili; https://t.co/76Knrswoqe; 17; 10; 1002; 2; https://twitter.com/DaniloGentili/status/1336713367315214336; None; None
2020-12-09 16:33:43+00:00; DaniloGentili; Foi um prazer dividir palco e emissora com vc. Você é um grande exemplo. Aprendi muito com você no SBT! https://t.co/HnZNWKnUQS; 39; 7; 1136; 3; https://twitter.com/DaniloGentili/status/1336710629869150208; None; https://twitter.com/celsoportiolli/status/1336702510262837248
2020-12-09 16:32:50+00:00; DaniloGentili; O @monark @igor_3k sabado começa 20:00 em ponto e é ao vivo certo? Só chegar e entrar?; 105; 40; 5303; 27; https://twitter.com/DaniloGentili/status/1336710404916064256; None; None
2020-12-09 15:36:34+00:00; DaniloGentili; Quero dizer que o SBT sempre foi uma excelente casa para se trabalhar e eu haja o que houver sempre terei muito carinho pela emissora. https://t.co/dHk5SUtrO1; 160; 23; 2346; 15; https://twitter.com/DaniloGentili/status/1336696247768506372; None; https://twitter.com/Hialley/status/1336694880001798159
2020-12-09 15:24:58+00:00; DaniloGentili; @vmartins1981 @madeleinelacsko @mariaclara_av @gazetadopovo Vc sabe onde vai parar a conversa: sua hipocrisia será apontada.  Por isso achou melhor parar por aqui.; 1; 0; 13; 0; https://twitter.com/DaniloGentili/status/1336693328029605888; None; None
2020-12-09 13:45:52+00:00; DaniloGentili; @vmartins1981 @madeleinelacsko @mariaclara_av @gazetadopovo O problema foi zuar o peso ou zuar a manuzinha? Seja sincero que eu continuo a conversa.; 2; 0; 27; 0; https://twitter.com/DaniloGentili/status/1336668390023450625; None; None
2020-12-09 13:03:01+00:00; DaniloGentili; Eu respondo vocês no Sparkle! Me segue lá: https://t.co/SAbFCaAHrT; 17; 3; 136; 1; https://twitter.com/DaniloGentili/status/1336657603116593152; None; None
2020-12-09 01:42:50+00:00; DaniloGentili; @ThiagoPHZ Foi demais! Valeu por ter ido.; 5; 2; 311; 0; https://twitter.com/DaniloGentili/status/1336486432718909442; None; None
2020-12-08 19:16:03+00:00; DaniloGentili; O @monark @igor_3k vocês descolam pra mim Gin Tônica no sábado?; 136; 36; 6949; 15; https://twitter.com/DaniloGentili/status/1336389094092517381; None; None
2020-12-08 17:38:12+00:00; DaniloGentili; Juri Oficial vs Juri Popular https://t.co/4FNX7fFAjf; 209; 166; 6841; 16; https://twitter.com/DaniloGentili/status/1336364469241384960; None; https://twitter.com/mauroduarte/status/1336344473366896645
2020-12-08 17:26:20+00:00; DaniloGentili; @mauroduarte HAHAHHAHAHAHAH; 8; 2; 592; 0; https://twitter.com/DaniloGentili/status/1336361482372702212; None; None
2020-12-08 14:42:39+00:00; DaniloGentili; @tsurtado Opaaaaa  Eu que tenho diversidade na minha sou tudo com “ista” no fim; 2; 1; 48; 0; https://twitter.com/DaniloGentili/status/1336320289760706566; None; None
2020-12-08 14:17:24+00:00; DaniloGentili; @luiz_marioags Concordo mil por cento; 0; 1; 97; 0; https://twitter.com/DaniloGentili/status/1336313935205699585; None; None
2020-12-08 14:04:41+00:00; DaniloGentili; Podemos ver que além da vida imitar a arte , ele também revolucionou a comédia. https://t.co/seoSLBnF69 https://t.co/lCaCTvG7yf; 67; 83; 2457; 12; https://twitter.com/DaniloGentili/status/1336310734561669120; None; https://twitter.com/bryammedeiros/status/1336282679529136129
2020-12-08 13:51:56+00:00; DaniloGentili; @marcelaleal Vamo almoça la um dia, avisa q te pego; 1; 0; 10; 0; https://twitter.com/DaniloGentili/status/1336307527655550977; None; None
2020-12-08 02:28:01+00:00; DaniloGentili; Quinta tem eu @DiogoPortugal e @OscarFilho   Ingressos: https://t.co/aKruykCkEv https://t.co/lBwKOborsl; 35; 17; 651; 3; https://twitter.com/DaniloGentili/status/1336135413719830530; None; None
2020-12-07 19:47:19+00:00; DaniloGentili; Esse é o programa da família brasileira. Abraços. https://t.co/GxZCuaMAWK; 64; 99; 4592; 13; https://twitter.com/DaniloGentili/status/1336034574963503106; None; None
2020-12-07 14:43:20+00:00; DaniloGentili; @cinemari Espero que a PF, e em breve.; 3; 0; 162; 0; https://twitter.com/DaniloGentili/status/1335958074964795399; None; None
2020-12-07 14:42:38+00:00; DaniloGentili; https://t.co/uFadTlTfDA; 109; 34; 1429; 16; https://twitter.com/DaniloGentili/status/1335957897617010689; None; None
2020-12-07 14:36:29+00:00; DaniloGentili; E quando a imprensa te ataca, qual projeto de lei te defende? https://t.co/ZJXMr2rsqw; 121; 228; 4524; 22; https://twitter.com/DaniloGentili/status/1335956350719971329; None; https://twitter.com/SenadoFederal/status/1335916969028149250
2020-12-07 14:25:45+00:00; DaniloGentili; Rola: isso a Globo não mostra. O @omarciusmelhem sim. https://t.co/3TCQruX7Dc; 73; 115; 3661; 11; https://twitter.com/DaniloGentili/status/1335953650527637504; None; https://twitter.com/lapena/status/1335952380525940740
2020-12-07 14:24:42+00:00; DaniloGentili; @dayvisoncs @lapena Ele tava ironizando o Melhem, cara Calma; 1; 0; 62; 0; https://twitter.com/DaniloGentili/status/1335953384726278151; None; None
2020-12-07 14:15:38+00:00; DaniloGentili; @cinemari Pouxa ...; 1; 0; 39; 0; https://twitter.com/DaniloGentili/status/1335951101993119748; None; None
2020-12-07 13:54:43+00:00; DaniloGentili; @RogerioVilela Acho que ele quer cagar; 5; 1; 163; 1; https://twitter.com/DaniloGentili/status/1335945839764713477; None; None
2020-12-07 01:23:43+00:00; DaniloGentili; @RogerioVilela @igor_3k É uma pena, vocês formam um belo casal; 3; 1; 182; 0; https://twitter.com/DaniloGentili/status/1335756844158115840; None; None
2020-12-07 01:18:50+00:00; DaniloGentili; @igor_3k Estarei de cueca por baixo do terno. E vou levar charuto e mulheres; 31; 6; 2532; 2; https://twitter.com/DaniloGentili/status/1335755615851909124; None; None
2020-12-06 22:59:56+00:00; DaniloGentili; @brendaolivieri Tomou vinho ontem?; 16; 2; 132; 0; https://twitter.com/DaniloGentili/status/1335720658655907841; None; None
2020-12-06 21:40:10+00:00; DaniloGentili; @DrikaNozes Otimo nome; 0; 0; 18; 0; https://twitter.com/DaniloGentili/status/1335700586004697091; None; None
2020-12-06 18:57:09+00:00; DaniloGentili; @MateusMrqsUP @sarubo Zuei legal nessa; 0; 0; 14; 0; https://twitter.com/DaniloGentili/status/1335659561706000387; None; None
2020-12-06 18:52:35+00:00; DaniloGentili; @sarubo Bom seria o Bottas olhar no retrovisor e encontrar o Meias.; 34; 3; 302; 0; https://twitter.com/DaniloGentili/status/1335658410348584960; None; None
2020-12-06 15:16:12+00:00; DaniloGentili; @8mile2000 @PetherPMR @HeroisMilGrau @Wee_Lelo Nao respondeu ainda   Agora q viu, responda; 2; 0; 9; 0; https://twitter.com/DaniloGentili/status/1335603958207959040; None; None
2020-12-06 15:08:09+00:00; DaniloGentili; @8mile2000 @PetherPMR @HeroisMilGrau @Wee_Lelo Responde o cara , fake do boulos; 1; 0; 8; 0; https://twitter.com/DaniloGentili/status/1335601933449453568; None; None
2020-12-06 03:21:20+00:00; DaniloGentili; @gabriel_algo @MaiconRengel1 @andrezadelgado @gpiaulino Ai preciso concordar Jamais comeria; 3; 0; 23; 0; https://twitter.com/DaniloGentili/status/1335424056250789888; None; None
2020-12-06 03:12:46+00:00; DaniloGentili; @Maraisa Eu sou mais que isso... eu sou dois ovo e uma linguiça; 25; 4; 304; 3; https://twitter.com/DaniloGentili/status/1335421900043014147; None; None
2020-12-06 01:18:09+00:00; DaniloGentili; :) https://t.co/Vx2sVZOSbB; 123; 32; 4580; 9; https://twitter.com/DaniloGentili/status/1335393057194336256; None; None
2020-12-06 01:11:33+00:00; DaniloGentili; @swishscream Apareça lá e ouça os risos https://t.co/2xKfAR7bi2; 1; 0; 32; 0; https://twitter.com/DaniloGentili/status/1335391396308639747; None; None
2020-12-06 01:10:53+00:00; DaniloGentili; @corsao Nao Meu advogado disse q usariam isso contra mim depois , pois defendo a liberdade de expressao e diriam q eu seria hipocrita se eu processasse  Mas nesse caso inventaram uma mentira contra mim, sei la, eu acho q poderia ter rolado; 2; 0; 20; 0; https://twitter.com/DaniloGentili/status/1335391225260744705; None; None
2020-12-06 01:09:23+00:00; DaniloGentili; @jesseamaral É isso https://t.co/xgMtAr0szq; 5; 8; 100; 1; https://twitter.com/DaniloGentili/status/1335390849316876292; None; None
2020-12-06 00:57:10+00:00; DaniloGentili; @andrezadelgado @RuanCasablancas @aguedescartoon @gpiaulino Vc propagou fake news Querida; 6; 0; 113; 0; https://twitter.com/DaniloGentili/status/1335387773868642304; None; None
2020-12-06 00:37:49+00:00; DaniloGentili; @omarciusmelhem Tô com medo de clicar e ver seu pinto. Você mostra a rola na live?; 104; 38; 3939; 14; https://twitter.com/DaniloGentili/status/1335382906030665729; None; None
2020-12-06 00:34:54+00:00; DaniloGentili; Creio que se a imprensa nao tivesse feito essa fake news, e compartilhando tanto a narrativa dela sem jamais falarem comigo eu nao teria perdido o processo.  Foi bem descabida as acusações. Mas havia pressão midiatica.  E ate hoje usam isso “xingou doadora de leite de vaca”; 44; 16; 861; 2; https://twitter.com/DaniloGentili/status/1335382172165922816; None; None
2020-12-06 00:34:54+00:00; DaniloGentili; Detalhe: ela publicou a propria foto, ela escolheu ser noticia , ela virou meme antes que eu fizesse piada - as piadas sao feitas com noticias públicas, e ela era uma no momento. Fiz piada da noticia de uma brasileira no guiness. Não xinguei doadora de leite de vaca.; 3; 8; 631; 0; https://twitter.com/DaniloGentili/status/1335382170454593545; None; None
2020-12-06 00:34:53+00:00; DaniloGentili; Carta Capital, folha e outros veiculos começaram a noticiar que eu a chamei de Vaca, que o leite dela secou por minha culpa, que ela nao podia mais andar na rua e jamais me ouviram ou pediram declaraçao minha a respeito. Noticiaram que eu a chamei de vaca e fim.; 5; 7; 448; 0; https://twitter.com/DaniloGentili/status/1335382169158623243; None; None
2020-12-06 00:34:53+00:00; DaniloGentili; O roteiro me entregou uma piada a respeito de uma brasileira querendo entrar no guiness.   Só depois ela veio a publico com outro discurso dizendo q ia me processar e começou a explorar a imagem de filantropa vitimada por mim.; 2; 1; 352; 1; https://twitter.com/DaniloGentili/status/1335382167451553793; None; None
2020-12-06 00:34:53+00:00; DaniloGentili; Somente aí nessa fase que ela começou a explorar o discurso que ela seria uma filantropa - até entao ela se apresentava na mídia como uma mulher que queria entrar pro Guiness.   Essa era a noticia que tínhamos dela até entao MUNDO BIZARRO: BRASILEIRA QUER IR PRO GUINESS; 2; 4; 368; 0; https://twitter.com/DaniloGentili/status/1335382165962502145; None; None
2020-12-06 00:34:52+00:00; DaniloGentili; Tava tudo ok, foi apenas mais uma piada como tantas outras.   Ate que muitos dias depois ela aparece chorando na midia dizendo que AS PESSOAS NA RUA A CHAMAVAM DE VACA POR MINHA CULPA (??)   E ela chorava e dizia que eu acabei com a vida dela.; 2; 1; 364; 1; https://twitter.com/DaniloGentili/status/1335382164687425540; None; None
2020-12-06 00:34:52+00:00; DaniloGentili; Minha equipe de roteiro achou que era uma notícia engraçada do MUNDO BIZARRO e sugeriu a piada que fiz : ELA QUER IR PRO GUINESS COMO A MAIOR DOADORA DE LEITE DO MUNDO MAS KID BENGALA JA ENTROU NA MESMA CATEGORIA.  Essa foi a piada que eu fiz. Mostramos a noticia no programa.; 3; 3; 368; 0; https://twitter.com/DaniloGentili/status/1335382163517272065; None; None
2020-12-06 00:34:52+00:00; DaniloGentili; Farei uma Thread - de novo, sobre o caso. Vamo lá.  Ela tava no MUNDO BIZARRO querendo entrar no Guiness. Nada tinha a ver com filantropia a noticia. A notícia era BRASILEIRA QUER IR PRO GUINESS. Era essa a notícia.  Após dias a notícias virou meme. TODO MUNDO já tava comentando. https://t.co/BVmpxNJqbV; 27; 30; 984; 4; https://twitter.com/DaniloGentili/status/1335382162212855810; None; https://twitter.com/dossiedofelipe/status/1335362913348050945
2020-12-06 00:08:30+00:00; DaniloGentili; @marcxsvini @andrezadelgado @TiaguinhoLG @art4mis_ Deve ser dificil pra vc me ver na internet, tv, revistas  Ê  Tem q me engolir  Pena pra vc; 4; 0; 89; 1; https://twitter.com/DaniloGentili/status/1335375525850861577; None; None
