2020-12-10 12:46:39+00:00; DouglasGarcia; @Scaramuzza81 https://t.co/yYsWaXhtPS; 8; 1; 2; 0; https://twitter.com/DouglasGarcia/status/1337015872247001089; None; None
2020-12-10 12:43:17+00:00; DouglasGarcia; Agora que a urgência do PDL 42 foi aprovada, precisa passar no Congresso de Comissões e finalmente chegar em plenário. Creio que isso ocorra até no máximo semana que vem! Agora o meu trabalho é de conversar e convencer deputados pois preciso do quórum mínimo de 48 votos. https://t.co/YJtJFqSe0P; 1647; 75; 263; 34; https://twitter.com/DouglasGarcia/status/1337015027975540736; None; None
2020-12-10 12:22:56+00:00; DouglasGarcia; @nalusantos_ Sim, ainda aguarda a sentença.; 14; 0; 0; 0; https://twitter.com/DouglasGarcia/status/1337009903953653762; None; None
2020-12-10 12:21:04+00:00; DouglasGarcia; Da favela ao poder, sem perder a essência 🙏🏾   Um bom dia a todos e bora trabalhar! 🇧🇷 https://t.co/ZvgiRrAZZa; 5196; 258; 461; 70; https://twitter.com/DouglasGarcia/status/1337009434359451650; None; None
2020-12-10 04:05:49+00:00; DouglasGarcia; .@v_dosfatos tá de graça aí... Solta o carimbão; 2559; 25; 151; 2; https://twitter.com/DouglasGarcia/status/1336884800196665344; None; None
2020-12-10 04:02:32+00:00; DouglasGarcia; Vou processar o Antagonista por racismo e homofobia.; 7423; 291; 599; 68; https://twitter.com/DouglasGarcia/status/1336883977190322176; None; None
2020-12-10 04:00:52+00:00; DouglasGarcia; Cara, que fake news monstra, @claudioedantas ! a AP não foi do MP, FOI MINHA. O MP não protocola ação popular! Tudo isso é medo de dizer meu nome? CNN foi no mesmo esquema, como se o MP não tivesse sido provocado. Vale a pena pedir direito de resposta à fanfic? Vale! Mando hoje https://t.co/PDRbM4A5Nw https://t.co/SN4l1Kbj8W; 7699; 233; 1250; 153; https://twitter.com/DouglasGarcia/status/1336883555377569793; None; https://twitter.com/o_antagonista/status/1336870440430669824
2020-12-10 03:49:10+00:00; DouglasGarcia; @AlineSleutjes @ToniettoChris Parabéns, Chris! Que Nosso Senhor Jesus Cristo abençoe e dê muita saúde ao novo membro da família! 🥰; 107; 2; 2; 0; https://twitter.com/DouglasGarcia/status/1336880611580108803; None; None
2020-12-10 01:54:33+00:00; DouglasGarcia; Já estou em contato com a família. Obrigado.; 4105; 154; 167; 26; https://twitter.com/DouglasGarcia/status/1336851768869875714; None; None
2020-12-10 01:36:39+00:00; DouglasGarcia; Nenhuma palavra da grande mídia sobre o parecer favorável do MP à publicização do acordo do Docinho com a Sinovac. Tudo o que vem dos conservadores eles tentam boicotar. Meus parabéns pelo trabalho das mídias independentes que levaram essa informação hoje durante o dia inteiro 👏🏾; 12162; 255; 2019; 183; https://twitter.com/DouglasGarcia/status/1336847262350184450; None; None
2020-12-10 01:28:19+00:00; DouglasGarcia; Me passe o contato da família na DM, eu me comprometo a levar o caso às autoridades para investigar e punir estes escandalosos abusos cometidos pelos agentes e responsabilizar também a Prefeitura da cidade de Santos que está promovendo o terror. https://t.co/Dc1baA3hHI; 6052; 187; 1034; 112; https://twitter.com/DouglasGarcia/status/1336845164418134017; None; https://twitter.com/Felipelourabras/status/1336841435576987649
