[2017-12-30 23:58:04+00:00; BolsonaroSP; @Merciabh09 @OdeCarvalho @moura_101 @brasilparalelo Meu caro, não seja tão baixo nível. Está invertendo as coisas para jogar os veganos/vegetarianos contra mim. Eu não fiz lei para proibir salada  nos cardápios. Aliás, eu até curto 😉👍; 0; 2; 23; 0; https://twitter.com/BolsonaroSP/status/947255499648507906; None; None]
[2017-12-30 23:55:35+00:00; BolsonaroSP; @Merciabh09 @Wanessa_Aguiar @OdeCarvalho @moura_101 @brasilparalelo Diga-me qual lei proíbe que num cardápio existe a opção de salada, carne de soja? Eu curto alimentação saudável, evito sal, prefiro orgânicos mas não posso fazer uma lei para impor isso aos outros. Hoje é segunda sem carne, amanhã é fim da churrascaria.; 2; 4; 14; 0; https://twitter.com/BolsonaroSP/status/947254872956592133; None; None]
[2017-12-30 23:51:47+00:00; BolsonaroSP; O que o Brasil precisa é de menos leis, menos decretos, menos instruções nornativas, menos portarias...  E ainda tem gente que acha que um político se mede pelo número de leis aprovadas e não pelos projetos que ele impediu que virassem lei. Pense sobre isso.; 95; 628; 2523; 21; https://twitter.com/BolsonaroSP/status/947253916101570560; None; None]
[2017-12-30 20:20:47+00:00; BolsonaroSP; LEI DA SEGUNDA SEM CARNE EM SP. Não é sobre saúde, é sobre sua liberdade. Não é papel do Estado intervir em suas decisões pessoais e modo de vida. Assista @OdeCarvalho @moura_101 e @brasilparalelo . https://t.co/MZSHMHPjiT; 75; 374; 1057; 32; https://twitter.com/BolsonaroSP/status/947200818113003521; None; None]
[2017-12-30 19:01:24+00:00; BolsonaroSP; Em 2018 vamos resgatar o Brasil! 🇧🇷 #2018 #resgate #Brasil https://t.co/KSn1d3sBJU; 22; 105; 434; 4; https://twitter.com/BolsonaroSP/status/947180837241417728; None; None]
[2017-12-30 18:55:55+00:00; BolsonaroSP; Quer receber notícias sobre nosso trabalho? Cadastre-se no link abaixo e fique fora do filtro das redes sociais.  https://t.co/jw3wqHyuic; 4; 36; 156; 0; https://twitter.com/BolsonaroSP/status/947179459563593728; None; None]
[2017-12-29 17:00:10+00:00; BolsonaroSP; Quem disser “Maria do Rosário não merecia ser assaltada” está defendendo que existem pessoas que merecem ser assaltadas? Isso é apologia ao roubo? Serão condenadas a indenizar a deputada? 🤔; 101; 704; 2906; 25; https://twitter.com/BolsonaroSP/status/946787941375864833; None; None]
[2017-12-29 00:01:15+00:00; BolsonaroSP; @jairbolsonaro fala sobre assalto a Maria. Sem mais. Boa noite. https://t.co/8PVAHPnwgV; 36; 307; 1123; 26; https://twitter.com/BolsonaroSP/status/946531522420420608; None; None]
[2017-12-28 15:43:58+00:00; BolsonaroSP; @jairbolsonaro já tem o melhor media trainning: a espontaneidade. Se for p/ falar tudo perfeito igual a um robozinho ele teria lugar em qualquer grande partido de centro, mas sem o apoio populacional que clama por alguém de pulso forte, que não se dobre ao politicamente correto.; 23; 70; 527; 0; https://twitter.com/BolsonaroSP/status/946406375868973056; None; None]
[2017-12-28 05:54:42+00:00; BolsonaroSP; 🇻🇪Acompanho Maduro pelo instagram. Acho que é a pessoa que mais faz vídeos ao vivo, deve ter um pacote de internet eterno. Mas o curioso é que de uns meses para cá ele desabilitou comentários. Perdeu a graça assistir sua lives, pois eram um show de repúdios! https://t.co/R8NswuxohW; 13; 35; 212; 0; https://twitter.com/BolsonaroSP/status/946258085244370944; None; None]
[2017-12-28 04:13:41+00:00; BolsonaroSP; AVISO A BRIGADA MILITAR: respeitem os direitos humanos,todos têm a presunção da inocência até o trânsito em julgado,abordar negros é racismo,baculejo em pobre é preconceito,informação de informante é prova ilícita,só atirem se forem alvejados,tiro de advertência é proibido...🤔 https://t.co/pyDT9FerQL; 38; 106; 599; 9; https://twitter.com/BolsonaroSP/status/946232661613228032; None; None]
[2017-12-28 02:44:50+00:00; BolsonaroSP; “Não é assalto, é expropriação ou no máximo distribuição de riquezas. Se fôssemos todos iguais isso não ocorreria. O roubo é fruto do sistema capitalista”.   Quem pensa assim é melhor nem fazer B.O na polícia, afinal a polícia é o aparato opressor da burguesia.; 69; 574; 2240; 17; https://twitter.com/BolsonaroSP/status/946210304098045952; None; None]
