2020-12-05 22:01:57+00:00; eduardomoreira; @gusprista Voce esta confundindo BC com Fazenda; 2; 1; 60; 0; https://twitter.com/eduardomoreira/status/1335343680220262408; None; None
2020-12-05 21:53:26+00:00; eduardomoreira; Quem escreve que Lula representa um extremo pra compara-lo com Bolsonaro ou é mal intencionado ou burro. Alencar de vice, Meirelles no BC,  aliança com partidos do centro, conselhão com empresários... Mas como uma mentira repetida acaba pegando, eles insistem...; 120; 611; 5583; 60; https://twitter.com/eduardomoreira/status/1335341535735521281; None; None
2020-12-03 18:05:47+00:00; eduardomoreira; Minha familia toda (incluindo tios e tias) recebendo mensagens hoje com pedido de dinheiro e assédio moral. Um dia depois da divulgação da lista dos detratores e do meu engajamento pela CPI. Para os que achavam que a lista era bobagem e não daria em nada, ta aí...; 162; 619; 7738; 90; https://twitter.com/eduardomoreira/status/1334559472451264525; None; None
2020-12-02 20:14:01+00:00; eduardomoreira; Bora!! #CPIdosDetratores https://t.co/xl8qifQacd; 44; 45; 430; 32; https://twitter.com/eduardomoreira/status/1334229354201616387; None; https://twitter.com/jandira_feghali/status/1334206783993344000
2020-12-02 20:07:04+00:00; eduardomoreira; Boa @felipeneto #CPIdosDetratores https://t.co/N1zDfHhj7h; 14; 24; 305; 6; https://twitter.com/eduardomoreira/status/1334227607190200322; None; https://twitter.com/felipeneto/status/1334223237488783363
2020-12-02 19:56:27+00:00; eduardomoreira; @JoaoEnsina @FlavioDino Obrigado querido amigo!!! Que honra ter um desenho meu feeito por você! Parabens por seu talento; 0; 1; 10; 0; https://twitter.com/eduardomoreira/status/1334224931714895880; None; None
2020-12-02 19:43:17+00:00; eduardomoreira; Numero 1 no Twitter no Brasil! Precisamos instaurar essa CPI e exigir respostas!! #CPIdosDetratores https://t.co/tATXeL7BYP; 59; 156; 1046; 50; https://twitter.com/eduardomoreira/status/1334221621104676864; None; None
2020-12-02 19:41:43+00:00; eduardomoreira; Segue o pedido de CPI https://t.co/kV1JSnaQYR; 22; 52; 462; 26; https://twitter.com/eduardomoreira/status/1334221226873643010; None; https://twitter.com/jandira_feghali/status/1334220359692939270
2020-12-02 19:40:55+00:00; eduardomoreira; Boa querida @lidicedamata !! #CPIdosDetratores https://t.co/YafSDQPmEH; 12; 31; 216; 9; https://twitter.com/eduardomoreira/status/1334221023932256263; None; https://twitter.com/lidicedamata/status/1334208490143952897
2020-12-02 19:40:21+00:00; eduardomoreira; #CPIdosDetratores https://t.co/hnm3RgKgMk; 5; 14; 134; 4; https://twitter.com/eduardomoreira/status/1334220881648885767; None; https://twitter.com/ThiagoResiste/status/1334215394345820160
2020-12-02 19:24:25+00:00; eduardomoreira; Ja somos o segundo assunto mais comentado do país (sem usar robôs)!! Vamos chegar no topo turma!! Conto com todos! Vamos instaurar essa CPI #SomosTodosDetratores https://t.co/oRivKIIvAp; 61; 123; 1153; 60; https://twitter.com/eduardomoreira/status/1334216873706201091; None; None
