[2020-12-04 17:12:50+00:00; vidadestra; Boletim Vida Destra 36; https://www.instagram.com/p/CIYj-_oJO8G/; 9; 0] 
[2020-12-04 15:24:53+00:00; vidadestra; None; https://www.instagram.com/p/CIYXoW3p_b7/; 15; 0] 
[2020-12-04 15:24:32+00:00; vidadestra; None; https://www.instagram.com/p/CIYXlzxpexW/; 16; 0] 
[2020-12-03 23:00:44+00:00; vidadestra; None; https://www.instagram.com/p/CIWnALWpxrh/; 17; 0] 
[2020-12-03 23:00:22+00:00; vidadestra; None; https://www.instagram.com/p/CIWm9jnJerU/; 6; 0] 
[2020-12-03 23:00:02+00:00; vidadestra; None; https://www.instagram.com/p/CIWm7ELJ7VG/; 21; 0] 
[2020-12-03 22:59:37+00:00; vidadestra; None; https://www.instagram.com/p/CIWm4EnpTu2/; 14; 0] 
[2020-12-01 14:06:08+00:00; vidadestra; None; https://www.instagram.com/p/CIQgO7kppS3/; 3; 0] 
[2020-12-01 14:04:23+00:00; vidadestra; None; https://www.instagram.com/p/CIQgCI8pQ0s/; 3; 1] 
[2020-12-01 14:02:29+00:00; vidadestra; None; https://www.instagram.com/p/CIQf0QNJNLC/; 5; 3] 
[2020-12-01 13:51:54+00:00; vidadestra; None; https://www.instagram.com/p/CIQemwXph_A/; 6; 0] 
[2020-12-01 13:49:47+00:00; vidadestra; None; https://www.instagram.com/p/CIQeXJZpeaJ/; 45; 3] 
[2020-12-01 13:36:49+00:00; vidadestra; None; https://www.instagram.com/p/CIQc4RPpP8q/; 8; 0] 
[2020-12-01 13:28:41+00:00; vidadestra; None; https://www.instagram.com/p/CIQb8qUpS2K/; 21; 0] 
[2020-11-27 13:56:37+00:00; vidadestra; Nota de repúdio ao Embaixador Chinês; https://www.instagram.com/p/CIGL9y4pUn4/; 18; 2] 
[2020-11-27 13:55:48+00:00; vidadestra; Ouça o Podcast Boletim Vida Destra 35.; https://www.instagram.com/p/CIGL3vLpANJ/; 5; 0] 
[2020-11-27 13:55:11+00:00; vidadestra; Parte III dessa excelente série; https://www.instagram.com/p/CIGLzQpptBi/; 8; 0] 
