[2020-12-05 19:27:32+00:00; felipeneto; Brooklyn 99 é uma das melhores séries de comédia de todos os tempos e só a minha opinião importa.; 536; 873; 7522; 326; https://twitter.com/felipeneto/status/1335304820014657539; None; None] 
[2020-12-05 16:57:17+00:00; felipeneto; Cara, eu moro na Barra.  QUE POWRA É ESSA?????????? https://t.co/t8JiFVrRk2; 1456; 84; 5654; 243; https://twitter.com/felipeneto/status/1335267006304702464; None; https://twitter.com/RenatoBacon/status/1335264436102307841] 
[2020-12-05 16:51:52+00:00; felipeneto; Oi.  Obrigado por vcs existirem na minha vida.  Só isso.; 1075; 179; 13294; 174; https://twitter.com/felipeneto/status/1335265646758809604; None; None] 
[2020-12-05 05:30:44+00:00; felipeneto; @EsquerdaAntifas @CardosoRosy Como o PT se uniu ao MDB a ponto de colocar Michel Temer como vice e continuou sendo esquerda?; 4; 0; 32; 0; https://twitter.com/felipeneto/status/1335094230721699841; None; None] 
[2020-12-05 04:54:40+00:00; felipeneto; @soutamires_sp Mas sempre existiu com esse ódio entre petistas e pedetistas?; 83; 0; 164; 1; https://twitter.com/felipeneto/status/1335085156655370243; None; None] 
[2020-12-05 04:29:59+00:00; felipeneto; @altamiroffc É...  Se vc acha q as cagadas do Lula são perdoáveis, mas o Ciro ter se recusado a declarar apoio ao PT não é, vc de novo provou meu ponto.  Abraço. É uma pena q estejamos nessa situação.; 5; 0; 189; 3; https://twitter.com/felipeneto/status/1335078945369300992; None; None] 
[2020-12-05 04:27:45+00:00; felipeneto; @CardosoRosy Eu sei, preciso me informar mais. Tipo como a esquerda do Lula governou pros bancos e continuou sendo esquerda.  Vou estudar.; 2; 0; 14; 0; https://twitter.com/felipeneto/status/1335078380287430659; None; None] 
[2020-12-05 04:26:38+00:00; felipeneto; @altamiroffc Há argumentos contra o Ciro e há argumentos contra o Lula. A questão é q o extremista só enxerga um lado, nunca admite as cagadas de seus ídolos.; 6; 4; 155; 0; https://twitter.com/felipeneto/status/1335078101450108928; None; None] 
[2020-12-05 04:23:35+00:00; felipeneto; @leleoarantes Meu Deus...; 1; 0; 43; 0; https://twitter.com/felipeneto/status/1335077334517493764; None; None] 
[2020-12-05 04:23:19+00:00; felipeneto; @CardosoRosy Obrigado por provar meu ponto.; 1; 0; 7; 0; https://twitter.com/felipeneto/status/1335077266590736384; None; None] 
[2020-12-05 04:22:02+00:00; felipeneto; @altamiroffc Obrigado por provar meu ponto.; 3; 0; 388; 2; https://twitter.com/felipeneto/status/1335076941536374784; None; None] 
