[2020-12-05 19:07:43+00:00; sigaoflavio; Parece aquela famosa cena de “Bacurau”, mas é a vida real. https://t.co/yXqj8oWS0j; 5; 2; 88; 2; https://twitter.com/sigaoflavio/status/1335299830885867524; None; None] 
[2020-12-05 14:39:04+00:00; sigaoflavio; “Cidadão não, sou servidor público federal”.   “Engenheiro, melhor do que você”  É impressionante como as pessoas querem se sentir melhor do que outras. Querido, como disse Margareth Tatcher, “se você precisa ficar afirmando que é uma dama, é por que você não é”. https://t.co/3qTXrdowOD; 10; 9; 154; 2; https://twitter.com/sigaoflavio/status/1335232226330611712; None; https://twitter.com/em_com/status/1335040444875608064] 
[2020-12-04 20:42:11+00:00; sigaoflavio; ESTÁ NO AR o novo episódio do podcast  SAINDO DA CAVERNA, que apresento com @madeiradez. O tema do episódio é: O DETRATOR: a lista de detratores elaborada pelo governo federal. Ouça em qualquer aplicativo dessas empresas capitalistas e imperialistas como Amazon, Apple, Google etc https://t.co/qBlaQUubC2; 1; 1; 70; 0; https://twitter.com/sigaoflavio/status/1334961219585921027; None; None] 
[2020-12-04 20:36:52+00:00; sigaoflavio; @ricarrdomartins @madeiradez Que máximo! Mande um abração no seu pai; 0; 0; 1; 0; https://twitter.com/sigaoflavio/status/1334959881762320384; None; None] 
[2020-12-04 18:59:53+00:00; sigaoflavio; @LucasMSFOX Minha família está com medo disso, mas que seria a melhor propaganda do meu livro, ah seria. Rs.; 0; 0; 10; 0; https://twitter.com/sigaoflavio/status/1334935474922803200; None; None] 
[2020-12-04 16:08:16+00:00; sigaoflavio; Esses homens estão abrindo uma porta perigosa. Quando as saídas encontradas são fora da Constituição, nada é seguro, nem o cargo que eles ocupam https://t.co/s5HT4x1DCY; 12; 47; 593; 15; https://twitter.com/sigaoflavio/status/1334892283850874883; None; None] 
[2020-12-04 15:27:36+00:00; sigaoflavio; @xMarcioalan Acabei de levar uma bronca da minha esposa que estou falando demais. Rs; 0; 0; 7; 0; https://twitter.com/sigaoflavio/status/1334882049052864517; None; None] 
[2020-12-04 14:37:36+00:00; sigaoflavio; Estranho ver o silêncio sepulcral de alguns juristas. E olha que alguns deles costumam ser tão virulentos! O que houve? Problema no Wi-Fi? Ou só gostam de polemizar para vender (poucos) livros? Certos intelectuais costumam ter uma indignação bastante seletiva.; 10; 18; 482; 5; https://twitter.com/sigaoflavio/status/1334869466631561221; None; None] 
[2020-12-04 14:29:36+00:00; sigaoflavio; @negariel @madeiradez A constituição veda penas cruéis; 0; 0; 3; 0; https://twitter.com/sigaoflavio/status/1334867452715524096; None; None] 
[2020-12-04 14:00:14+00:00; sigaoflavio; NÃO PERCA! Ainda hoje irá ao ar o novo episódio do podcast SAINDO DA CAVERNA, que apresento com @madeiradez. O tema não poderia ser outro: O DETRATOR. Ouvir o episódio será um ato de rebeldia. Em todas as plataformas capitalistas como Amazon, Spotify, Apple etc. https://t.co/VwC4ujG1xh; 10; 6; 146; 1; https://twitter.com/sigaoflavio/status/1334860062397968388; None; None] 
[2020-12-04 13:14:03+00:00; sigaoflavio; @Fulgoni_Ricardo O problema é que grande parte da academia é sócia dos ministros do STF em muitas empreitadas! Vamos ter que contar com todos os excluídos, “detratores” etc; 0; 0; 25; 0; https://twitter.com/sigaoflavio/status/1334848442712158208; None; None] 
[2020-12-04 12:11:37+00:00; sigaoflavio; Eu sabia que aquela visita no barco, navegando pelas águas calmas do lago Paranoá, antes da sabatina, teria um preço.; 3; 1; 112; 1; https://twitter.com/sigaoflavio/status/1334832728894746624; None; None] 
