2019-12-25 19:19:26+00:00; GabrielaPrioli; @hadijaa @LeandroParente7 Eu voto “não leu” kkkkk; 0; 4; 0; 0; https://twitter.com/GabrielaPrioli/status/1209916579418230784; None; None
2019-12-24 20:49:39+00:00; GabrielaPrioli; O Natal feliz do Sydney, graças ao @TGANASTACIO 💜 https://t.co/YQ5AF4tSaV; 4; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1209576895215493126; None; https://twitter.com/TGANASTACIO/status/1209486911628304384
2019-12-24 20:19:58+00:00; GabrielaPrioli; 5- É por elas que o Jesus nazareno, após ser torturado, morre na cruz. Matam-no o corpo, mas suas ideias sobrevivem, até hoje, nos corações de quem compreendeu a sua verdadeira filosofia. Feliz Natal!; 26; 2; 1; 0; https://twitter.com/GabrielaPrioli/status/1209569425919225856; None; None
2019-12-24 20:19:34+00:00; GabrielaPrioli; 4- Foram essas ideias, notadamente políticas e com potencial de angariar um grande rebanho, que despertaram a ira do Império Romano, porque o ameaçavam.; 16; 2; 1; 0; https://twitter.com/GabrielaPrioli/status/1209569325876682754; None; None
2019-12-24 20:19:11+00:00; GabrielaPrioli; 3- Camponês pobre que, diante das injustiças que o mundo apresentava, defendia a instauração do Reino de Deus – um reino de justiça e fartura, igualitário, sem hierarquias sociais.; 15; 3; 1; 1; https://twitter.com/GabrielaPrioli/status/1209569229789442048; None; None
2019-12-24 20:18:49+00:00; GabrielaPrioli; 2- Tal qual demonstram reconstruções faciais de crânios encontrados perto de Jerusalém, um homem baixo, moreno de olhos castanhos e cabelo curto: um homem comum do Oriente Médio.; 13; 2; 0; 0; https://twitter.com/GabrielaPrioli/status/1209569137552433157; None; None
2019-12-24 20:18:16+00:00; GabrielaPrioli; 1- Nesse Natal, repito a vocês o convite que fiz na Páscoa (serei repetitiva ainda mais vezes), e os convido a conhecer Jesus de Nazaré (sim, análises históricas mostram que, ao contrário do que diz a Bíblia, ele não nasceu em Belém).; 41; 4; 1; 0; https://twitter.com/GabrielaPrioli/status/1209568996783202306; None; None
2019-12-04 22:25:20+00:00; GabrielaPrioli; Melhor que nada, sem dúvida...; 8; 0; 1; 0; https://twitter.com/GabrielaPrioli/status/1202353217092370434; None; None
2019-12-04 22:24:18+00:00; GabrielaPrioli; Anvisa libera produtos derivados da Cannabis para fins medicinais, mas não libera o cultivo, fazendo com que os fabricantes nacionais tenham que IMPORTAR a matéria prima. Ai gente...; 60; 4; 6; 1; https://twitter.com/GabrielaPrioli/status/1202352956286353408; None; None
2019-12-02 16:26:14+00:00; GabrielaPrioli; Não era amor...; 23; 3; 2; 0; https://twitter.com/GabrielaPrioli/status/1201538071071805440; None; None
2019-12-01 22:48:30+00:00; GabrielaPrioli; @amcbacha De chorar. Uma hipocrisia que mata.; 3; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1201271884677079041; None; None
2019-12-01 22:45:51+00:00; GabrielaPrioli; Lendo algumas pessoas dizendo que no baile da favela existe tráfico de drogas e é isso que justifica a violência da polícia e pensando nas festas de rico com droga a rodo...quem avisa?; 132; 9; 22; 4; https://twitter.com/GabrielaPrioli/status/1201271218961371137; None; None
2019-11-26 15:36:48+00:00; GabrielaPrioli; @rafaelladantas_ Toffoli falou contra hj https://t.co/gDuiBAfGSW; 1; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1199351305568952320; None; None
2019-11-26 05:34:02+00:00; GabrielaPrioli; Sempre tem como piorar... https://t.co/62GCgwBbY8; 26; 2; 1; 0; https://twitter.com/GabrielaPrioli/status/1199199612269146112; None; https://twitter.com/folha/status/1199159601461170178
2019-11-25 17:33:11+00:00; GabrielaPrioli; Canal de denúncias proposto por Damares e Weintraub. Segundo ele, escolas que não promoverem um ambiente “adequado” serão penalizadas. Difícil pensar no significado de adequado vindo de um Ministro que, dia desses, estava falando sobre “a égua sarnenta e desdentada da sua mãe”.; 72; 9; 9; 0; https://twitter.com/GabrielaPrioli/status/1199018207107002369; None; None
2019-11-14 14:23:46+00:00; GabrielaPrioli; @christieme Tive sim, mas sigo com as mesmas inquietações. Pode até riscar num golpe só a parte relativa à fraude e o que resta não é pouco não.; 0; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1194984268713414656; None; None
2019-11-14 14:22:05+00:00; GabrielaPrioli; @LeandraValadar3 Nitidamente você não entendeu o que eu falei. Leia com mais atenção, PF. 😘; 0; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1194983846850256896; None; None
2019-11-11 21:39:17+00:00; GabrielaPrioli; @marcosalfreire Mas aí vc tá fazendo a mesma coisa. Tantos regimes ditatoriais de direita sobre os quais a direita segue CA LA DA. A incoerência não existe só de um lado, amigo.; 4; 0; 1; 0; https://twitter.com/GabrielaPrioli/status/1194006709435543552; None; None
2019-11-11 12:53:06+00:00; GabrielaPrioli; @gorodrigogo Eu nem disse que não foi golpe. Eu só senti falta do todo...; 1; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1193874289763790850; None; None
2019-11-11 04:00:58+00:00; GabrielaPrioli; @joaocgl Concordo c vc, mas não consigo não pensar que o próprio Evo abre caminho pra um movimento como esse quando, pra ficar no poder, faz o que fez. Só isso que quero. O todo.; 2; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1193740376160518144; None; None
2019-11-11 03:46:50+00:00; GabrielaPrioli; À renúncia, que teria se dado em virtude de pressão das Forças Armadas, se seguem notícias de prisão de juízes, um mandado contra o Evo... enfim, é isso.; 6; 1; 1; 0; https://twitter.com/GabrielaPrioli/status/1193736819294326784; None; None
2019-11-11 03:44:08+00:00; GabrielaPrioli; A OEA faz uma auditoria e recomenda novas eleições supervisionadas. Evo concorda no domingo pela manhã. À noite, anuncia a renúncia, depois de diversos atos de violência que, segundo a imprensa, envolveram um incêndio na casa de sua irmã.; 4; 2; 1; 0; https://twitter.com/GabrielaPrioli/status/1193736138894315520; None; None
