[2020-12-06 16:15:56+00:00; gduvivier; Melhor conteúdo do site neste domingo https://t.co/jJ1xJ8NUUS; 50; 40; 593; 12; https://twitter.com/gduvivier/status/1335618990878633985; None; https://twitter.com/philosopop/status/1335444237891104768] 
[2020-12-06 16:09:42+00:00; gduvivier; VEM AÍ... https://t.co/NuYWFyPjT3; 145; 248; 6499; 109; https://twitter.com/gduvivier/status/1335617422523588609; None; None] 
[2020-12-05 19:55:41+00:00; gduvivier; Ficou bonito demais https://t.co/j4dp6MtlJj; 11; 15; 339; 1; https://twitter.com/gduvivier/status/1335311902122119172; None; https://twitter.com/walterporto/status/1335310813717016576] 
[2020-12-05 19:44:21+00:00; gduvivier; xico sá e joao cabral passando pelo sua timeline https://t.co/P4akNmkk3I; 15; 22; 727; 1; https://twitter.com/gduvivier/status/1335309052851736576; None; https://twitter.com/xicosa/status/1335304674770100227] 
[2020-12-05 14:44:10+00:00; gduvivier; PELADO! https://t.co/PwWJCERofR; 7; 1; 119; 2; https://twitter.com/gduvivier/status/1335233508172816386; None; None] 
[2020-12-05 12:00:49+00:00; gduvivier; @rilkeshake uau, que responsa! voltamos ano que vem pra melhor atendê-la :); 1; 0; 22; 0; https://twitter.com/gduvivier/status/1335192402085208067; None; None] 
[2020-12-04 20:19:12+00:00; gduvivier; Acompanhei a dor de vítimas e testemunhas. Muitos são amigos próximos. Denunciar envolve um trilhao de questoes judiciais, psicológicas, afetivas. Chato dizer o obvio, mas por favor não julguem quem demorou pra falar - ou quem ainda não falou, nem vai falar.; 43; 73; 4253; 5; https://twitter.com/gduvivier/status/1334955434336268288; None; None] 
[2020-12-04 19:35:31+00:00; gduvivier; Vi o esforço de muitas pessoas ao meu redor pra isso vir à tona. Não julguem quem não falou na hora que vocês queriam que falassem. Você não sabe o qto lutaram pra isso vir à tona. Foco no principal: repúdio ao assédio e aos assediadores. E celebração da força dessas mulheres.; 25; 109; 5992; 6; https://twitter.com/gduvivier/status/1334944443053563913; None; None] 
[2020-12-04 19:08:50+00:00; gduvivier; @chavessleonardo @MarceloAdnet “faltou ser objetivo, prefiro Antagonista” - a qualidade da materia está exatamente em apurar e explicar as minúcias. muita coisa não cabe num tweet.; 0; 0; 88; 0; https://twitter.com/gduvivier/status/1334937726383165446; None; None] 
[2020-12-04 16:13:20+00:00; gduvivier; @joao_batistajr @umsujeitodesort Parabéns pela matéria.; 5; 0; 344; 0; https://twitter.com/gduvivier/status/1334893559158333440; None; None] 
[2020-12-04 16:11:55+00:00; gduvivier; Ele não estava sozinho. Existiu uma estrutura de colaboração, normalização e acolhimento do assédio. Parabéns a todas e todos que conseguiram abalar essa estrutura. Torço pra que ela seja derrubada. https://t.co/Se3maIR00b; 270; 1524; 30647; 250; https://twitter.com/gduvivier/status/1334893204337008640; None; None] 
[2020-12-03 14:44:21+00:00; gduvivier; APELIDOS! https://t.co/5Kiud7BD5C; 5; 3; 63; 0; https://twitter.com/gduvivier/status/1334508779145220096; None; None] 
[2020-12-03 01:40:13+00:00; gduvivier; meu 2020 numa imagem https://t.co/mjZpgJfgDy; 84; 20; 4169; 13; https://twitter.com/gduvivier/status/1334311444976898049; None; None] 
[2020-12-02 22:07:50+00:00; gduvivier; Agora ao vivo com esses caras falando sobre ser pai. https://t.co/V7YfxdKPlO; 12; 2; 154; 1; https://twitter.com/gduvivier/status/1334257996696793089; None; https://twitter.com/piangers/status/1334255758368624641] 
[2020-12-02 15:08:57+00:00; gduvivier; Por isso o isolamento entristece: faz meses que estamos vivendo um mesmo personagem.   Coluna da semana na @folha.  https://t.co/r7NUKqzMQ2; 12; 45; 638; 21; https://twitter.com/gduvivier/status/1334152579870298114; None; None] 
[2020-11-30 14:44:07+00:00; gduvivier; FORMANDO LÍDERES [Vídeos Para Todos]! https://t.co/bt4fHZnLe0; 11; 3; 118; 2; https://twitter.com/gduvivier/status/1333421554429022209; None; None] 
[2020-11-28 14:44:06+00:00; gduvivier; MILICIAGRAM! https://t.co/z0nIj34cj2; 23; 17; 317; 10; https://twitter.com/gduvivier/status/1332696775107497986; None; None] 
[2020-11-28 11:54:30+00:00; gduvivier; Obrigado @Padig pelo carinho com o programa. Tambem vamos sentir saudades! https://t.co/SDR2BURHAu; 37; 13; 675; 2; https://twitter.com/gduvivier/status/1332654093316329477; None; None] 
[2020-11-26 23:53:53+00:00; gduvivier; Um oferecimento @TSEjusbr e @TRESPjusbr, a justiça da fantasia. https://t.co/e81muPs0O6; 180; 769; 7592; 100; https://twitter.com/gduvivier/status/1332110356487999488; None; https://twitter.com/luanapsol/status/1332009609318572032] 
[2020-11-26 21:59:15+00:00; gduvivier; E que conseguiu escolher um vice pior que o Temer. https://t.co/t2z56hC8RG; 20; 77; 2017; 6; https://twitter.com/gduvivier/status/1332081510510424065; None; https://twitter.com/torturra/status/1332060405972275210] 
[2020-11-26 16:15:32+00:00; gduvivier; Meu deus, que coisa tosca. Parece sacanagem. "Infelizmente seu tempo se esgotou". É assim mesmo? https://t.co/QkubUqbg8H; 963; 1351; 17441; 399; https://twitter.com/gduvivier/status/1331995010842169346; None; https://twitter.com/AiresJeff/status/1331977707408797698] 
[2020-11-26 14:44:11+00:00; gduvivier; CHATO! https://t.co/PWm2eHEcAU; 10; 3; 131; 1; https://twitter.com/gduvivier/status/1331972022931484676; None; None] 
