2020-12-09 02:57:30+00:00; iza; #TheVoiceBrasil 🖤; 593223; 5623; ; ; https://www.instagram.com/p/CIj6EvgDjqp/
2020-12-09 02:01:59+00:00; iza; Começou a fase de shows ao vivo no #TheVoiceBrasil e agora vocês podem votar! Quero todo mundo torcendo muito pelo #TimeIZA ✌🏾; 266470; 1679; ; ; https://www.instagram.com/p/CIjzuGKDCyW/
2020-12-07 01:27:31+00:00; iza; None; 1917024; 26247; ; ; https://www.instagram.com/p/CIemL_gD1oq/
2020-12-05 17:41:06+00:00; iza; Como eu amo vocês, meus talismãs!!!! ❤️ Obrigada por tudo, por estarem comigo sempre! Que vontade de ver todos vocês de novo! Mas enquanto isso não acontece fico feliz demais de saber que a música sempre traz vocês pra pertinho de mim! @spotifybrasil @spotify; 51190; 468; ; ; https://www.instagram.com/p/CIbMA-ZDuZz/
2020-12-04 02:36:34+00:00; iza; Quem catou a referência de Black is King? 👑 #TheVoiceBrasil . . headpiece: @walerioaraujo; 285344; 2424; ; ; https://www.instagram.com/p/CIW_tFrDdxU/
2020-12-04 01:50:19+00:00; iza; Esperando você pra assistir o #TheVoiceBrasil de hoje ✨ . . headpiece: @walerioaraujo; 506267; 5045; ; ; https://www.instagram.com/p/CIW6aTrj5Tb/
2020-12-04 00:57:46+00:00; iza; MEU DEUS DO CÉU!!!!!! Mulher do ano?!!! Muito obrigada, @gqbrasil! Que honra! Não sei explicar o que eu tô sentindo nesse momento! Só gostaria muito de celebrar e agradecer por todas as coisas incríveis que aconteceram esse ano, apesar dos tempos loucos que vivemos. E também queria agradecer as pessoas maravilhosas que caminham junto comigo e fazem tudo parecer muito mais fácil! Muito obrigada, meus fãs! Muito obrigada, minha família! Que felicidadeeee!!!!!! ❤️  ••• #Repost @gqbrasil  E a nossa Mulher do Ano é a...@Iza! 👏 #MOTY2020 #GQBrasil . Vídeo:  @adornifilms Diretor: @pauloadorni Roteiro: @Hercules.florence  Assistente de Direção: @rafaela_jala Produtor: @felipemarcon Diretor de Fotografia / Operador de Câmera: @fabiobraga Editor / Finalizador: @amassa90 Produção #GQ: @duduvalle, @enzoamendola, @damata, @frozoni, @laura_speggiorin Agradecimento: @MABFAAP, @NAFFAP, @patriciaborges; 35002; 867; ; ; https://www.instagram.com/p/CIW0VjojYuV/
2020-12-02 03:10:50+00:00; iza; #TheVoiceBrasil 🔥; 205985; 1548; ; ; https://www.instagram.com/p/CIR6CO9DgG3/
2020-12-02 02:11:09+00:00; iza; Boa noite, #TheVoiceBrasil! Começou mais uma noite das rodadas de fogo 🔥🔥🔥; 264767; 2312; ; ; https://www.instagram.com/p/CIRzNGhjLl2/
2020-12-01 01:48:10+00:00; iza; Este foi o mês da consciência negra e a @timbrasil tá com a gente nessa causa! Agora temos o Teclado Consciente TIM, um aplicativo capaz de ajudar na desconstrução do racismo estrutural através das palavras. A TIM usou a tecnologia pra espalhar a mensagem de uma sociedade mais justa e com menos preconceito. Esse app veio pra ajudar a mudar o nosso vocabulário e tirar palavras de origem racista que acabamos usando no nosso dia a dia sem perceber, como “criado-mudo”, “a coisa tá preta”, “lista negra” e muitas outras expressões. O teclado é superdidático e é uma forma de contribuir na prática no combate ao racismo! ✊🏾  Bora baixar e compartilhar essa ideia? O link pra download tá nos stories. #ImagineAsPossibilidades; 66269; 340; ; ; https://www.instagram.com/p/CIPLx5ijKxM/
2020-12-01 00:53:19+00:00; iza; Boa noite de segunda-feira pra vocês, meus talismãs 💖; 64735; 1035; ; ; https://www.instagram.com/p/CIPFT8Rj5Ur/
2020-11-29 21:44:24+00:00; iza; Eu acredito que a educação tem o poder de transformar a vida das pessoas e reduzir as desigualdades sociais. Ter feito uma faculdade fez toda a diferença e me preparou para fazer o que amo. E se você também tem o desejo de se formar e conquistar seus sonhos, aproveite a oferta exclusiva do #EstudaFridayAnhanguera e inscreva-se no vestibular on-line. @anhangueraedu #ad; 17006; 192; ; ; https://www.instagram.com/p/CIMKB3PjZ3o/
2020-11-28 15:37:20+00:00; iza; Te amo, @paulogustavo31 😂❤️ O tanto que esse homi é gênio, meu pai... Daqui a pouco tem #220volts fresquinho saindo do forno pra vocês! Não vai perder, né?!; 55747; 411; ; ; https://www.instagram.com/p/CII8PjnDDVV/
2020-11-27 21:13:47+00:00; iza; Mais uma campanha linda no ar! Tenho o maior orgulho de ser embaixadora de @smirnoffbr! Muito além de uma marca de vodka, Smirnoff tem como pilares a diversidade, a inclusão e promove programas de incentivo que oferece oportunidade para pessoas negras que estão em busca de evolução profissional. Já que temos valores em comum, vamos brindar essa parceria com uma Smirnoff Caipiroska? #apreciecommoderação #nãocompartilhecommenoresde18anos #programaorigens; 132507; 818; ; ; https://www.instagram.com/p/CIG9_sxDe6R/
2020-11-27 02:51:25+00:00; iza; #TheVoiceBrasil 🌪; 169536; 1705; ; ; https://www.instagram.com/p/CIE_1oQD-Wh/
2020-11-27 02:17:36+00:00; iza; Tô pronta pra encontrar vocês no #TheVoiceBrasil que começa agora! Não vai perder, né? 🌚; 158976; 1405; ; ; https://www.instagram.com/p/CIE7-C0DNms/
2020-11-26 21:49:57+00:00; iza; Hoje é dia de #TBT e não tinha como não relembrar da noite Poderosa que eu tive no Prêmio Multishow junto com Essencial Mirra da @NaturaBrOficial. Se você perdeu, olha só um pouquinho do aconteceu!✨ #PoderSer #ad; 18806; 151; ; ; https://www.instagram.com/p/CIEdLYODOC9/
2020-11-25 21:37:34+00:00; iza; Olhar para trás, ver o quanto batalhei pelos meus objetivos e receber uma homenagem maravilhosa de @naturabroficial é puro poder! Fui presenteada com essa arte feita pelo @atilabrittoo, que além de inspiradora, é a cara do lançamento das fragrâncias de Essencial Mirra! O ano de 2020 foi muito desafiador pra todo mundo, e fazer parte desse time mostra que, cada um a sua maneira, é capaz de inspirar e despertar o poder que existe em todos nós. ✨ E para melhorar ainda mais, trago uma novidade: na compra do Essencial Mirra feminino ou masculino, você ganha uma amostra pra experimentar antes de abrir o produto, sem compromisso! 😉 Corre lá no site da Natura que tem mais informações. #PoderSer; 66639; 1008; ; ; https://www.instagram.com/p/CIB3IEsjIbT/
2020-11-25 02:49:56+00:00; iza; 🌿 #TheVoiceBrasil 🍃; 332067; 3122; ; ; https://www.instagram.com/p/CH_2FGYj24m/
2020-11-25 02:14:16+00:00; iza; Preparada pras rodadas de fogo no #TheVoiceBrasil 🔥🔥🔥 vem que começou AO VIVO!; 186747; 1626; ; ; https://www.instagram.com/p/CH_x_z_jcfz/
2020-11-22 01:22:48+00:00; iza; Que noite linda de celebração da nossa música brasileira, @devassa! Que honra dividir o palco com artistas tão potentes que eu admiro!!!! Esse #EncontrosTropicais vai ficar na memória! Obrigada Orkestra Rumpilezz, maestro @letieresleite, @bnegaooficial, @carlinhosbrown, @chicocorrea, @joaommeirelles, @larissaluzeluz, @lazzomatumbi, @mateusaleluia e @margarethmenezes! Foi lindo! Aguardem porque logo logo tem mais novidade vindo aí 💛 #EncontrosTropicais #BebaComModeração #Ad; 52541; 307; ; ; https://www.instagram.com/p/CH39uSODMcH/
2020-11-21 23:25:43+00:00; iza; A história se repete mais uma vez. Perdemos mais um dos nossos nessa narrativa racista. Uma narrativa que é reforçada todos os dias em vários espaços que também mereciam ser boicotados, porque a violência acontece de várias formas. Quem aqui, preto, nunca foi seguido em um supermercado ou temeu pela vida em qualquer outro lugar? Chega! Nós não vamos nos calar! E assim como todos os outros que já se foram, João Alberto, sua partida não foi em vão. Nós permanecemos lutando e contando a nossa história. Vidas negras importam. Convido agora todos aqueles que postaram quadrado preto a se revoltarem também tanto quanto se revoltaram com a morte de George Floyd.; 209189; 4460; ; ; https://www.instagram.com/p/CH3wQWWDHCZ/
