[2020-11-24 09:25:53+00:00; JesseSouzaecht; A melhor notícia da campanha paulistana é que a esquerda e os progressistas ganharam um novo líder. @GuilhermeBoulos desconstrói preconceitos sistematicamente e constrói com bons argumentos um contraponto vigoroso a tudo que o país vive. É a vitória da inteligência e da coragem!; 82; 847; 11174; 104; https://twitter.com/JesseSouzaecht/status/1331167144537624579; None; None]
[2020-11-12 21:04:41+00:00; JesseSouzaecht; Bolsonaro é produto de duas irracionalidades: primeiro, o racismo da elite e da classe média branca contra o povo; segundo o ressentimento do “lixo branco” e da instrumentalização política dos evangélicos . A canalhice de Bolsonaro é produto deste encontro.; 69; 657; 3360; 82; https://twitter.com/JesseSouzaecht/status/1326994346932117504; None; None]
[2020-11-06 10:04:29+00:00; JesseSouzaecht; https://t.co/MIKXEAZcJT; 3; 17; 161; 0; https://twitter.com/JesseSouzaecht/status/1324653876209963010; None; None]
[2020-11-05 19:32:38+00:00; JesseSouzaecht; https://t.co/d96eCFt2j0; 1; 22; 110; 0; https://twitter.com/JesseSouzaecht/status/1324434467700789248; None; None]
[2020-11-03 15:45:14+00:00; JesseSouzaecht; Os Estados Unidos destilaram tanta mentira, engano e fraude na América Latina e no mundo, que se tornaram eles próprios uma república de bananas. Sociedades, como os indivíduos, se tornam aquilo que praticam.; 52; 864; 5193; 71; https://twitter.com/JesseSouzaecht/status/1323652466144092167; None; None]
[2020-10-30 09:36:56+00:00; JesseSouzaecht; https://t.co/iZydwqeDF6; 2; 55; 401; 8; https://twitter.com/JesseSouzaecht/status/1322110228830265344; None; None]
[2020-10-29 16:21:51+00:00; JesseSouzaecht; https://t.co/LDBnaIGU7p; 2; 57; 294; 4; https://twitter.com/JesseSouzaecht/status/1321849739470581764; None; None]
[2020-10-09 10:08:58+00:00; JesseSouzaecht; Hoje https://t.co/fH4qG3fPyF; 8; 68; 395; 2; https://twitter.com/JesseSouzaecht/status/1314508144584908800; None; None]
[2020-10-08 14:47:05+00:00; JesseSouzaecht; Amanhã https://t.co/BcWCd3puI9; 3; 29; 110; 3; https://twitter.com/JesseSouzaecht/status/1314215745786576900; None; None]
[2020-09-25 08:11:08+00:00; JesseSouzaecht; Hoje no meu canal do YouTube https://t.co/65j7aJ2xMO; 6; 35; 193; 0; https://twitter.com/JesseSouzaecht/status/1309405060703629313; None; None]
[2020-09-24 17:34:26+00:00; JesseSouzaecht; Amanhã https://t.co/p17geIfaLh; 1; 22; 103; 1; https://twitter.com/JesseSouzaecht/status/1309184429311565826; None; None]
[2020-09-11 06:50:58+00:00; JesseSouzaecht; Não percam https://t.co/zS9wiHdrsb; 9; 121; 500; 1; https://twitter.com/JesseSouzaecht/status/1304311454594748418; None; None]
[2020-09-10 19:07:58+00:00; JesseSouzaecht; Imperdível https://t.co/O33uC7fsg6; 22; 263; 1031; 14; https://twitter.com/JesseSouzaecht/status/1304134540353507329; None; None]
[2020-09-07 11:55:42+00:00; JesseSouzaecht; A “reforma” administrativa tem apenas dois objetivos: destruir o que resta do Estado para o saque do mercado; e a “milicianização” do funcionalismo público. Um projeto criminoso construído por justiça e imprensa corruptas e pela ascensão de uma clique de canalhas ao poder.; 120; 2528; 8958; 138; https://twitter.com/JesseSouzaecht/status/1302938593707556864; None; None]
[2020-09-04 13:35:25+00:00; JesseSouzaecht; Hoje somente no YouTube!! https://t.co/p31KEGjnE0; 4; 42; 155; 0; https://twitter.com/JesseSouzaecht/status/1301876522064793602; None; None]
[2020-09-03 10:50:09+00:00; JesseSouzaecht; Não percam! https://t.co/jPGxe6u2GW; 5; 75; 315; 0; https://twitter.com/JesseSouzaecht/status/1301472544663379972; None; None]
[2020-09-02 20:36:30+00:00; JesseSouzaecht; Não percam https://t.co/Dew6hggEHo; 2; 18; 74; 0; https://twitter.com/JesseSouzaecht/status/1301257714656477184; None; None]
[2020-08-31 09:20:29+00:00; JesseSouzaecht; O que será que aconteceu com a justiça carioca, conhecida no país inteiro por sua honestidade, para censurar o trabalho de @luisnassif, um dos melhores jornalistas investigativos do Brasil, sobre as falcatruas do banco BTG? Alguém poderia me esclarecer?; 142; 1587; 7520; 60; https://twitter.com/JesseSouzaecht/status/1300362815312719872; None; None]
[2020-07-24 14:59:27+00:00; JesseSouzaecht; https://t.co/hjiXbnNvnD; 1; 23; 105; 2; https://twitter.com/JesseSouzaecht/status/1286677378568052737; None; None]
[2020-07-21 20:24:30+00:00; JesseSouzaecht; A onda de Bannon e de seu aluno Olavo de Carvalho é atacar a base moral do consenso democrático fingindo que estão perseguindo o Marxismo cultural. Enganam e confundem muitos. E não só entre os pobres e desvalidos.; 52; 914; 4863; 28; https://twitter.com/JesseSouzaecht/status/1285672016855564288; None; None]
[2020-07-21 13:13:49+00:00; JesseSouzaecht; https://t.co/dkSC0cL3cb; 2; 42; 233; 1; https://twitter.com/JesseSouzaecht/status/1285563633238511619; None; None]
[2020-07-18 21:33:59+00:00; JesseSouzaecht; Como paulistano de coração quero expressar meu apoio a chapa @GuilhermeBoulos e @luizaerundina. Duas belas trajetórias de luta popular que se unem. Tudo que precisamos!; 82; 679; 9160; 35; https://twitter.com/JesseSouzaecht/status/1284602339081564160; None; None]
[2020-07-14 12:53:48+00:00; JesseSouzaecht; Muita lucidez e coragem pública de @gilmarmendes na sua crítica mais do que justa ao exército. A impressão de todos é que o exército está sendo comprado, a preço vil, pelo presidente miliciano. Em breve, não existirá mais fronteira visível entre o exército e a milícia.; 171; 1932; 9200; 135; https://twitter.com/JesseSouzaecht/status/1283021879532498945; None; None]
[2020-07-10 08:05:37+00:00; JesseSouzaecht; No Brasil se inventou uma moralidade que não passa por respeitar e ajudar o próximo como nos países igualitários. É um moralismo oportunista, escravocrata, pronto a criminalizar qualquer política de ascensão popular. Um moralismo para mascarar o ódio contra negros e pobres!; 59; 1345; 5823; 59; https://twitter.com/JesseSouzaecht/status/1281499805454348288; None; None]
[2020-07-04 10:17:44+00:00; JesseSouzaecht; A lava jato atrasou dez anos a denúncia contra Serra. A manipulação do tempo, célere com alguns e atrasada com outros, foi a base de toda a armação da quadrilha de  Dallagnol. Uma máfia privada operando à margem da lei. Enquanto a imprensa blindou o crime funcionou perfeitamente!; 159; 3038; 13656; 123; https://twitter.com/JesseSouzaecht/status/1279358727326482434; None; None]
[2020-07-03 14:19:58+00:00; JesseSouzaecht; A lava jato não apenas vendeu o Brasil a seus inimigos e empobreceu a população. Ela destruiu também os frágeis consensos democráticos construídos com enorme esforço nas últimas décadas. Mas não agiu sozinha. Onde estão todos e todas que a tornaram possível?; 195; 2647; 9947; 153; https://twitter.com/JesseSouzaecht/status/1279057299907194883; None; None]
[2020-07-03 13:02:50+00:00; JesseSouzaecht; Daqui a pouco! https://t.co/VdRbDOlVO3; 4; 25; 163; 0; https://twitter.com/JesseSouzaecht/status/1279037888232132608; None; None]
