[2020-12-01 21:43:02+00:00; portaldojose; A luta não pode parar! Continuaremos firmes nessa caminhada!; https://www.instagram.com/p/CIRUhZvn0bI/; 280; 68] 
[2020-11-10 22:38:36+00:00; portaldojose; Já somos 200.000 inscritos no Youtube! Mais uma vez, muito obrigado!; https://www.instagram.com/p/CHbWL81H345/; 341; 91] 
[2020-08-19 19:59:59+00:00; portaldojose; Muito obrigado a todos!!! Não podemos parar!; https://www.instagram.com/p/CEFWDl7nQkb/; 196; 46] 
[2020-07-17 00:44:23+00:00; portaldojose; Olá pessoal, desta vez resolvi postar um pequeno trecho do video que postei no youtube aqui no Instagram. Confiram!; https://www.instagram.com/p/CCuTWRxnyd3/; 173; 21] 
[2020-07-15 17:36:32+00:00; portaldojose; Olá pessoal! Vim aqui para avisa-los que agora também estou no Twitter! Me acompanhem por la também: @portaldojose; https://www.instagram.com/p/CCq90VsH6uo/; 178; 11] 
[2020-06-18 14:30:14+00:00; portaldojose; Olá meus amigos e minhas amigas! Vídeo novo no canal em mais um dia movimentado para o cenário político atual! Queiroz preso! O que acontecerá agora?  #portaldojosé #queiroz #flaviobolsonaro; https://www.instagram.com/p/CBlHCOaH1rk/; 141; 16] 
[2020-06-16 14:33:30+00:00; portaldojose; Olá meus amigos e minhas amigas! Hoje, às 17hrs, teremos uma Live com o ex-ministro Aldo Rebelo.  O tema será o papel das Forças Armadas na Constituição Federal e se a sociedade deve ter receio de uma quebra institucional.  Acompanhe!  #portaldojosé #live #aldorebelo; https://www.instagram.com/p/CBf90WHn6cq/; 79; 6] 
[2020-06-05 15:40:47+00:00; portaldojose; Agora sim! Vídeo novo no Portal do José, onde recebemos o Prof. Nildo Ouriques para um papo revelador sobre a situação do Brasil, economia, política e futuro!; https://www.instagram.com/p/CBDwxhAHn74/; 81; 6] 
[2020-06-02 16:55:23+00:00; portaldojose; Nesta terça 02/06 às 17h, o Portal do José no Youtube, recebe o Prof. Nildo Ouriques para conversarmos sobre a crise no Brasil e nos EUA. Esperamos vocês!; https://www.instagram.com/p/CA8K7UMnTh4/; 74; 7] 
[2020-05-28 11:51:17+00:00; portaldojose; Muito obrigado @cirogomes pela presença no Portal do José, e muitíssimo obrigado à vocês meus seguidores que me fizeram atingir 7.500 pessoas ao vivo durante a Live. Fico muito feliz!; https://www.instagram.com/p/CAuwJsSHTQC/; 144; 24] 
[2020-05-27 14:08:09+00:00; portaldojose; LIVE: Hoje, às 19:00, receberemos @cirogomes em nosso canal do Youtube para um bate-papo super interessante. Então, já deixe anotado, compartilhe e venha participar conosco! Esperamos por vocês!; https://www.instagram.com/p/CAsbBOYnlU9/; 125; 24] 
[2020-05-20 14:36:00+00:00; portaldojose; URGENTE: Regina Duarte CAIU! Vídeo novo já no canal!; https://www.instagram.com/p/CAacpFTHfmq/; 81; 14] 
[2020-05-12 22:34:13+00:00; portaldojose; Boa noite, meus amigos e minhas amigas! Tem vídeo novo no canal! Dólar a R$ 5,89; Revelações da reunião; Seria este o fim de Bolsonaro?; https://www.instagram.com/p/CAGtAoRnOux/; 95; 17] 
[2020-04-30 01:30:21+00:00; portaldojose; No video de hoje comento sobre o peso das atitudes tomadas por Bolsonaro e sua quadrilha em tempos de covid. Aproveito também para homenagear meu falecido tio Valderez Fernandes!; https://www.instagram.com/p/B_li1RQnY4y/; 108; 10] 
[2020-04-28 20:27:03+00:00; portaldojose; Queridos amigos e amigas, video novo no ar. Tema: Impeachment Bolsonaro x Collor - Diferenças...; https://www.instagram.com/p/B_ibU_6nI4y/; 62; 9] 
[2020-04-24 23:45:29+00:00; portaldojose; Ola meu amigo e minha amiga, dia bastante movimentado hoje! Aproveitando os acontecimentos, video especial no canal!  #portaldojose  #bolsonaro #moro; https://www.instagram.com/p/B_Ye24xH8Gx/; 63; 2] 
[2020-04-23 17:14:05+00:00; portaldojose; Video novo no canal. Assistam e comentem aqui o que acharam 👍🏼; https://www.instagram.com/p/B_VNRU5nhOc/; 65; 5] 
[2020-04-22 20:12:31+00:00; portaldojose; Boa tarde, pessoal. Tem vídeo novo no Portal do José! Confiram, link na bio!; https://www.instagram.com/p/B_S85U3Hpjl/; 75; 3] 
[2020-04-21 19:25:04+00:00; portaldojose; Amigos e amigas, novo vídeo no canal. Desta vez falaremos sobre como a Rede Globo usa Bolsonaro e adeptos. Assistam e falem o que acharam.; https://www.instagram.com/p/B_QSq1tn9i-/; 74; 9] 
[2020-04-21 18:37:03+00:00; portaldojose; Olá pessoal, agora também faço parte do Instagram! Assim como o Youtube, este é um espaço para reflexões filosóficas, discussão política, análise da realidade brasileira e geopolítica. Sou graduado em direito e Ciências Penais pela UFRJ.  Pós graduado em telejornalismo pela Universidade  Estácio de Sá. Ex Professor de Direito Constitucional na Escola Superior da Advocacia ESA/OAB-RJ, Ciência Política e Teoria Geral do Estado na Universidade Iguaçu e Universidade Cândido Mendes Ipanema e Niterói. Palestrante convidado na Defensoria Pública de Sergipe, Ministério Público Militar, Ministério Público do Rio de Janeiro. Coordeno atualmente o programa de TV do MPRJ na TV Justiça, tendo coordenado programas de TV da OAB-RJ na TVE Brasil e também da Defensoria Pública do Rio de Janeiro. Pequeno empresário há 25 anos e proprietário de uma Produtora de Tv e de uma Cervejaria no bairro da Lapa no Rio de Janeiro. Sintam-se a vontade para comentar, bem-vindos!; https://www.instagram.com/p/B_QNLQlHZ5r/; 105; 30] 
