[2017-12-30 22:13:54+00:00; jrguzzofatos; @MAUROROBERTO13 Uma das muitas ... Mas é desgraça pra ninguém botar defeito.; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/947229285533802497; None; None]
[2017-12-30 14:56:28+00:00; jrguzzofatos; @gullo_carla Realmente, é para ficar dessa cor ...; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/947119199171817474; None; None]
[2017-12-30 14:55:57+00:00; jrguzzofatos; @confradamarvada Total.; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/947119069693726720; None; None]
[2017-12-30 14:55:33+00:00; jrguzzofatos; @oscarcapella 👍👍👍; 0; 0; 3; 0; https://twitter.com/jrguzzofatos/status/947118967340109824; None; None]
[2017-12-30 14:55:13+00:00; jrguzzofatos; @tesfla Muito obrigado ! Palavras assim animam a gente !!!; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/947118885735682048; None; None]
[2017-12-30 14:54:37+00:00; jrguzzofatos; @coloradomesmo 👏👏👏; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/947118732110909440; None; None]
[2017-12-30 14:54:06+00:00; jrguzzofatos; @LuciaUSP @Guilher32489064 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/947118602918027264; None; None]
[2017-12-30 14:53:42+00:00; jrguzzofatos; @tenenteqoc Nosso Judiciário não tem a característica mais básica de qualquer sistema de justiça, por elementar que seja ; a previsibilidade. A cada vez decide de um jeito. É desigual para todos.; 1; 1; 5; 0; https://twitter.com/jrguzzofatos/status/947118502724489217; None; None]
[2017-12-30 14:48:27+00:00; jrguzzofatos; @mariahelenaYCHT Ô lôco.; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/947117182588211206; None; None]
[2017-12-30 14:48:24+00:00; jrguzzofatos; @nieldebrito Uma coisa vem da outra, acho eu.; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/947117170122723329; None; None]
[2017-12-30 14:46:47+00:00; jrguzzofatos; @perplexo_ @AnisterjaneFerr 👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/947116761706586112; None; None]
[2017-12-30 14:46:42+00:00; jrguzzofatos; @CarlaoMT242 Perante a Justiça, estamos sempre diante de um mundo incompreensível, ilógico e perigoso.; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/947116741414531074; None; None]
[2017-12-30 14:44:58+00:00; jrguzzofatos; @MariaLCAb Isso é negação da justiça, simplesmente.; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/947116304699404289; None; None]
[2017-12-30 14:44:54+00:00; jrguzzofatos; @joaorbpaiao @paula2ag Sim: já foi. Estou tão confuso quanto você.; 0; 1; 3; 0; https://twitter.com/jrguzzofatos/status/947116287842451456; None; None]
[2017-12-30 14:40:35+00:00; jrguzzofatos; @LuciaUSP Obrigado ! Fico feliz com a sua reação...; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/947115202310389760; None; None]
[2017-12-30 14:40:03+00:00; jrguzzofatos; @pindorama17 @AcordouAcordou O tuiter é curtodemais ... mas da para se ter uma ideia ...; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/947115066326786048; None; None]
[2017-12-30 14:38:41+00:00; jrguzzofatos; @LeonardoBittar Claro. Causa e efeito.; 1; 0; 1; 0; https://twitter.com/jrguzzofatos/status/947114726277992449; None; None]
[2017-12-30 14:38:04+00:00; jrguzzofatos; @JorgianaSilv Com certeza. Estão dizendo ao público: “Façam como a gente”; 0; 2; 5; 0; https://twitter.com/jrguzzofatos/status/947114569910059008; None; None]
[2017-12-30 14:36:39+00:00; jrguzzofatos; @jluqueiroz @EDUARDORMATOS Tudo só exato contrário. O recado é : “Faça o mal. Aqui você se dá bem”.; 1; 1; 3; 0; https://twitter.com/jrguzzofatos/status/947114214296047617; None; None]
[2017-12-30 14:33:43+00:00; jrguzzofatos; @AlfredoPexe 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/947113473225515011; None; None]
[2017-12-29 19:03:05+00:00; jrguzzofatos; @MariaHe16753090 💯 % de acordo ! Parece que já estamos com mais de 10 milhões de leis, ou coisa parecida ...; 0; 1; 5; 0; https://twitter.com/jrguzzofatos/status/946818876016390144; None; None]
[2017-12-29 19:03:02+00:00; jrguzzofatos; @LeonardoBittar É um delírio completo.; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/946818862510759939; None; None]
[2017-12-28 15:07:51+00:00; jrguzzofatos; @EDUARDORMATOS @jluqueiroz 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/946397289584775168; None; None]
[2017-12-28 15:07:03+00:00; jrguzzofatos; @fsciorilli Muitíssimo obrigado !!! 👍👍👍; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/946397087775776769; None; None]
[2017-12-28 15:06:27+00:00; jrguzzofatos; @lilobastos 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/946396938248835072; None; None]
[2017-12-28 15:05:57+00:00; jrguzzofatos; @Nadia_LS_ @VEJA Poxa, Nádia, aí você me deu um nó...; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/946396811933167616; None; None]
[2017-12-28 15:03:50+00:00; jrguzzofatos; @lumaltezsco 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/946396276320501760; None; None]
[2017-12-28 15:03:11+00:00; jrguzzofatos; @nirdop @rosangela_bolze Pagam imposto e acham bacana quem não paga ...; 0; 3; 7; 0; https://twitter.com/jrguzzofatos/status/946396113237626880; None; None]
[2017-12-28 15:02:10+00:00; jrguzzofatos; @mcastralli 👍👍👍; 0; 0; 3; 0; https://twitter.com/jrguzzofatos/status/946395856936357895; None; None]
[2017-12-28 15:02:09+00:00; jrguzzofatos; @mcastralli 👍👍🏖; 0; 0; 4; 0; https://twitter.com/jrguzzofatos/status/946395853115273217; None; None]
[2017-12-28 15:01:39+00:00; jrguzzofatos; @guilhermeamjr 👍👍👍 Obrigado!; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/946395727290421248; None; None]
[2017-12-28 15:00:54+00:00; jrguzzofatos; @adonas40 👍👍👍; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/946395539368759296; None; None]
[2017-12-28 15:00:32+00:00; jrguzzofatos; @LeonardoBittar Online in Rio.; 0; 0; 1; 0; https://twitter.com/jrguzzofatos/status/946395448318873600; None; None]
