[2020-11-30 00:26:40+00:00; jrguzzofatos; Após 2 anos no comando, o governo encontra-se + ou - onde Dilma nos deixou. O Estado continua a engolir a maior fatia da renda. A burocracia deita e rola. As leis continuam servindo p/ proteger os políticos dos cidadãos. O que adianta governar desse jeito? https://t.co/8YYc61ID8K; 1062; 350; 3902; 128; https://twitter.com/jrguzzofatos/status/1333205772738715648; None; None] 
[2020-11-29 20:22:41+00:00; jrguzzofatos; @ana_aguiar1 @revistaoeste Querida ANA Love you too ... ♥️; 1; 0; 3; 0; https://twitter.com/jrguzzofatos/status/1333144371592646663; None; None] 
[2020-11-27 21:33:39+00:00; jrguzzofatos; Na França, é cada vez mais evidente o namoro com o autoritarismo sob o disfarce da racionalidade, da competência administrativa, do bem comum, da justiça social. https://t.co/Vv08pAiwpU; 114; 667; 4839; 56; https://twitter.com/jrguzzofatos/status/1332437453513355265; None; None] 
[2020-11-22 20:46:01+00:00; jrguzzofatos; Lula ainda não voltou ao mundo dos vivos. Ao contrário, seu PT saiu arrasado das urnas: dos 630 prefeitos que tinha em 2012, ficou com 179. Se ganhar todas as quinze disputas que vai ter no segundo turno, o problema fica igual https://t.co/HySNALv1yp; 65; 213; 2031; 31; https://twitter.com/jrguzzofatos/status/1330613529104224257; None; None] 
[2020-11-15 23:08:19+00:00; jrguzzofatos; A guerra do Sleeping Giants contra a liberdade de imprensa https://t.co/sr9OoJEaWF; 62; 637; 4527; 47; https://twitter.com/jrguzzofatos/status/1328112623158702085; None; None] 
[2020-11-13 18:32:58+00:00; jrguzzofatos; A reportagem de capa da @revistaoeste desta semana está imperdível. Liberada também para não assinantes https://t.co/mGxSbwtDrA https://t.co/wrQAgQ6cS3; 17; 138; 868; 6; https://twitter.com/jrguzzofatos/status/1327318556409794563; None; https://twitter.com/revistaoeste/status/1327315667733913601] 
[2020-11-11 21:00:41+00:00; jrguzzofatos; Perguntem à Taurus, há 81 anos a maior fabricante de armas leves do Brasil, o que ela está achando do atual programa de liberalização da economia. Ela vai importar para cá, da sua fábrica em Miami, a nova pistola TX22. Aqui ela não consegue homologar a produção da mesmíssima arma; 57; 458; 4133; 21; https://twitter.com/jrguzzofatos/status/1326630951758204928; None; None] 
[2020-11-10 01:38:50+00:00; jrguzzofatos; @CAVALAOAZUL @Teodorico1967 😂👏😂👏😂👏; 1; 0; 12; 0; https://twitter.com/jrguzzofatos/status/1325976175785730048; None; None] 
[2020-11-10 01:37:06+00:00; jrguzzofatos; @BethBoa Love you too ... 🥰♥️😊; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/1325975738034647043; None; None] 
[2020-11-10 01:36:28+00:00; jrguzzofatos; @RoneyGSouza 🤙🤙🤙; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/1325975578596569089; None; None] 
[2020-11-10 01:35:00+00:00; jrguzzofatos; @Silvio80006775 😂😂😂😂😂😂😂😂; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/1325975209648787462; None; None] 
[2020-11-10 01:33:58+00:00; jrguzzofatos; @Silvio80006775 Caro Silvio  É que eles são ingleses . Acho que não pode ... Abs; 5; 0; 16; 0; https://twitter.com/jrguzzofatos/status/1325974953406193665; None; None] 
[2020-11-10 01:09:45+00:00; jrguzzofatos; O leitor Marcio Antonio Rosa, da revista  “Oeste”, fez uma sugestão interessante para os políticos americanos: já que voto de morto está valendo, porque não legalizar a eleição de gente que já morreu? Ele sugere uma chapa Franklin Roosevelt-Ronald Reagan. Vai bombar, com certeza; 193; 1031; 10046; 96; https://twitter.com/jrguzzofatos/status/1325968856494510086; None; None] 
[2020-11-08 20:25:22+00:00; jrguzzofatos; As espantosas eleições norte-americanas em que todo mundo vota, até por telepatia, mas o resultado não sai nunca, nos levam de volta ao mundo surrealista do pintor Salvador Dalí https://t.co/QPA1DaUxye; 66; 496; 4612; 30; https://twitter.com/jrguzzofatos/status/1325534902004158464; None; None] 
[2020-11-07 18:16:04+00:00; jrguzzofatos; Biden e todas as forças políticas, econômicas e sociais que o apoiaram nas eleições representam, acima de qualquer outra coisa, o retrocesso.   https://t.co/TvUPaqSLIG; 278; 1346; 8604; 168; https://twitter.com/jrguzzofatos/status/1325139974619082754; None; None] 
[2020-11-01 21:49:34+00:00; jrguzzofatos; A França está colhendo o que plantou em matéria de terrorismo. Países que têm medo de defender os seus valores acabam não merecendo a liberdade que querem ter https://t.co/9li6tgHXMr; 194; 1000; 7852; 152; https://twitter.com/jrguzzofatos/status/1323019374337400836; None; None] 
[2020-10-31 16:59:32+00:00; jrguzzofatos; @BijosNadeu Perfeito. 🤙🤙🤙🤙🤙🤙🤙; 0; 3; 21; 0; https://twitter.com/jrguzzofatos/status/1322584000574214145; None; None] 
[2020-10-31 16:59:08+00:00; jrguzzofatos; @PGIAFFONE 👏👏👏👏👏👏👏👏; 0; 0; 6; 0; https://twitter.com/jrguzzofatos/status/1322583898178658304; None; None] 
[2020-10-31 16:56:41+00:00; jrguzzofatos; @cintiagarciaL Abração, Cíntia ! 😍🥰😍; 1; 1; 2; 0; https://twitter.com/jrguzzofatos/status/1322583282165469187; None; None] 
[2020-10-31 16:41:24+00:00; jrguzzofatos; Todos os dias morrem pessoas que estão na lista de espera do SUS para receber transplantes. Há gente que não acaba mais exigindo “distanciamento social”, máscara, vacina obrigatória — mas ninguém nem pensa em fazer uma doação de órgãos. Acham que a única doença do mundo é a Covid; 157; 1254; 8056; 117; https://twitter.com/jrguzzofatos/status/1322579434113781762; None; None] 
[2020-10-31 00:22:31+00:00; jrguzzofatos; Os candidatos impostos pelos partidos para a eleição de 2020 são os piores que temos desde o padre Anchieta, 466 anos atrás. https://t.co/S6RPZPjnYI; 211; 794; 5783; 140; https://twitter.com/jrguzzofatos/status/1322333089952051200; None; None] 
[2020-10-30 19:28:17+00:00; jrguzzofatos; @AnaPaulaVolei 👏👏👏👏👏👏👏👏; 2; 9; 329; 0; https://twitter.com/jrguzzofatos/status/1322259046238429185; None; None] 
[2020-10-28 23:24:22+00:00; jrguzzofatos; @joaocasajunior 🤙🤙🤙🤙🤙 👏👏👏👏👏; 0; 0; 0; 0; https://twitter.com/jrguzzofatos/status/1321593680726294529; None; None] 
[2020-10-28 03:54:25+00:00; jrguzzofatos; @juniorde_sa Vou seguir 🤙🤙🤙; 3; 0; 4; 0; https://twitter.com/jrguzzofatos/status/1321299254321827842; None; None] 
[2020-10-27 20:22:20+00:00; jrguzzofatos; Oi Ana ... 🥰🤙🥰; 15; 16; 296; 0; https://twitter.com/jrguzzofatos/status/1321185483049885698; None; None] 
[2020-10-27 19:06:33+00:00; jrguzzofatos; @Iris_Descente 😊😊😊 Exatamente ... Tudo na frente dos bois 🐂; 1; 0; 40; 0; https://twitter.com/jrguzzofatos/status/1321166412329660416; None; None] 
[2020-10-27 19:05:00+00:00; jrguzzofatos; @SoniaRe51027358 Querida Sonia Realmente, não está fácil... Coragem... 🥰; 0; 0; 112; 0; https://twitter.com/jrguzzofatos/status/1321166022532096000; None; None] 
[2020-10-27 17:03:39+00:00; jrguzzofatos; @marcelvanhattem São as nossas instituições em funcionamento. Elas têm proprietários — todos 100% contra o Brasil; 7; 47; 439; 6; https://twitter.com/jrguzzofatos/status/1321135483766951937; None; None] 
[2020-10-27 17:01:02+00:00; jrguzzofatos; @Clauwild1 Querida Claudia  Muito bem lembrado ! 🥰; 0; 10; 201; 0; https://twitter.com/jrguzzofatos/status/1321134824258707456; None; None] 
[2020-10-27 16:54:58+00:00; jrguzzofatos; @ninaloiola Querida Nina Todos os dias tem alguém tentando criar uma ditadura por aqui. Em muitas coisas já conseguiram ... 🥰; 10; 3; 138; 1; https://twitter.com/jrguzzofatos/status/1321133300589756427; None; None] 
