[2020-12-07 20:00:38+00:00; kimkataguiri; Tem alguém que ainda acredita na democracia da Venezuela?; https://www.instagram.com/p/CIglkpGAIkH/; 1521; 28]
[2020-12-07 19:00:17+00:00; kimkataguiri; Piada, né?; https://www.instagram.com/p/CIgeqmggPQ3/; 3218; 50]
[2020-12-07 17:31:39+00:00; kimkataguiri; Se liga que a história é real!!; https://www.instagram.com/p/CIgUaV0J3Ka/; 4199; 124]
[2020-12-07 16:11:26+00:00; kimkataguiri; Eu já aceitei, será que ele aceita?; https://www.instagram.com/p/CIgLV6NMOPR/; 26280; 1392]
[2020-12-07 15:03:27+00:00; kimkataguiri; É hora de cobrar os deputados para que assinem a #emendaantiprivilégio; https://www.instagram.com/p/CIgDj-qgiRz/; 6113; 447]
[2020-12-07 14:00:49+00:00; kimkataguiri; Aceita o debate?; https://www.instagram.com/p/CIf8ZRtByfZ/; 12094; 285]
[2020-12-07 12:12:47+00:00; kimkataguiri; Urgente; https://www.instagram.com/p/CIfv_o7JOxP/; 7037; 253]
[2020-12-07 02:55:24+00:00; kimkataguiri; Critiquei o Supremo precipitadamente. Peço desculpas. A Corte foi responsável e fez a letra da lei valer. A República e as instituições respiram.; https://www.instagram.com/p/CIewPnlslgk/; 14818; 439]
[2020-12-06 19:00:36+00:00; kimkataguiri; Mas acho que não vai ser jogado no espaço.; https://www.instagram.com/p/CId56FyArJf/; 17549; 284]
[2020-12-06 17:00:51+00:00; kimkataguiri; Será que ele aparece?; https://www.instagram.com/p/CIdsHDUgdhK/; 17315; 923]
[2020-12-06 15:00:49+00:00; kimkataguiri; Sugiro que o governador abra licitação para adquirir guarda-chuvas para a polícia militar de SP, está na hora de modernizar nossas forças de segurança.; https://www.instagram.com/p/CIded4Bh8Io/; 20034; 444]
[2020-12-06 13:00:20+00:00; kimkataguiri; Meu Deus do céu, que triste ver o vídeo da morte do Cabo Cardoso logo antes de imagens dele abraçando o filho pequeno. Meus pêsames à família.; https://www.instagram.com/p/CIdQp8PAhbQ/; 67697; 3324]
