2020-12-08 22:53:14+00:00; lauraabcarvalho; @Spossas Bom ve-la por aqui professora!; 0; 0; 0; 0; https://twitter.com/lauraabcarvalho/status/1336443748931297289; None; None
2020-12-08 19:31:19+00:00; lauraabcarvalho; @IgorRocha86 Melhoras pra eles, Igor!; 0; 1; 21; 0; https://twitter.com/lauraabcarvalho/status/1336392937358430209; None; None
2020-12-08 19:19:38+00:00; lauraabcarvalho; @_makavelijones É o Omarzinho do @BardoOmar, não deixa de ir lá pós-pandemia; 4; 1; 411; 0; https://twitter.com/lauraabcarvalho/status/1336389997172318211; None; None
2020-12-07 15:14:18+00:00; lauraabcarvalho; Novo post no blog do @made_usp com dados bem interessantes! https://t.co/xVyJd78InY; 1; 0; 23; 0; https://twitter.com/lauraabcarvalho/status/1335965868048723968; None; https://twitter.com/made_usp/status/1335931873663578115
2020-12-07 15:12:15+00:00; lauraabcarvalho; @bruno_gommez @sneyle Parabéns @sneyle!!; 1; 0; 21; 0; https://twitter.com/lauraabcarvalho/status/1335965351977365507; None; None
2020-12-07 12:50:35+00:00; lauraabcarvalho; @rphlbruce Parabéns, Raphael!!!; 1; 0; 2; 0; https://twitter.com/lauraabcarvalho/status/1335929701999763459; None; None
2020-12-07 12:50:09+00:00; lauraabcarvalho; Bom fio sobre os modelos macroeconômicos em desuso e a mudança de visão sobre o papel da política fiscal desde a crise de 2008-09 https://t.co/nQJ64ha585; 1; 10; 91; 1; https://twitter.com/lauraabcarvalho/status/1335929591639273474; None; https://twitter.com/Noahpinion/status/1335638404277493761
2020-12-06 00:20:51+00:00; lauraabcarvalho; Um dos melhores professores que já tive, além de um orientador fenomenal da minha dissertação de mestrado. Saudades, David Kupfer. Vale a pena assistir o vídeo. https://t.co/i4KfPlJzqW; 7; 27; 706; 3; https://twitter.com/lauraabcarvalho/status/1335378636883505154; None; https://twitter.com/jpkupfer123/status/1335332656993738752
2020-12-05 00:22:36+00:00; lauraabcarvalho; @ale_amoreira @made_usp Clica em contato!; 1; 0; 0; 0; https://twitter.com/lauraabcarvalho/status/1335016688216133632; None; None
2020-12-04 23:22:00+00:00; lauraabcarvalho; Uma perda para o Estadão o encerramento da coluna da @bollemdb, qualquer que seja o motivo. O jornal certamente ganhava com a pluralidade da qual nunca pareceu ser muito fã; 63; 154; 5461; 16; https://twitter.com/lauraabcarvalho/status/1335001439538737153; None; None
2020-12-04 21:59:19+00:00; lauraabcarvalho; @Quasar2307 @made_usp É em português mesmo! Rs Eu falo Má-de mas tem membros que falam Ma-dê. Os dois tão valendo :-); 1; 0; 5; 0; https://twitter.com/lauraabcarvalho/status/1334980631114223620; None; None
2020-12-04 21:51:33+00:00; lauraabcarvalho; O site do @made_usp agora ficou pronto — com animação na home, blog e tudo mais. Assina a nossa newsletter pra ficar sabendo das nossas publicações e eventos. Ainda não acredito que conseguimos tirar isso do papel em pleno 2020   https://t.co/Mm662Gp1gd; 10; 14; 174; 2; https://twitter.com/lauraabcarvalho/status/1334978674605645833; None; None
2020-12-04 18:14:02+00:00; lauraabcarvalho; @Gabrielophd Exato. É bem diferente; 0; 0; 10; 0; https://twitter.com/lauraabcarvalho/status/1334923936052768770; None; None
2020-12-04 18:10:21+00:00; lauraabcarvalho; O pedido de desculpas do Ministério da Economia ao menos serve como resposta a todos que vieram aqui dizer que é normal o governo contratar uma empresa que classifica cidadãos como detratores a partir de um perfilamento de sua opinião   https://t.co/TOVRLFr3hW; 16; 47; 515; 7; https://twitter.com/lauraabcarvalho/status/1334923008947998720; None; None
2020-12-04 16:26:26+00:00; lauraabcarvalho; @l_viuva @FelipeSalto @cirogomes E eu desde 2016...; 1; 0; 0; 0; https://twitter.com/lauraabcarvalho/status/1334896858594938880; None; None
2020-12-04 15:14:43+00:00; lauraabcarvalho; @pachukan1s @FelipeSalto Não, discordamos nesse ponto; 0; 0; 4; 0; https://twitter.com/lauraabcarvalho/status/1334878808504225798; None; None
