2019-12-30 03:52:05+00:00; LeoLins; @WV1ni \m/; 11; 0; 0; 0; https://twitter.com/LeoLins/status/1211495145142571008; None; None
2019-12-27 16:17:16+00:00; LeoLins; O primeiro que a editora fui eu mesmo RT @Possilga: Impressionado com a qualidade do livro do @LeoLins .  Muito bom! https://t.co/dpcgZvZG9N; 390; 49; 20; 11; https://twitter.com/LeoLins/status/1210595513352908805; None; None
2019-11-27 02:52:33+00:00; LeoLins; @e_dai66 @jennie_san @reuberdiirr vlwwww PORRA!!!; 10; 2; 0; 0; https://twitter.com/LeoLins/status/1199521361322037248; None; None
2019-11-20 22:04:43+00:00; LeoLins; Amanha a grafica vai confirmar se teremos mais a tempo RT @DigohpOficial: Eaeee @LeoLins o livro dos insultos no https://t.co/ojahMjzKW2 está esgotado... Quando haverá mais ? Preciso da bíblia do insulto em casa haha; 179; 15; 11; 1; https://twitter.com/LeoLins/status/1197274599865638914; None; None
2019-11-12 23:21:12+00:00; LeoLins; @_Gustavofn_ so escolher a cota q vc e “doar” o valor dela para adquirir aqueles produtos; 3; 0; 0; 0; https://twitter.com/LeoLins/status/1194394745734344705; None; None
2019-11-08 23:12:26+00:00; LeoLins; Parabens https://t.co/2cajNoZL1M; 4168; 71; 576; 47; https://twitter.com/LeoLins/status/1192942988697260032; None; None
2019-11-08 23:12:15+00:00; LeoLins; . https://t.co/BPjeUXrwut; 1847; 19; 306; 21; https://twitter.com/LeoLins/status/1192942938881503237; None; None
2019-11-07 14:35:47+00:00; LeoLins; Hahahahah RT @samydana: Estou sofrendo bullying, @LeoLins me ajuda zuar o pilantra  que cuida do Twitter no pânico https://t.co/w1IVVAWVwl // vou mandar um livro ai p vcs!!!; 70; 7; 1; 0; https://twitter.com/LeoLins/status/1192450579492200450; None; https://twitter.com/programapanico/status/1192122476232355840
2019-11-06 14:38:40+00:00; LeoLins; Daqui a pouco to ao vivo no @programapanico; 398; 35; 6; 2; https://twitter.com/LeoLins/status/1192088916997873666; None; None
2019-10-22 21:26:46+00:00; LeoLins; Aquele personagem que bota medo nas crianças https://t.co/PpFVd2EzNV; 782; 22; 72; 6; https://twitter.com/LeoLins/status/1186755803132370947; None; None
2019-10-17 22:59:14+00:00; LeoLins; SIGAM O Caio Coppola no @boletimcoppolla; 328; 29; 8; 1; https://twitter.com/LeoLins/status/1184967131038998528; None; None
2019-09-10 14:25:06+00:00; LeoLins; . https://t.co/H2jbm9J3Hi; 4529; 96; 700; 28; https://twitter.com/LeoLins/status/1171429395812077568; None; None
2019-09-08 15:09:40+00:00; LeoLins; @bobdaslabaredas hahahahahah; 71; 3; 3; 0; https://twitter.com/LeoLins/status/1170715836778106880; None; None
2019-07-28 15:20:08+00:00; LeoLins; @Gisselma hahahahah eita, nao me querem ai?! Novidade; 105; 7; 0; 1; https://twitter.com/LeoLins/status/1155498178722107393; None; None
2019-07-13 15:25:29+00:00; LeoLins; @CCristinaS vlwwww; 5; 1; 0; 1; https://twitter.com/LeoLins/status/1150063704920219649; None; None
2019-07-13 15:24:34+00:00; LeoLins; @pinheir0duda @GeizeStella nao. Eu estava pagando para a prefeitura para usar o teatro. Se o show desse pouco público eu teria prejuízo, simples assim.; 4; 2; 1; 1; https://twitter.com/LeoLins/status/1150063475076599808; None; None
2019-07-13 15:10:41+00:00; LeoLins; @ZabeleMassemba @PauloVieiraReal @cidadepalmas @CinthiaCRibeiro o MP disse ser censura. E tentaram de todas as formas cancelar o show mesmo em um espaço privado. Com ligacoes e ameaças ao dono; 5; 1; 0; 0; https://twitter.com/LeoLins/status/1150059980126609410; None; None
2019-07-13 14:33:35+00:00; LeoLins; @PauloVieiraReal @mariliabohnen @eduardoazev @cidadepalmas @CinthiaCRibeiro vlw Paulo! Obrigado pela sensatez, virtude cada vez mais rara em mt gente! Abs!; 11; 0; 0; 0; https://twitter.com/LeoLins/status/1150050646445494273; None; None
2019-07-13 14:33:35+00:00; LeoLins; . @denisamui @robertatum @CinthiaCRibeiro De onde vc tirou a ideia que me apresento com dinheiro publico?!?? Pelo contrário eu pago para me apresentar no teatro. Mas pelo visto a prefeitura não precisa de $ ja q cancelou um show que seriam 3 sessões lotadas.; 345; 14; 10; 1; https://twitter.com/LeoLins/status/1150050646093156352; None; None
2019-07-12 22:22:47+00:00; LeoLins; @GeizeStella vlw!; 50; 1; 0; 0; https://twitter.com/LeoLins/status/1149806337112662016; None; None
2019-07-11 03:06:05+00:00; LeoLins; @Amandabermond vlwwwwww; 4; 1; 0; 0; https://twitter.com/LeoLins/status/1149152855179350017; None; None
2019-07-11 03:04:14+00:00; LeoLins; @robertatum @Goncalowands mentira. Eu nao lhe xinguei, nem usei palavras de baixo calão e estou bloqueado. Por vc e pela prefeita. O irônico é que o perfil do cara que merece ser censurado é o único que é livre pra quem quiser comentar.; 7; 1; 0; 0; https://twitter.com/LeoLins/status/1149152388634357760; None; None
2019-07-11 03:02:01+00:00; LeoLins; Hahahahah RT @Goncalowands: Legal é ver a figura pública @robertatum  fechando  o Instagram por não aguentar comentários contra a censura. “Covardes não passarão” @LeoLins; 207; 10; 5; 1; https://twitter.com/LeoLins/status/1149151831869837312; None; None
2019-07-11 02:59:54+00:00; LeoLins; @dannlelis @robertatum nao entendi? Ela pode falar de mim, mas se eu falar dela vira covardia.?!; 360; 24; 3; 0; https://twitter.com/LeoLins/status/1149151298257936384; None; None
2019-07-10 18:49:57+00:00; LeoLins; Uma jornalista a favor da censura! Vivemos pra ver essa! RT @robertatum: Tinha recebido e nem visto (cont) https://t.co/3tZrLFCY4H; 295; 21; 19; 1; https://twitter.com/LeoLins/status/1149027998940770316; None; None
2019-07-10 13:41:54+00:00; LeoLins; E CHEIRO DE CENSURA! Po prefeita, cancelou meu show que ja tava esgotado?!  RT @CinthiaCRibeiro: (cont) https://t.co/Qd9fFswg0D; 1182; 63; 101; 15; https://twitter.com/LeoLins/status/1148950476639129601; None; None
