2020-12-05 00:46:12+00:00; LeoLins; . https://t.co/qfHtX1K5C2; 2711; 190; 142; 62; https://twitter.com/LeoLins/status/1335022627346407433; None; None
2020-12-04 16:06:44+00:00; LeoLins; . https://t.co/mjPPSIIXuR; 1947; 37; 100; 22; https://twitter.com/LeoLins/status/1334891898000039938; None; None
2020-11-26 21:55:26+00:00; LeoLins; O Maradonna so morreu primeiro porque o Pelé nunca foi visto no Carrefour; 12586; 1119; 901; 483; https://twitter.com/LeoLins/status/1332080547535990784; None; None
2020-11-25 15:05:19+00:00; LeoLins; A troco de que hackear uma pessoa x... pegaram a conta da @bethmoreno puta sacanagem... Ela usa o Twitter para trabalho. Espero que alguem do Twitter de um suporte para ela recuperar a conta; 264; 8; 5; 0; https://twitter.com/LeoLins/status/1331614952705191936; None; None
2020-11-24 01:42:05+00:00; LeoLins; @CidQuem hahahah onde isso?!; 2; 1; 0; 0; https://twitter.com/LeoLins/status/1331050425647296513; None; None
2020-11-22 04:22:13+00:00; LeoLins; Precisei nem pesquisar muito... Olha ai o cara que quer defender a sociedade contra o mal q eu represento com piadas RT @fabioteles007: @LeoLins @rafaelcostabmac Investigado com Cabral e Eike, advogado Ary Bergher agrediu mulher de 88 anos; 375; 21; 19; 1; https://twitter.com/LeoLins/status/1330365946649866252; None; None
2020-11-22 04:21:05+00:00; LeoLins; @Wesley12542229 me manda o numero so seu pedido. O livro tem q chegar; 6; 1; 0; 0; https://twitter.com/LeoLins/status/1330365661969870850; None; None
2020-11-22 03:59:24+00:00; LeoLins; E isso sem ser com piada, ai pode. Agora se fosse uma piada... cadeia RT @rafaelcostabmac: Fico muito triste ao ver um judeu equiparando um humorista a um genocida responsável pelo extermínio de uma população equivalente ao do Rio de Janeiro. https://t.co/NSMrYkzAei; 551; 59; 17; 4; https://twitter.com/LeoLins/status/1330360204052017155; None; None
2020-11-07 16:07:37+00:00; LeoLins; Que bom ver a Manuela contra as fake news, espero ver ela combatendo o Intercept RT @ManuelaDavila: Querido @felipeneto, são dias difíceis os que estamos vivendo. Mas vamos vencer o ódio que alimenta as redes de Fake News. Um abraço solidário!; 2190; 45; 112; 16; https://twitter.com/LeoLins/status/1325107648048590848; None; None
2020-09-25 22:21:55+00:00; LeoLins; @sr_stak @rguilhermesilva @ConJur_Oficial vlw Sr Stak!!!; 4; 6; 0; 0; https://twitter.com/LeoLins/status/1309619166027055104; None; None
2020-09-24 15:46:58+00:00; LeoLins; @rguilhermesilva vlwww Rubens!!; 111; 16; 0; 0; https://twitter.com/LeoLins/status/1309157386029084673; None; None
