[2017-12-24 16:07:24+00:00; malugaspar; O que importa é brindar!!! https://t.co/V6eeNt20BS; 0; 1; 9; 0; https://twitter.com/malugaspar/status/944962724475424768; None; https://twitter.com/LaerteCoutinho1/status/944962323613208577]
[2017-12-24 16:05:57+00:00; malugaspar; @sergioslobato eu adoro!!!; 0; 0; 1; 0; https://twitter.com/malugaspar/status/944962357939310592; None; None]
[2017-12-24 10:57:55+00:00; malugaspar; @leila_oman eu gosto, mas o que acho mais interessante no texto é a história da fabricação de um fenômeno musical nesses tempos; 0; 0; 0; 0; https://twitter.com/malugaspar/status/944884839345508352; None; None]
[2017-12-24 10:56:02+00:00; malugaspar; @sergioslobato mas dá pra constatar o fenômeno e a competência da moça sem necessariamente gostar dela, não?; 1; 0; 0; 0; https://twitter.com/malugaspar/status/944884364843847681; None; None]
[2017-12-23 23:35:01+00:00; malugaspar; Também notei a coincidência. Já a resposta à pergunta é fácil. Nos Estados Unidos não tem Gilmar Mendes. https://t.co/5oyKl9aCDw; 1; 12; 41; 0; https://twitter.com/malugaspar/status/944712983640408064; None; None]
[2017-12-22 17:39:14+00:00; malugaspar; Despachito, hit de Gilmar Mendes, bomba no Spotify em 2017. No Piauí Herald: https://t.co/KgH2KVkdI9; 0; 9; 17; 0; https://twitter.com/malugaspar/status/944261058646233089; None; None]
[2017-12-22 17:19:48+00:00; malugaspar; De Nelson Motta sobre Anitta, um tem que ler: https://t.co/jSa3ED3XO0; 3; 8; 26; 2; https://twitter.com/malugaspar/status/944256169698385920; None; None]
[2017-12-22 09:46:26+00:00; malugaspar; Retrospectiva:   https://t.co/UBDCVZBwJm; 0; 2; 0; 0; https://twitter.com/malugaspar/status/944142075603443713; None; None]
[2017-12-22 09:45:50+00:00; malugaspar; O Congresso decidiu que o presidente do Peru, PPK, continua no poder. https://t.co/KTMbfzreE7; 0; 0; 5; 0; https://twitter.com/malugaspar/status/944141923534737408; None; https://twitter.com/Ojo_Publico/status/944070840219553792]
[2017-12-21 19:27:42+00:00; malugaspar; @zerotoledo bem vindo, parça!!!! estamos te esperando!; 1; 0; 6; 0; https://twitter.com/malugaspar/status/943925968829378561; None; None]
[2017-12-21 19:20:40+00:00; malugaspar; Jornalismo investigativo é bom investimento:  https://t.co/pGBN8tg9lb; 3; 3; 10; 0; https://twitter.com/malugaspar/status/943924197004382209; None; None]
[2017-12-21 00:54:13+00:00; malugaspar; O fracasso subiu à cabeça: https://t.co/mVwkHDU49R; 15; 33; 221; 3; https://twitter.com/malugaspar/status/943645751497908224; None; https://twitter.com/VEJA/status/943645169563389955]
[2017-12-21 00:19:36+00:00; malugaspar; @iainlevine @BrazilBrian I'm afraid the answer for both questions is No...; 1; 0; 0; 0; https://twitter.com/malugaspar/status/943637037122547712; None; None]
[2017-12-20 10:39:05+00:00; malugaspar; Nova moda agora é falar em "momento punitivo" . Como se nunca tivesse havido o "momento delitivo" .; 0; 25; 50; 1; https://twitter.com/malugaspar/status/943430547665244160; None; None]
[2017-12-20 00:00:07+00:00; malugaspar; A saída de Marcelo Odebrecht simboliza o fim de um ciclo na Lava Jato: https://t.co/OeShGtV3v7; 1; 4; 14; 3; https://twitter.com/malugaspar/status/943269746107146241; None; None]
[2017-12-19 21:12:31+00:00; malugaspar; Isso a gente sabe! https://t.co/oTwgbZ9vZr; 8; 25; 76; 1; https://twitter.com/malugaspar/status/943227568433651715; None; https://twitter.com/valoreconomico/status/943136453718093825]
[2017-12-15 20:45:35+00:00; malugaspar; Ecos do caso Odebrecht no Peru. Lá também presidentes caem: https://t.co/PYEvi8kp95; 0; 0; 1; 0; https://twitter.com/malugaspar/status/941771239819005954; None; https://twitter.com/exame/status/941754240153849856]
[2017-12-15 20:38:08+00:00; malugaspar; Grande premiação: https://t.co/QMTSE8REaw; 1; 2; 14; 0; https://twitter.com/malugaspar/status/941769367024553985; None; None]
[2017-12-15 19:14:11+00:00; malugaspar; Lacrou, @nando_reis. https://t.co/cdhNsYJh2G; 0; 0; 2; 0; https://twitter.com/malugaspar/status/941748238679465985; None; https://twitter.com/BuzzFeedBrasil/status/941358280496033792]
[2017-12-15 17:21:36+00:00; malugaspar; @VEJA Depois de ler essa matéria, e já tendo lido tantas outras e visto tudo o que já vimos,  fico me perguntando se alguém e boa fé, em sã consciência, realmente acha normal Gilmar Mendes continuar ministro do STF.; 3; 13; 41; 1; https://twitter.com/malugaspar/status/941719906751533056; None; None]
[2017-12-15 16:51:57+00:00; malugaspar; Para quem vive pedindo uma investigação mais profunda sobre os feitos de Gilmar Mendes, segue esta da @VEJA : https://t.co/730qIJXNZj; 5; 44; 93; 6; https://twitter.com/malugaspar/status/941712445047009280; None; None]
[2017-12-13 14:12:04+00:00; malugaspar; Esses vídeos são uma praga https://t.co/utEH9Gh1Uj; 2; 1; 2; 0; https://twitter.com/malugaspar/status/940947432132808705; None; https://twitter.com/bbcbrasil/status/940866545638658048]
[2017-12-13 00:52:10+00:00; malugaspar; Placar da reforma da previdência provocando palpitações 😉 https://t.co/juZUqjRkXh; 0; 0; 2; 0; https://twitter.com/malugaspar/status/940746129234382848; None; https://twitter.com/tecomedina/status/940734543786586113]
[2017-12-11 19:26:44+00:00; malugaspar; Isso é uma entrevista 👇👇👇https://t.co/HR9rpCuos9; 0; 0; 2; 1; https://twitter.com/malugaspar/status/940301844903063552; None; None]
[2017-12-07 19:28:12+00:00; malugaspar; A imprensa que temos, por Eugenio Bucci (é bem melhor do que gostam de fazer crer):  https://t.co/IpYooGyAPb; 0; 1; 6; 1; https://twitter.com/malugaspar/status/938852664405831682; None; None]
[2017-12-06 23:40:01+00:00; malugaspar; Tuitando de Benfica 👇🏻👇🏻👇🏻 https://t.co/AGCedJNinf; 0; 0; 6; 0; https://twitter.com/malugaspar/status/938553648233238528; None; https://twitter.com/JorgePicciani/status/938543672148316160]
[2017-12-06 23:33:55+00:00; malugaspar; Tiririca, um palhaço de respeito. https://t.co/RNtlQqaDW3; 2; 0; 5; 0; https://twitter.com/malugaspar/status/938552111469604864; None; None]
[2017-12-04 17:53:35+00:00; malugaspar; 😱😳😔 https://t.co/HXre2fRd3D; 0; 0; 0; 0; https://twitter.com/malugaspar/status/937741687295823872; None; https://twitter.com/cnni/status/937505383983276035]
[2017-12-03 19:59:00+00:00; malugaspar; @alansg35 sem dúvida. Especialmente a imprensa.; 0; 0; 1; 0; https://twitter.com/malugaspar/status/937410860632477704; None; None]
[2017-12-03 14:27:52+00:00; malugaspar; Taí. Falta mesmo. E se todo mundo que foi admitisse, não ia ter produção que chegasse. https://t.co/lMCeLPud1R; 4; 3; 28; 0; https://twitter.com/malugaspar/status/937327529152647168; None; None]
[2017-12-03 01:21:11+00:00; malugaspar; Amo https://t.co/Sb6heM3YsH; 0; 0; 1; 0; https://twitter.com/malugaspar/status/937129553360773121; None; https://twitter.com/LuluSantos/status/937124363089973248]
[2017-12-01 14:11:24+00:00; malugaspar; Parece coisa do @sensacionalista , mas não é. 👇👇👇 https://t.co/toXGHwWPZI; 0; 2; 8; 0; https://twitter.com/malugaspar/status/936598608979353606; None; https://twitter.com/EstadaoPolitica/status/936350712270872576]
[2017-12-01 13:29:46+00:00; malugaspar; Boa matéria sobre o clima na Petrobras de hoje. https://t.co/dkxDEc9Wfn; 0; 3; 12; 1; https://twitter.com/malugaspar/status/936588133537378305; None; None]
[2017-11-27 12:23:46+00:00; malugaspar; Imagens de Benfica no Fantástico de ontem. Como vivem Cabral, Picciani, Rosinha, Adriana Ancelmo. Tem de ver. https://t.co/yv3owN4Ytw; 0; 8; 5; 0; https://twitter.com/malugaspar/status/935121970714300416; None; None]
[2017-11-27 12:12:45+00:00; malugaspar; Leilão de gente na Líbia. Por @cnni, via @CanalMeio. https://t.co/OVbjsU1lJr 😔; 0; 1; 3; 0; https://twitter.com/malugaspar/status/935119200473018368; None; None]
[2017-11-27 12:11:27+00:00; malugaspar; Leilão de gente na Líbia.; 1; 0; 1; 0; https://twitter.com/malugaspar/status/935118871320768512; None; None]
[2017-11-26 17:12:13+00:00; malugaspar; "Fichtner, que é advogado, foi sozinho conversar com os procuradores e abriu a possibilidade de contar casos sobre o Judiciário, inclusive histórias envolvendo o STJ ." Quando vamos saber o que se passou no Judiciário na enquanto rolava a Lava Jato?   https://t.co/hNQ6tjFvPp; 3; 20; 58; 4; https://twitter.com/malugaspar/status/934832174238502917; None; None]
