2020-12-07 20:54:55+00:00; marceloadnet0; Alice ❤️ @eupatriciacardoso pelas lentes das amigas da @babuskafotografia; 123299; 2738; ; ; https://www.instagram.com/p/CIgryPihLVT/
2020-11-30 23:31:11+00:00; marceloadnet0; Lua cheia 🌕 #fullmoon; 28410; 820; ; ; https://www.instagram.com/p/CIO8GpaBROG/
2020-11-28 03:33:22+00:00; marceloadnet0; Boulos x Covas  Debate SP Stop!; 53121; 2759; ; ; https://www.instagram.com/p/CIHpZCZh04e/
2020-11-28 03:32:42+00:00; marceloadnet0; Crivella x Paes  Debate Rio #ZePilintra; 26366; 1170; ; ; https://www.instagram.com/p/CIHpT2PhVcS/
2020-11-27 16:41:20+00:00; marceloadnet0; None; 7368; 53; ; ; https://www.instagram.com/p/CIGe0JjBoNg/
2020-11-25 20:41:29+00:00; marceloadnet0; A gente não sabia que tinha tanta coisa bacana para neném... Pesquisamos muito sobre os carrinhos e tivemos a indicação da marca @abcdesign_brasil . Eles nos assessoraram a escolher o modelo que mais se encaixaria na nossa rotina e optamos finalmente pelo Salsa 4 com Moisés e com bebê conforto. Para as viagens e para uso depois como cercadinho, optamos pelo berço desmontável da mesma marca Moonlight. Não vejo a hora de passear em família por ai com esse carrão. 😍 #publi; 47967; 418; ; ; https://www.instagram.com/p/CIBwtYuhxvr/
2020-11-23 15:28:20+00:00; marceloadnet0; A estreia mais importante de nossas vidas! Alice vem aí, com @eupatriciacardoso pelas lentes de @babuskafotografia e quarto da @alinerrima com papel de parede da @obaarquitetura; 88566; 1101; ; ; https://www.instagram.com/p/CH8DSCshkPB/
2020-11-18 18:06:22+00:00; marceloadnet0; ; 31691; 1484; ; ; https://www.instagram.com/p/CHvdTXJheM8/
2020-11-12 18:49:02+00:00; marceloadnet0; Flagrado no estacionamento do Palácio do Planalto, Wassef presta esclarecimento! Quem nunca?; 23329; 854; ; ; https://www.instagram.com/p/CHgFcCaB-u1/
2020-11-07 21:22:53+00:00; marceloadnet0; A pedido do trepidante @RubenBerta1; 77528; 4823; ; ; https://www.instagram.com/p/CHTfC_RB6Js/
2020-11-06 16:48:32+00:00; marceloadnet0; None; 34020; 1824; ; ; https://www.instagram.com/p/CHQa4sFB5dI/
2020-11-04 22:59:39+00:00; marceloadnet0; Tchau, querido!; 70302; 4768; ; ; https://www.instagram.com/p/CHL7svQhRq3/
2020-10-29 14:51:49+00:00; marceloadnet0; Quem aí lembra da Gaiola das Cabeçudas? Com @valescapopozuda, @raqueiroga e @oficialfl; 9423; 647; ; ; https://www.instagram.com/p/CG7nBzgBlFw/
2020-10-23 17:55:51+00:00; marceloadnet0; Disputa de lindos sambas para um enredo fantástico. Besouro Mangangá foi, mas tornou a voltar em Madureira. Valeu parceiros @babydocavaco2v @gustavoalbuquerque73 @andrecarvalho21 @fabianopaiva2004 @bzullo Link na bio; 3724; 333; ; ; https://www.instagram.com/p/CGsfb7Zhk1b/
2020-10-11 00:19:26+00:00; marceloadnet0; Hoje às 22h no @canalviva tem Escolinha a Distância, episódio especial de colecionador! 📺 Chico Anysio na era do EAD; 6522; 148; ; ; https://www.instagram.com/p/CGLtFYRhD5L/
2020-10-05 14:50:12+00:00; marceloadnet0; Com Mavic Air 2 da @bee.drones; 3949; 97; ; ; https://www.instagram.com/p/CF9zs4qhADo/
2020-09-30 00:32:35+00:00; marceloadnet0; Preparados para as eleições?   (Vídeo clássico do #TáNoAr); 46511; 3458; ; ; https://www.instagram.com/p/CFvZvvfBBeZ/
2020-09-26 02:14:27+00:00; marceloadnet0; TRICAMPEÃO em SP 2021 Da Brasilândia para o mundo! Valeu @rosasdeouro e @david_assayag valeu Godoi, Luciano Godoi, Diego Nicolau, André Ricardo, Douglas Chocolate, Jacopetti, Cacá Mascarenhas, Liso, Antonio Júnior, Hudson Luiz e Andréia Araújo.; 6060; 240; ; ; https://www.instagram.com/p/CFlRm5rh_aD/
2020-09-22 17:31:15+00:00; marceloadnet0; LIZARB ON MEB UDOT; 47607; 2761; ; ; https://www.instagram.com/p/CFcn_BkBJyS/
2020-09-20 18:07:22+00:00; marceloadnet0; Apresentação de comédia durante o Prêmio no @theatromunicipalrj - as diferenças entre rádio e futebol. Na plateia identifiquei Bial, PC Caju, Dadá, Ronaldo, Neymar, Sérgio Cabral, Lula, Havelange. Quem mais você identifica?; 24307; 1468; ; ; https://www.instagram.com/p/CFXiVgrhOn5/
2020-09-12 00:06:27+00:00; marceloadnet0; Cris Brasil, Boulos, Frias, Jair, Tas, Ciro, Lula, Moro, Deltan, Crivella, Regina, Brizola e Caetano dão o papo #VaoTerQueEngolir; 70047; 8657; ; ; https://www.instagram.com/p/CFBAS2HBoYZ/
2020-09-10 23:25:52+00:00; marceloadnet0; Parabéns irmã @luiza_adnet TE AMO ❤️ saudades das festas e do seu abraço! Até breve!; 14119; 177; ; ; https://www.instagram.com/p/CE-XGz1BWzZ/
2020-09-10 22:50:45+00:00; marceloadnet0; Crivella, o Náufrago e Wilso, Peofessor Olavo, Dona Cloroquinda, Seu Maduro e Salles no antepenúltimo programa desta jornada. Link na bio; 27689; 1680; ; ; https://www.instagram.com/p/CE-S2CkhlPd/
2020-09-09 22:39:08+00:00; marceloadnet0; Trump, Biden, Boldasero e a criança  Programa completo e grátis no link da página inicial; 29534; 1518; ; ; https://www.instagram.com/p/CE7s2FNBLaT/
2020-09-08 23:11:01+00:00; marceloadnet0; Novela #AjudaPantanal Apreensão de repique na casa do Dudu  Programa completo e grátis, link na bio; 35218; 1553; ; ; https://www.instagram.com/p/CE5LsvQhkko/
2020-09-07 22:42:45+00:00; marceloadnet0; Pantanal ignorado, Dramatização do chilique do Brother Retumbante e Pedro reclamando direitos autorais. Link pro ep completo na bio; 58574; 5036; ; ; https://www.instagram.com/p/CE2jmduBG0P/
2020-09-07 18:43:56+00:00; marceloadnet0; Viva o centenário da UFRJ, viva “Ciência e Arte”, viva Cartola! Direção de Lírio Ferreira e direção musical de Kassin. Vídeo completo no YouTube; 12057; 312; ; ; https://www.instagram.com/p/CE2ILJCB9f8/
2020-09-05 00:26:22+00:00; marceloadnet0; Presidente no Arquivo Confidencial; 57305; 11102; ; ; https://www.instagram.com/p/CEvBKG7BWO0/
2020-09-03 22:51:59+00:00; marceloadnet0; Brizola esbraveja com Maluf, Collor, Maia e Jair; 29770; 1365; ; ; https://www.instagram.com/p/CEsRiXrhPEP/
2020-09-02 22:05:16+00:00; marceloadnet0; A resposta do prefeito e os egamers na cultura 🕹; 29328; 1236; ; ; https://www.instagram.com/p/CEpnaTLhDn1/
2020-09-02 15:27:12+00:00; marceloadnet0; Os 4 tipos de sotaques dos paulistas e  o sotaque carioca. E uma grande saudade do Programa do Jô.; 61835; 2691; ; ; https://www.instagram.com/p/CEo5u8flSbz/
2020-09-01 23:52:55+00:00; marceloadnet0; #SintaSeEmCasa Programa Completo link na bio; 41280; 2178; ; ; https://www.instagram.com/p/CEnO3hKBqj_/
2020-08-31 22:20:11+00:00; marceloadnet0; Praias lotadas e protesto de Ciro; 34505; 1460; ; ; https://www.instagram.com/p/CEkfiDShlYm/
2020-08-28 22:06:28+00:00; marceloadnet0; Witzel, Garotinho, Crivella e Jair no centésimo programa da temporada. Episódio completo e grátis na página inicial do perfil; 35311; 1586; ; ; https://www.instagram.com/p/CEcvmO7hINR/
2020-08-27 22:26:59+00:00; marceloadnet0; Jair frita Guedes no Mestre do Sabor  Episódios completos e grátis no @globoplay link na bio; 24748; 1059; ; ; https://www.instagram.com/p/CEaNIqPhi5z/
2020-08-26 23:11:17+00:00; marceloadnet0; Galvão, Alok e Caymmi no Dia Mundial do Cachorro; 22596; 1013; ; ; https://www.instagram.com/p/CEXtYH2BgoK/
2020-08-25 22:23:45+00:00; marceloadnet0; Episódio completo e grátis no @globoplay  Link no perfil; 32700; 1867; ; ; https://www.instagram.com/p/CEVDIVJBY_H/
2020-08-24 22:57:18+00:00; marceloadnet0; Lula, Moro, Marina, Al Gore, Wassef e Dilma repercutem a fala de Jair Programa completo no link na página inicial; 32214; 1537; ; ; https://www.instagram.com/p/CESiIiNhqTl/
2020-08-21 22:42:50+00:00; marceloadnet0; Leifert, Ivy, Mari e participação especial de @babusantana 🐻❤️🏹; 17208; 532; ; ; https://www.instagram.com/p/CEKyOEphZdj/
2020-08-20 23:21:05+00:00; marceloadnet0; No aniversário de Wilker, o curta Desordem e Regresso conta a história da dramocracia brasileira; 22156; 1045; ; ; https://www.instagram.com/p/CEIRxYjha13/
2020-08-19 22:40:21+00:00; marceloadnet0; Ciro conta até bilhão e o cubano triste; 33426; 1981; ; ; https://www.instagram.com/p/CEFoUZoBWNx/
2020-08-18 22:30:23+00:00; marceloadnet0; Designer de prateleira de entrevista @miltocunha e Gil Gomes desvenda o mistério de Biriba; 29884; 1868; ; ; https://www.instagram.com/p/CEDCW8gBoV8/
2020-08-17 23:09:40+00:00; marceloadnet0; Coach e mensagens subliminares da literatura nacional; 29023; 1786; ; ; https://www.instagram.com/p/CEAiBqgBzKh/
2020-08-17 20:53:16+00:00; marceloadnet0; Hoje 22h no Roda Viva; 14408; 752; ; ; https://www.instagram.com/p/CEAShAYhzC7/
2020-08-14 22:48:31+00:00; marceloadnet0; Jair, obra do Romero Britto e Zema no programa de número 90 Link pro programa completo na página inicial; 26865; 3082; ; ; https://www.instagram.com/p/CD4xRrYht12/
2020-08-13 22:34:53+00:00; marceloadnet0; #SintaSeEmCasa programa completo na página inicial; 24948; 1444; ; ; https://www.instagram.com/p/CD2K6DDhptx/
