2020-12-08 19:46:09+00:00; mcbretas; Há juízes e juízas neste País, vocacionados, muitos dos quais comprometidos com a causa da Justiça.; 1656; 109; ; ; https://www.instagram.com/p/CIjItcQDPMA/
2020-12-03 21:23:36+00:00; mcbretas; #tbt  Viver a vida, com a Paz que só Jesus Cristo pode dar.; 4610; 137; ; ; https://www.instagram.com/p/CIWb415DJtZ/
2020-10-12 01:25:52+00:00; mcbretas; Especial visita ao “Templo de Salomão” da IURD em São Paulo, com minha esposa. Nossos agradecimentos, aos Bispos @bpjadsonoficial, @bispoeduardobravo e @renatocardosooficial.; 6445; 303; ; ; https://www.instagram.com/p/CGOZe4vDb2H/
2020-08-22 11:09:54+00:00; mcbretas; None; 7680; 481; ; ; https://www.instagram.com/p/CEMHxw9Dugw/
2020-08-06 23:42:02+00:00; mcbretas; #tbt; 7213; 289; ; ; https://www.instagram.com/p/CDkRImcjj9H/
2020-06-11 12:49:33+00:00; mcbretas; #tbt Seminário na Faculdade de Direito de Columbia, Nova Iorque/EUA, na companhia do Exmo Min do STF Luís Roberto Barroso, do Professor Antônio Carlos do Amaral e da Reitora Berit Berger. Abril de 2019.; 4382; 229; ; ; https://www.instagram.com/p/CBS58n2DZFv/
2020-05-01 23:14:08+00:00; mcbretas; Não me recordo a data, mas certamente foi nos anos 80. Eu na bateria e meu amigo @agoraandredantas no Contra-Baixo, na Assembleia de Deus em Queimados. Bons tempos! Obrigado pela fotografia, @edneanovaes 🙏; 5421; 286; ; ; https://www.instagram.com/p/B_qc1YEjnjf/
2020-04-25 16:46:19+00:00; mcbretas; Do meu perfil no Twitter. Salmos 139; 23-24.; 12492; 1069; ; ; https://www.instagram.com/p/B_aTrq5DOp2/
2020-04-11 03:25:20+00:00; mcbretas; Hoje é o dia do meu caçula. Feliz aniversário meu filho! Parabéns pela pessoa maravilhosa que você é, e que Deus continue te abençoando. Eu te amo!; 8222; 416; ; ; https://www.instagram.com/p/B-0041HDfci/
2020-04-02 21:39:25+00:00; mcbretas; #tbt Saudades dessa experiência incrível! 🇧🇷 🇺🇸 @consuladoeua.rio; 5725; 223; ; ; https://www.instagram.com/p/B-fm8O6Ddr5/
2020-03-06 02:07:02+00:00; mcbretas; #tbt / 2013. Praça das Nações, em frente à Sede da ONU, Genebra, Suíça.; 6531; 149; ; ; https://www.instagram.com/p/B9X_T2ADcmd/
2020-02-28 22:51:39+00:00; mcbretas; Grupo de Louvor da Igreja Cristã Maranata, Petrópolis. Há 10 anos... Saudades!; 5638; 342; ; ; https://www.instagram.com/p/B9IMLnkD8lB/
2020-02-27 14:56:31+00:00; mcbretas; “Quem encontrou um amigo descobriu um tesouro”. Obrigado pelo carinho, querido @pastorpedrao. Que Deus o abençoe ricamente.; 1810; 77; ; ; https://www.instagram.com/p/B9Ewq6aDi59/
2020-02-20 14:07:01+00:00; mcbretas; Feliz aniversário, meu filho! Louvo a Deus pela sua vida. Muito orgulho! Conte sempre comigo. Amo você!; 6627; 277; ; ; https://www.instagram.com/p/B8ypyCDjyve/
2020-01-29 01:37:03+00:00; mcbretas; Visita do Sr Ministro da Justiça e da Segurança Pública.; 9244; 742; ; ; https://www.instagram.com/p/B74qd1qDgL-/ 
