2019-11-19 09:08:50+00:00; mcbretas; Que seja um bom dia! https://t.co/dz2CNvlz27; 9213; 366; 1055; 77; https://twitter.com/mcbretas/status/1196716953353752578; None; None
2019-11-03 21:41:48+00:00; mcbretas; Recebi da Sra. Marie-Pierre Theubet, Presidente do Conselho Municipal de Genebra, o Prêmio Fausto Cattaneo pelo trabalho contra a corrupção. Na sede da ONU, Palais des Nations, Genebra/Suíça, durante o Seminário do Organized Crime Observatory - OCO. https://t.co/0ZTh8jbWxR; 12405; 804; 1809; 154; https://twitter.com/mcbretas/status/1191108239041146880; None; None
2019-10-18 13:52:46+00:00; mcbretas; 7ª Vara Federal Criminal (Níver de Myllena). Minha casa, meus amigos, minha família, companheiros na missão... Amo vocês! https://t.co/p6l6X7SID5; 2944; 94; 180; 7; https://twitter.com/mcbretas/status/1185191998816489476; None; None
2019-10-11 14:13:18+00:00; mcbretas; Diálogo institucional de alto nível com o Cônsul-Geral da Espanha 🇪🇸 no Rio de Janeiro, Sr. Luis Prados Covarrubias. https://t.co/uyckclTnOl; 1440; 34; 141; 0; https://twitter.com/mcbretas/status/1182660450808414208; None; None
2019-09-26 18:37:45+00:00; mcbretas; Diálogo de alto nível com o Cônsul Geral dos EUA no RJ, Sr. Scott Hamilton. @brasileua @brasileuatwitte https://t.co/vjSzYoWiQU; 1395; 39; 122; 6; https://twitter.com/mcbretas/status/1177291183158173696; None; None
2019-09-25 01:54:06+00:00; mcbretas; Diálogo de alto nível com o Presidente do Tribunal Federal Constitucional Alemão, Professor Andreas Vosskuhle e o Cônsul Geral da Alemanha 🇩🇪 no RJ, Klauss Zillikens. @Alemanha_BR https://t.co/drjzpvYjKF; 1686; 25; 124; 3; https://twitter.com/mcbretas/status/1176676217858207744; None; None
2019-08-28 13:01:26+00:00; mcbretas; Viver é uma arte... Quem disse que seria fácil? Desistir não é uma opção. https://t.co/4A0LnnVMe2; 6163; 300; 1140; 64; https://twitter.com/mcbretas/status/1166697297251655680; None; None
2019-08-06 12:20:09+00:00; mcbretas; Aos filhos de Deus, chamados por Ele para realizar a sua obra, uma promessa: “Não temas, eu sou contigo”. Amém. https://t.co/Cn4WPQpmvG; 7723; 392; 987; 67; https://twitter.com/mcbretas/status/1158714374057578496; None; None
2019-07-17 13:01:36+00:00; mcbretas; Viver é lutar. São confrontos, perseguições, injustiças, dificuldades... É triste ver a aparente e momentânea vitória de pessoas más. Mas disso já sabiamos, e por isso Cristo nos mostrou como Ele venceu o mundo. Sigamos com fé. https://t.co/jTA9mbGYKu; 8921; 495; 1684; 117; https://twitter.com/mcbretas/status/1151477050886295553; None; None
2019-07-03 13:36:10+00:00; mcbretas; Ahh o Silêncio... É a melhor resposta aos néscios. https://t.co/1S7INOwD6h; 10073; 367; 1461; 77; https://twitter.com/mcbretas/status/1146412319464939520; None; https://twitter.com/ForbesBR/status/1146342816848596992
2019-06-30 02:16:34+00:00; mcbretas; Alguém tem a resposta? https://t.co/CRo4sNgGbD; 12218; 1270; 1264; 118; https://twitter.com/mcbretas/status/1145154126583648256; None; None
2019-06-27 15:27:12+00:00; mcbretas; A fidelidade de Deus não é pra ser explicada, mas sim vivida. Quem já provou sabe como é bom estar sob a proteção do Senhor. https://t.co/gWGcVSJ2CQ; 8634; 353; 1365; 71; https://twitter.com/mcbretas/status/1144265933797679104; None; None
2019-05-21 21:48:36+00:00; mcbretas; https://t.co/Onv3l0uzJX; 2675; 65; 385; 22; https://twitter.com/mcbretas/status/1130953564954812417; None; None
2019-04-11 10:32:47+00:00; mcbretas; Agradeço a calorosa acolhida dos bravos representantes do Ministério Público do Brasil. https://t.co/pmL3lqAqQ1; 1311; 15; 93; 6; https://twitter.com/mcbretas/status/1116287973027397632; None; None
2019-04-05 14:08:13+00:00; mcbretas; Respeito é fruto de reconhecimento de uma vida digna, não se impõe ... se conquista.; 15070; 930; 2054; 152; https://twitter.com/mcbretas/status/1114167862682378241; None; None
2019-03-19 01:01:59+00:00; mcbretas; “A soberba precede a ruína, e a altivez do espírito precede a queda.”(Provérbios 16:18) https://t.co/Wd3pI24lra; 3380; 129; 609; 40; https://twitter.com/mcbretas/status/1107809405922394112; None; None 
