2020-12-09 21:50:19+00:00; MarcosBotelho; O que é o pessoal da cloroquina reclamando que as vacinas ainda não tem eficácia comprovadas?; 9; 21; 191; 0; https://twitter.com/MarcosBotelho/status/1336790305669050369; None; None
2020-12-09 20:52:32+00:00; MarcosBotelho; @carlosapmarques Sempre penso nisso; 0; 0; 3; 0; https://twitter.com/MarcosBotelho/status/1336775761089454083; None; None
2020-12-09 20:35:48+00:00; MarcosBotelho; Simplesmente amo John Stott, junta profundidade com uma forma didática incrível! https://t.co/c0fGsTRURE; 1; 4; 56; 0; https://twitter.com/MarcosBotelho/status/1336771550217969665; None; None
2020-12-07 17:53:27+00:00; MarcosBotelho; Acabou de publicar uma foto https://t.co/ZMY4fHWrZm; 0; 0; 2; 0; https://twitter.com/MarcosBotelho/status/1336005918476136457; None; None
2020-12-04 23:07:07+00:00; MarcosBotelho; E o STF rasgando a constituição?!?!; 1; 2; 55; 0; https://twitter.com/MarcosBotelho/status/1334997693467398145; None; None
2020-12-04 17:39:53+00:00; MarcosBotelho; Não é só uma reportagem incrível, mas uma aula de como é tratado no Brasil com descaso denúncias de assédio   https://t.co/0xBdvE5Fct; 3; 4; 58; 1; https://twitter.com/MarcosBotelho/status/1334915341483438082; None; None
2020-12-04 17:00:43+00:00; MarcosBotelho; @guilhermevrc Hahahahahha muito boa; 0; 0; 3; 0; https://twitter.com/MarcosBotelho/status/1334905484596441089; None; None
2020-12-04 16:27:52+00:00; MarcosBotelho; O @guilhermevrc fiz uma pequena brincadeira com vc no desse video!😂😂😂 https://t.co/Ewcfmjp5WG; 1; 0; 7; 0; https://twitter.com/MarcosBotelho/status/1334897217342201858; None; None
2020-12-04 01:11:29+00:00; MarcosBotelho; Ligaram os robôs do ódio contra mim de novo, dois prints de mídias diferentes e perfis diferentes, mas que nem para mudar o texto fizeram. A lista de detratores continua funcionando para o gabinete do ódio. https://t.co/HLhFcd3MMl; 22; 10; 275; 5; https://twitter.com/MarcosBotelho/status/1334666601510133760; None; None
2020-12-03 23:47:13+00:00; MarcosBotelho; @rennerboldrino @rafaelofaria Jamais!!!; 2; 0; 6; 0; https://twitter.com/MarcosBotelho/status/1334645395264245760; None; None
2020-12-03 21:13:58+00:00; MarcosBotelho; Prazer bater em papo com vc Matheus https://t.co/W1Vz2GBVPi; 3; 1; 32; 0; https://twitter.com/MarcosBotelho/status/1334606828320280579; None; https://twitter.com/Mleitaonetto/status/1334543810240638979
2020-12-03 20:30:42+00:00; MarcosBotelho; Uma foto bem coxinha pra ninguém me chamar de mortadela!  https://t.co/GngfasQQAq https://t.co/XJR3aS84NM; 24; 19; 646; 11; https://twitter.com/MarcosBotelho/status/1334595938665582594; None; None
2020-12-03 04:12:31+00:00; MarcosBotelho; Que vídeo! Que época! não mostrem para esse governo se não vão voltar com cigarro em aviao e não precisar de cinto de segurança https://t.co/LH7m2kGCZC; 2; 2; 48; 2; https://twitter.com/MarcosBotelho/status/1334349773898452992; None; https://twitter.com/esquerdaPaixao/status/1334007482767863813
2020-12-03 04:07:59+00:00; MarcosBotelho; @marcelobc87 Parabéns mano, vc é brilhante; 0; 0; 1; 0; https://twitter.com/MarcosBotelho/status/1334348633769193472; None; None
