2020-12-09 21:58:37+00:00; marcosmion; Quem se identifica?! 😂; 35334; 2181; ; ; https://www.instagram.com/p/CIl8pnHBRDy/
2020-12-09 02:13:57+00:00; marcosmion; Tem elementos novos no Museuzinho da Fazendola! Quem aí identifica?! Até agora são 6 (e 1 bônus).; 85115; 2921; ; ; https://www.instagram.com/p/CIj1Ft5hlvs/
2020-12-08 21:51:55+00:00; marcosmion; O famoso Strikelete! 🥚 🍳; 109112; 1227; ; ; https://www.instagram.com/p/CIjXFJMhp1x/
2020-12-06 22:38:08+00:00; marcosmion; Espera até o final pra ver o Moonwalk mais fofo de todos os tempos!🥰 . Toda vez que estou treinando, Romeo vem. Eu gosto de acreditar que é saudade do papai😜, mas acho que o que mais lhe atrai é a música alta que coloco! Não sei vocês, mas eu poderia ficar horas só assistindo aos seus passos!😍 . E lá ficamos dançando por um bom tempo. A música nos une, nos transporta pra outra frequência e a dança nos da um elo, uma comunicação que é pura diversão. Sempre foi assim entre nós. .  Muitas vezes os pais de crianças especiais tem que descobrir uma forma de comunicação com seus filhos. Onde as palavras sejam dispensáveis e a ligação ganhe outro tipo de força. . E um obrigado eterno ao @michaeljackson por tantos e tantos e tantos momentos especiais que suas músicas já proporcionaram na minha família!🤍🙏🏼 . #FamilyFirst #Autism💙; 280145; 9209; ; ; https://www.instagram.com/p/CIeR8qDHW9C/
2020-12-06 16:29:21+00:00; marcosmion; Uma semana na Fazenda equivale a 18 dias e eu posso provar... Pega um ar e dá o play no resumola da semanola!; 12355; 4901; ; ; https://www.instagram.com/p/CIdoeYhhohY/
2020-12-05 17:09:01+00:00; marcosmion; . Pedro, Aquele Que Já Esteve Aqui Antes De Nós, Bial ( @pedrobial ) é uma inspiração e enorme responsável pelo respeito que o gênero reality show ganhou ao longo do tempo. . Outro dia fui surpreendido por um elogio público vindo dele e não pude deixar de passar por cima de qualquer barreira que existe entre emissoras concorrentes para prestar essa homenagem! Obrigado @pedrobial ❤️; 105246; 3847; ; ; https://www.instagram.com/p/CIbIPTthF4j/
2020-12-04 03:59:04+00:00; marcosmion; . O que vc achou?; 123765; 7046; ; ; https://www.instagram.com/p/CIXI-cpnshI/
2020-12-02 22:24:32+00:00; marcosmion; Quem você quer que eu cite na próxima quinta?! ⬇️; 9967; 762; ; ; https://www.instagram.com/p/CIT99PShXDo/
2020-12-02 04:03:25+00:00; marcosmion; E o Selfola já trouxe até a sogra pra dentro de casa!❤️😳@lucasmaciel @raissabarbosaoficial; 208805; 4959; ; ; https://www.instagram.com/p/CIR_0MSs8Ee/
2020-12-02 00:25:40+00:00; marcosmion; E aí?! Quem vai?! Comentem com os números! 1:X / 2:X / 3:X / 4:X; 39715; 1789; ; ; https://www.instagram.com/p/CIRnIglhzL8/
2020-12-01 22:13:05+00:00; marcosmion; Na velocidade 2 porque não temos tempo a perder! . E aí... qual resposta te surpreendeu mais?; 5962; 159; ; ; https://www.instagram.com/p/CIRXfbYhZnD/
2020-11-30 21:30:58+00:00; marcosmion; Depois de vários comentários sobre a tv que uso como fundo nos vídeos que faço, falei com meus amigos da @samsungbrasil pra fazer um vídeo oficial mostrando pra vcs a tal da tv! . . O nome do modelo é QLED e, falo sem nenhuma falsidade, é a tv mais CABULOSA que já tive! . Espera até a hora que mostro o que o “ambient mode” faz!!! .  É tanta informação que, além do que falei no vídeo, vale dividir  aqui também: - Pontos quânticos para 100% do volume de cor (que significa cores mais vivas e brilhantes por mais tempo) - Processador Quantum 4K que com inteligência artificial aprimora o conteúdo automaticamente para 4K independente da fonte. (Isso significa que ela mesma deixa a imagem ainda mais incrível!) - 10 anos de garantia contra o burn in - 10 anos é tempo, hein?! - Visual livre de cabos - (pra alegria da Dona Suzana)  - Comando de voz  - Controle remoto Único - Tap view - modo ambiente  - casa inteligente (smarthings - controle sua casa pela TV) . Acho que já dá pra substituir o velho chroma key por ela. Hahaha! De longe um dos melhores upgrades que já dei no entretenimento da família! . #SamsungQLED #ad; 146196; 5029; ; ; https://www.instagram.com/p/CIOuNJ5By-Z/
2020-11-30 15:30:45+00:00; marcosmion; Quando você treta com as amigas mas não perde o estilo! 🎒(Sim! É a mochilinha original!); 172498; 11617; ; ; https://www.instagram.com/p/CIOFGtzBCXo/
2020-11-29 15:10:05+00:00; marcosmion; Esse diálogo prova que é possível tretar elogiando!; 114657; 7451; ; ; https://www.instagram.com/p/CILd8EHhjJp/
2020-11-28 15:11:11+00:00; marcosmion; Perdeu alguma coisa da Fazendola nessa semana ?! Então corre aqui!; 12897; 685; ; ; https://www.instagram.com/p/CII5LrJhbqx/
2020-11-27 04:06:50+00:00; marcosmion; . O que vc achou dessa roça? Gostou que ela saiu ou não?; 130439; 18151; ; ; https://www.instagram.com/p/CIFIVQIHE7A/
2020-11-26 21:34:15+00:00; marcosmion; EXPECTATIVA X REALIDADE . Quem é você nos vídeos de troca de roupa? 😂 . Todas as roupas do vídeo são da @BAW_Official! Quem me conhece sabe que já virou uniforme por aqui! A qualidade e as collabs das peças são incríveis. E se liga… Tá valendo a  Black Friday na BAW!  Site todo com até 80%OFF! No mínimo 50%!! E com frete grátis em todos os pedidos! EEEITA, segura! . Marca aqui quem precisa saber dessa novidade e também quem precisa melhorar os vídeos de troca de roupa! Hahahaha; 11319; 1208; ; ; https://www.instagram.com/p/CIEbeWxhrDc/
2020-11-26 17:10:31+00:00; marcosmion; Há, há, há, há... eliminight, eliminight!🎙 Marque aqui o @ que tb já incorporou eliminight no vocabulário!😂 . É hoje! Ao vivo! Quem vcs acham que sai?!; 61735; 5439; ; ; https://www.instagram.com/p/CID9ViKB7iF/
2020-11-25 22:50:18+00:00; marcosmion; Para entendermos melhor o que um refugiado vive na pele, eu converso com um venezuelano de 25 anos que fugiu aqui para o Brasil a procura de segurança, mas que acabou descobrindo as dificuldades que é buscar abrigo em um outro país. Uma história única, mas que nos dá um retrato da situação dos 79,5 milhões de refugiados no mundo todo.  Hoje, as minhas 3 perguntas são pra esse cara que passou passou pelas mais difíceis situações, conheceu o fundo do poço e que conseguiu vencer com a ajuda da ACNUR, a Agência da ONU para Refugiados.  . #ACNUR #ComOsRefugiados @acnurbrasil  . A íntegra da entrevista está no meu canal: YouTube.com/marcosmion; 8324; 231; ; ; https://www.instagram.com/p/CIB-2sDBdcM/
2020-11-25 00:27:53+00:00; marcosmion; E aí... quero ver os comentários de vocês 1:x 2:x 3:x 4:x . Algo me diz que teremos fogo no feno! 🔥🌾; 30497; 2693; ; ; https://www.instagram.com/p/CH_l0oOBOaj/
2020-11-23 21:50:55+00:00; marcosmion; ; 20849; 489; ; ; https://www.instagram.com/p/CH8u5a4BTO1/
