2020-12-10 06:33:10+00:00; marcosmion; @HFilippo Hahahahaha! Love you!; 74; 10; 0; 0; https://twitter.com/marcosmion/status/1336921882638094336; None; None
2020-12-10 06:31:41+00:00; marcosmion; 🙂🙌🏼 Só quem entende de tv pra pensar por este lado. O lado do apresentador! Obrigado Rick! https://t.co/9sqYJrE9KF; 5135; 776; 74; 48; https://twitter.com/marcosmion/status/1336921509512810496; None; https://twitter.com/RickSouza/status/1336916739637063680
2020-12-10 05:50:54+00:00; marcosmion; Estamos ao vivo agora no @SigaPlayPlus https://t.co/fmAnH2XAVi; 1421; 817; 44; 34; https://twitter.com/marcosmion/status/1336911247246323714; None; https://twitter.com/SigaPlayPlus/status/1336910502681841664
2020-12-10 02:34:57+00:00; marcosmion; Agora a chave da cidade vem! 🗝 #ProvaDoFazendeiro #AFazenda12 https://t.co/uWLhElNa2C; 370; 46; 5; 1; https://twitter.com/marcosmion/status/1336861935581716484; None; https://twitter.com/GeruseLuz/status/1336861197157756931
2020-12-10 02:28:32+00:00; marcosmion; 😆 #ProvaDoFazendeiro #AFazenda12 https://t.co/e6OcndVBSs; 270; 29; 6; 3; https://twitter.com/marcosmion/status/1336860320913100801; None; https://twitter.com/BelTataGomes/status/1336859489711042564
2020-12-10 02:26:28+00:00; marcosmion; Tudo verdade! Longe de mim distorcer a história de Itapecerica, ó Itapecerica... #ProvaDoFazendeiro #AFazenda12 https://t.co/lZv83l5ylV; 384; 29; 5; 1; https://twitter.com/marcosmion/status/1336859799124914179; None; https://twitter.com/perdidinhah0/status/1336859472124325888
2020-12-10 02:22:33+00:00; marcosmion; Guilhermera tá esperto! 👊🏼 Mas ainda tem mais coisa...  #ProvaDoFazendeiro #AFazenda12 https://t.co/LA4Y60FbIY; 364; 73; 3; 5; https://twitter.com/marcosmion/status/1336858813937414145; None; https://twitter.com/GuihSilvaano/status/1336857675259408385
2020-12-10 02:08:37+00:00; marcosmion; Viu mais do que certo! 😂 Quem aí já encontrou os outros objetos?? Me dá ibagens... #ProvaDoFazendeiro #AFazenda12 https://t.co/Rnonu2msRf; 408; 57; 4; 4; https://twitter.com/marcosmion/status/1336855309030219783; None; https://twitter.com/Flopscomenta/status/1336854749707194368
2020-12-10 01:51:55+00:00; marcosmion; Cabei de postar https://t.co/N4Mcq1DeqK; 279; 28; 1; 2; https://twitter.com/marcosmion/status/1336851103925874689; None; https://twitter.com/DnvGuima/status/1336851008312446983
2020-12-10 01:51:35+00:00; marcosmion; É o Fall Guys Rural?! #ProvaDoFazendeiro https://t.co/38pY7Sq3Il; 1026; 159; 44; 145; https://twitter.com/marcosmion/status/1336851020052385792; None; None
2020-12-10 01:45:21+00:00; marcosmion; Preparados pra última Prova do Fazendeiro da temporada? Marquem o @ do Peão que vc vai torcer muito nessa noite! @euliperibeiro, @jojotodynhoofc ou @astefanibays ??#ProvaDoFazendeiro #AFazenda12; 2778; 1157; 35; 52; https://twitter.com/marcosmion/status/1336849451097448450; None; None
2020-12-09 20:34:17+00:00; marcosmion; O nome do jogo é exaustão!! Com a extensão da temporada estamos vendo uma situação inédita no reality, os peões estão no limite ... de tudo! Por isso de ontem até o fim da temporada eu entro ao vivo todos os dias com novas dinâmicas. Ah, e a volta dos eliminados! https://t.co/37loDawIo3; 6337; 512; 181; 140; https://twitter.com/marcosmion/status/1336771169513594887; None; None
2020-12-09 03:39:41+00:00; marcosmion; 👊🏼👊🏼👊🏼 https://t.co/BSgjnydTcL; 706; 78; 6; 6; https://twitter.com/marcosmion/status/1336515836090212352; None; https://twitter.com/RickSouza/status/1336515271314583555
