2020-12-09 23:32:33+00:00; Mathector; @caiodalfonso Olhei por cima e fiquei chateado demais...; 0; 0; 0; 0; https://twitter.com/Mathector/status/1336816029859606528; None; None
2020-12-09 19:47:45+00:00; Mathector; @pinicius_ @melaogustavo Provavelmente prédio com poucos apartamentos e/ou com calote de alguns moradores...; 0; 0; 1; 0; https://twitter.com/Mathector/status/1336759458924552194; None; None
2020-12-09 16:22:09+00:00; Mathector; @SoninhaFrancine É tanta sensatez que até quero te dar um abraço!; 0; 0; 53; 0; https://twitter.com/Mathector/status/1336707719642968070; None; None
2020-12-08 18:08:11+00:00; Mathector; @scguterman The Last of Us II é o melhor jogo da década; 2; 0; 6; 0; https://twitter.com/Mathector/status/1336372014710468609; None; None
2020-12-07 23:07:02+00:00; Mathector; @mateus_com_aga Amei!; 1; 0; 3; 0; https://twitter.com/Mathector/status/1336084833320251393; None; None
2020-12-06 15:02:40+00:00; Mathector; Início do sonho / Deu tudo errado https://t.co/wQxGkfxLP8; 88; 772; 6530; 165; https://twitter.com/Mathector/status/1335600552961568770; None; None
2020-12-05 02:17:02+00:00; Mathector; @puttialexandre Pinterest; 0; 0; 1; 0; https://twitter.com/Mathector/status/1335045486928125954; None; None
2020-12-04 21:59:12+00:00; Mathector; @Olhar_Olimpico @PedrosaMatheusH E mesmo assim tem interesse na concessão?; 0; 0; 1; 0; https://twitter.com/Mathector/status/1334980599409500160; None; None
2020-12-04 21:57:24+00:00; Mathector; @Olhar_Olimpico @JoelPinheiro85 https://t.co/hDTpXkF8Ty; 1; 1; 15; 0; https://twitter.com/Mathector/status/1334980148509208576; None; None
2020-12-04 21:55:58+00:00; Mathector; @Olhar_Olimpico @JoelPinheiro85 Assembleia Legislativa com um estacionamento gigante e inútil.  Batalhão do exército, Clube Militar é o Ginásio.  Andar pela região é horrível, falta vida, falta gente e atratividade.  A região é pouco densa, avessa ao transporte público e muito hostil.  Um desperdício...; 1; 0; 15; 0; https://twitter.com/Mathector/status/1334979785978679298; None; None
2020-12-04 21:54:03+00:00; Mathector; @Olhar_Olimpico @JoelPinheiro85 Todo desenvolvimento do entorno do Parque Ibirapuera é escroto.  Zoneamento ultrarestritivo na parte de baixo.  A 23 de Maio e outras avenidas que dilaceraram na parte de cima.; 1; 0; 14; 0; https://twitter.com/Mathector/status/1334979305676414983; None; None
2020-12-04 21:52:44+00:00; Mathector; @Olhar_Olimpico @JoelPinheiro85 Sobre a qualidade do projeto, não sei dizer @Olhar_Olimpico.   Não vi o projeto, como está a escala - se continuará aberto ou vai rolar um murão escroto.  O conceito não acho errado, mas o diabo mora nos detalhes.; 4; 0; 13; 0; https://twitter.com/Mathector/status/1334978972254343168; None; None
2020-12-04 21:40:35+00:00; Mathector; @PedrosaMatheusH O projeto prevê um ginásio duas vezes maior...; 3; 0; 12; 0; https://twitter.com/Mathector/status/1334975916175466500; None; None
2020-12-04 21:32:19+00:00; Mathector; Nenhum questionamento sobre a qualidade do projeto.  Nenhum questionamento sobre o deserto atual da região.  O questionamento? O quanto a empresa lucrará com o projeto!  Nosso subdesenvolvimento tem um passado glorioso e um futuro promissor...  https://t.co/tI9r3f7cSp; 28; 24; 422; 3; https://twitter.com/Mathector/status/1334973833237893125; None; None
2020-12-03 16:48:13+00:00; Mathector; @RobertoElleryJr Nacional-negacionismo...; 0; 0; 18; 1; https://twitter.com/Mathector/status/1334539950344253443; None; None
2020-12-02 22:43:32+00:00; Mathector; @murilosouzacrf @96Henrique @eduardopaes_ @washfajardo no Urbanismo   @caleromarcelo na Integridade Pública  @danielsoranz na saúde   @pedropaulo defendendo de teto de gastos municipais  @ClaudiaCostin cotada pra Educação; 2; 0; 23; 1; https://twitter.com/Mathector/status/1334266980258492420; None; None
2020-12-02 22:39:26+00:00; Mathector; As boas notícias não param por aí para os cariocas.  Agora @eduardopaes_ chama Maína para os transportes  Doutora em Economia pela PUC com tese sobre o impacto das obras das olimpíadas  Estava para vir para o @Insper - perdemos aqui - mas o RJ vai ganhar   https://t.co/tcdilcjAXt; 2; 0; 62; 0; https://twitter.com/Mathector/status/1334265948094738432; None; None
2020-12-02 22:36:56+00:00; Mathector; @96Henrique Li a tese de doutorado dela, muito boa!  Estou impressionado com a equipe do @eduardopaes_; 4; 0; 91; 0; https://twitter.com/Mathector/status/1334265320136192001; None; None
2020-12-02 20:32:28+00:00; Mathector; @coelho_anti @washfajardo Devo ser o mais liberal deste metiê e sinceramente precisamos sim...; 1; 0; 3; 0; https://twitter.com/Mathector/status/1334233996407005186; None; None
2020-12-02 20:29:30+00:00; Mathector; Excelente notícia para o Rio de Janeiro!  @washfajardo é um craque do urbanismo, acaba de voltar de Harvard e com certeza fará um ótimo trabalho. https://t.co/kjDj2PADgx; 5; 7; 237; 1; https://twitter.com/Mathector/status/1334233251448299521; None; None
2020-12-02 15:29:01+00:00; Mathector; @eduardorodrigo Excelente posicionamento Eduardo!  O @partidonovo30 seguirá a mesma linha ou é um posicionamento pessoal?; 2; 2; 59; 0; https://twitter.com/Mathector/status/1334157631494164482; None; None
2020-12-02 01:33:01+00:00; Mathector; @wradaic @t6aguirre Gênio; 0; 0; 6; 0; https://twitter.com/Mathector/status/1333947243552968704; None; None
2020-12-02 00:38:23+00:00; Mathector; @FZanini @mattoso_camila @folha @mari_carneiro @guilherme_seto Faça sim...; 0; 0; 1; 0; https://twitter.com/Mathector/status/1333933496419704832; None; None
2020-12-02 00:11:29+00:00; Mathector; @MarcosBotelho Parabéns 👏🏻👏🏻👏🏻; 0; 0; 9; 0; https://twitter.com/Mathector/status/1333926725655388166; None; None
2020-12-01 23:20:35+00:00; Mathector; @murillopereira Perfeito!; 0; 0; 0; 0; https://twitter.com/Mathector/status/1333913916322312192; None; None
2020-12-01 22:24:41+00:00; Mathector; @fe_tulio Acho o projeto louvável e de muito bom gosto!  Porém, pouco ousado em trazer mais atividades e por consequência atrair mais pessoas para região.; 1; 0; 4; 0; https://twitter.com/Mathector/status/1333899848794386433; None; None
2020-12-01 22:13:29+00:00; Mathector; O entorno do Parque e do Ginásio estão mortos!  O custo de manutenção é de R$15 milhões.  Será construído habitações, hotéis e outra arena para 20 mil pessoas.  Mas Boulos e a “preservação do patrimônio” são contra.  Muita ideóloga e pouco amor por SP... https://t.co/L2GSq84ibQ; 4; 15; 209; 3; https://twitter.com/Mathector/status/1333897029894942721; None; https://twitter.com/GuilhermeBoulos/status/1333859500131020801
2020-12-01 22:09:10+00:00; Mathector; @murillopereira To falando da região mais próxima mesmo, só andar nos arredores da ALESP para sentir o desconforto...  https://t.co/hDTpXkF8Ty; 1; 0; 0; 0; https://twitter.com/Mathector/status/1333895946162360323; None; None
2020-12-01 22:04:45+00:00; Mathector; @rubensvalente @veramagalhaes @P_droMenezes O erro era na reportagem ou na lista?; 0; 0; 1; 0; https://twitter.com/Mathector/status/1333894832847261699; None; None
2020-12-01 21:35:03+00:00; Mathector; @allan_katow @FabioTalhari @LILIANEVENTURA @marianabritosl @ProfBunazar @silviogrimaldo @FMouraBrasil @pedromeneses @P_droMenezes @JoelPinheiro85 @tomeabduchcombr @FilipeAltamir Também não, bato no governo quase todo dia 😅😅😅; 0; 0; 1; 0; https://twitter.com/Mathector/status/1333887359998431233; None; None
2020-12-01 21:16:18+00:00; Mathector; @allan_katow @FabioTalhari @LILIANEVENTURA @marianabritosl @ProfBunazar @silviogrimaldo @FMouraBrasil @pedromeneses @P_droMenezes @JoelPinheiro85 @tomeabduchcombr @FilipeAltamir Eu to na de detrator também, vai entender...; 1; 0; 1; 0; https://twitter.com/Mathector/status/1333882640655642632; None; None
2020-12-01 20:48:05+00:00; Mathector; @guiicaetano @gugachacra @veramagalhaes @cynaramenezes @silviolual @RachelSherazade @flaviovmcosta @pirescarol @felipeneto @xicosa Tamo Junto!; 0; 0; 5; 0; https://twitter.com/Mathector/status/1333875541078904833; None; None
2020-12-01 20:26:42+00:00; Mathector; Também me colocaram na lista de favoráveis!  É muita incompetência para um governo só...; 2; 3; 131; 0; https://twitter.com/Mathector/status/1333870158671179778; None; None
2020-12-01 20:25:26+00:00; Mathector; @veramagalhaes @P_droMenezes Acabei de ver, fiquei impressionado com a incompetência de me colocarem nos favoráveis! 😅😅😅; 0; 0; 23; 0; https://twitter.com/Mathector/status/1333869839954403331; None; None
