[2020-12-06 16:01:48+00:00; profbunazar; Grande honra fazer parte dessa obra!!!; https://www.instagram.com/p/CIdlcjrDZdA/; 48; 0]
[2020-11-27 15:54:05+00:00; profbunazar; Últimas turmas do ano. Graças a Deus, nossos cursos têm sido muito procurados e, o mais importante, muito bem avaliados pelos nossos alunos. A pedidos, abrimos mais essas duas turmas. As informações estão na minha bio. Começamos na segunda, agora. Corre que ainda dá tempo!!; https://www.instagram.com/p/CIGZaE9jRV7/; 146; 14]
[2020-11-26 02:29:26+00:00; profbunazar; None; https://www.instagram.com/p/CICYhzIjBcq/; 581; 20]
[2020-11-22 22:11:28+00:00; profbunazar; Dia de pedir perdão e dar graças. Ótima semana a todos. Paz e bem.; https://www.instagram.com/p/CH6MnvjjF7k/; 649; 23]
[2020-11-22 15:15:13+00:00; profbunazar; A depender do ângulo, até São Paulo tem seus encantos....; https://www.instagram.com/p/CH5c_EtD2cb/; 317; 7]
[2020-11-18 20:31:44+00:00; profbunazar; None; https://www.instagram.com/p/CHvuAD7Doj0/; 539; 19]
[2020-11-15 01:30:37+00:00; profbunazar; Sejamos instrumentos do Bom e do Justo. Paz e Bem; https://www.instagram.com/p/CHl9DbtDrer/; 346; 11]
[2020-11-10 20:08:11+00:00; profbunazar; Uma honra estar ao lado desses brilhantes professores, membros diretores do nosso @ibdcont. Faremos um belo curso, certo @angelicaluciacarlini , @flavio.tartuce e @jfsimao ?  #direitoprivado #liberdadeeconomica #aasp#; https://www.instagram.com/p/CHbE-XuDOIZ/; 130; 2]
[2020-11-08 20:31:57+00:00; profbunazar; Pessoal, vamos ajudar o Amapá!; https://www.instagram.com/p/CHV-GpEjNTx/; 108; 2]
[2020-11-07 18:30:13+00:00; profbunazar; São Miguel Arcanjo, defendei-nos no combate. Paz e bem; https://www.instagram.com/p/CHTLYNCj54O/; 340; 21]
[2020-11-07 14:16:59+00:00; profbunazar; Quero um refúgio que seja seguro; uma nuvem branca sem pó nem fumaça...; https://www.instagram.com/p/CHSuZeHj8kx/; 497; 26]
[2020-11-02 15:50:17+00:00; profbunazar; Rezemos, hoje, de modo muito especial por todos os mortos. Senhor, dai-lhes a luz que não se apaga. Amém.; https://www.instagram.com/p/CHGBGYgDaIq/; 1034; 23]
[2020-11-01 20:15:23+00:00; profbunazar; ⚠️OAB 2ª FASE - 06.12.20  🆘E agora??   💡Estaremos juntos, mais uma vez. Agora em um curso voltado para os ajustes finais para realização da tua prova.  🎉Animem-se, a prova já está chegando!  🚨Para celebrar o nosso curso que se inicia na próxima terça-feira, vamos fazer uma LIVE amanhã, dia 02.11.20, às 19h, com os professores @betorosio @bunazar @leandrocleao @paulopicelli  Vamos conversar sobre:  ✔️O que esperar da prova;  ✔️O que vamos ver no curso;  ✔️Material exclusivo para os alunos: jurisprudência pacificada; exercícios e marcação estratégica das súmulas;  ✔️Principais peças e estruturas.  🎁Para quem for participar da LIVE, forneceremos gratuitamente, 3 arquivos contendo jurisprudência pacificada do STJ e STF que podem ser cobradas na tua prova!  📲LIVE 2ª Fase OAB Civil no @betorosio  📆02.11.20  ⏰19h  🤓Nos encontramos amanhã. Estejam preparados...; https://www.instagram.com/p/CHD6pMZDorh/; 150; 7]
[2020-10-29 17:33:01+00:00; profbunazar; Novas aquisições!!!! :); https://www.instagram.com/p/CG75rZAj2-R/; 470; 15]
[2020-10-25 23:03:32+00:00; profbunazar; Pessoal, nossa primeira turma se esgotou em algumas horas e, então, decidimos lançar uma segunda turma. Link na minha bio. Obrigado pela confiança de vocês!!!; https://www.instagram.com/p/CGyMUoBDS2U/; 174; 5]
[2020-10-23 17:04:23+00:00; profbunazar; Rezemos Pelo Santo Padre e pela Santa Igreja Católica. Paz e bem. Ótimo final de semana a todos.; https://www.instagram.com/p/CGsZoXqDdHa/; 419; 11]
[2020-10-19 20:23:45+00:00; profbunazar; Que gentileza!! É uma honra ser professor do Ibmec-SP. @ldeibmec; @atleticaibmecsp; @ibmec; https://www.instagram.com/p/CGidRGDjej9/; 334; 19]
[2020-10-19 16:49:40+00:00; profbunazar; Hoje começaremos mais um curso. Temos apenas mais três vagas. Quero agradecer a confiança dos nossos alunos e alunas que, praticamente, esgotaram as vagas nos primeiros dias da divulgação. Muito obrigado!!! #direitoprivado #direitocivil #invalidades #revistadostribunais #simaoebunazarcursoseeventos; https://www.instagram.com/p/CGiExBzjAy9/; 140; 6]
[2020-10-18 22:33:34+00:00; profbunazar; Uma santa semana para todos nós. Santa Catarina de Alexandria, rogai por nós.; https://www.instagram.com/p/CGgHU-vjsI6/; 553; 25]
[2020-10-17 15:59:22+00:00; profbunazar; O velho Pontes não decepciona nunca. O maior jurista do Brasil é um dos maiores do mundo. #direitoprivado #direitocivil #pareceres #simaoebunazarcursoseeventos #simaoebunazarcursoseeventos; https://www.instagram.com/p/CGc1a8uD27I/; 717; 18]
[2020-10-15 20:23:24+00:00; profbunazar; None; https://www.instagram.com/p/CGYKAbKDsPg/; 486; 34]
[2020-10-11 22:01:36+00:00; profbunazar; Capela de Santa Catarina. Semana abençoada a todos. Paz e bem.; https://www.instagram.com/p/CGOCGxvjltV/; 528; 12]
[2020-10-08 14:39:07+00:00; profbunazar; Pessoal, quero convidá-los para mais um curso organizado por mim e pelo @jfsimao. Neste curso, tratarei do tema das invalidades em juízo, abordando importantes aspectos práticos das ações e das defesas em matéria de invalidade. O tema das invalidades foi tratado por mim em minha tese de doutorado em Direito Civil na Faculdade de Direito do Largo de São Francisco-USP. As informações sobre o curso estão no link na minha bio e, também, no site www.professorsimao.com.br. Espero vocês. #direitoprivado #direitocivil #negociojuridico #bunazar #simaoebunazar #simaoebunazarcursoseeventos #simãoebunazaradvogados #revistadostribunais; https://www.instagram.com/p/CGFhFR6D6ax/; 208; 7]
