[2019-12-03 22:13:02+00:00; ProfBunazar; @jeffs_araujo35 A você também, querido amigo; https://twitter.com/ProfBunazar/status/1201987733327138822; None; None]
[2019-12-03 22:10:08+00:00; ProfBunazar; Pessoal, darei um tempo disso aqui. Voltarei depois do dia 1º. Ainda que prematuramente, desejo a todos um Feliz Natal. Que nosso Senhor Jesus Cristo os abençoe sempre.; https://twitter.com/ProfBunazar/status/1201987006542352385; None; None]
[2019-12-03 20:27:36+00:00; ProfBunazar; @AnaPaulaVolei Que susto!!!! Hahahah; https://twitter.com/ProfBunazar/status/1201961200269058048; None; None]
[2019-12-03 16:46:43+00:00; ProfBunazar; @jeffs_araujo35 Consegue o link?; https://twitter.com/ProfBunazar/status/1201905614236082176; None; None]
[2019-12-02 18:02:46+00:00; ProfBunazar; @mp__machado Definição perfeita; https://twitter.com/ProfBunazar/status/1201562364870627328; None; None]
[2019-12-02 16:31:42+00:00; ProfBunazar; @RomrioMaia4 E faço a tapeçaria também; https://twitter.com/ProfBunazar/status/1201539447872995330; None; None]
[2019-12-02 14:50:16+00:00; ProfBunazar; Eu havia combinado com um amigo de ir. Já mudei de ideia. Querem esconder piadas que não foram escondidas na época da ditadura!! É muito mi mi mi para minha cabeça https://t.co/CH7gBNyCMj; https://twitter.com/ProfBunazar/status/1201513921175265280; None; https://twitter.com/lapena/status/1201513152099356672]
[2019-12-02 14:46:19+00:00; ProfBunazar; @natalinapi Oferta e demanda. É algo que se chama mercado.; https://twitter.com/ProfBunazar/status/1201512927418822656; None; None]
[2019-12-02 14:34:21+00:00; ProfBunazar; @natalinapi A culpa do preço da carne é do Bolsonaro? Acorda; https://twitter.com/ProfBunazar/status/1201509913698144262; None; None]
[2019-12-02 10:38:11+00:00; ProfBunazar; @Claudio_PPotter Onde?; https://twitter.com/ProfBunazar/status/1201450483132620800; None; None]
[2019-12-02 00:54:04+00:00; ProfBunazar; O irlandês: nota 6,5; https://twitter.com/ProfBunazar/status/1201303484869545991; None; None]
[2019-12-01 23:23:32+00:00; ProfBunazar; @sankel_lima Tudo mentira.; https://twitter.com/ProfBunazar/status/1201280700101615616; None; None]
[2019-12-01 18:07:33+00:00; ProfBunazar; O Brasileiro sempre comeu picanha no Natal. Aliás, no mundo inteiro a tradição de Natal é picanha e costela. Só esse ano, preferirão Perú.  A Folha perdeu completamente a mão.... https://t.co/ttPPk1IyFV; https://twitter.com/ProfBunazar/status/1201201179461591042; None; https://twitter.com/folha/status/1201196763631300609]
[2019-12-01 13:15:41+00:00; ProfBunazar; @madeiradez @Fa74Soares @ProfMedina Eu terminarei hoje. Só parei porque fui obrigado pela minha mulher; https://twitter.com/ProfBunazar/status/1201127729493684225; None; None]
[2019-12-01 01:50:37+00:00; ProfBunazar; @irg_foto Desencana. Sou só mais um esquerdista isentão; https://twitter.com/ProfBunazar/status/1200955326494851072; None; None]
[2019-11-30 23:06:50+00:00; ProfBunazar; @flbsouza Vou começar; https://twitter.com/ProfBunazar/status/1200914112571686912; None; None]
[2019-11-30 20:14:28+00:00; ProfBunazar; @ProfMedina Vou começar hj; https://twitter.com/ProfBunazar/status/1200870733196472320; None; None]
[2019-11-30 19:50:17+00:00; ProfBunazar; Alguém já viu “ O Irlandês”?; https://twitter.com/ProfBunazar/status/1200864646233759744; None; None]
[2019-11-30 16:29:17+00:00; ProfBunazar; @patmxrt Já caiu; https://twitter.com/ProfBunazar/status/1200814062378110976; None; None]
[2019-11-30 12:43:14+00:00; ProfBunazar; @ferjun_FLU É, foi bem isso que eu disse ...; https://twitter.com/ProfBunazar/status/1200757177604038656; None; None]
[2019-11-30 12:23:18+00:00; ProfBunazar; @rom1992 Não. Ele está excluindo de licitação.; https://twitter.com/ProfBunazar/status/1200752161644257281; None; None]
[2019-11-30 12:16:43+00:00; ProfBunazar; @Astronomiaum Eu já cancelei todos os compromissos que eu tinha no dia. Não perco por nada; https://twitter.com/ProfBunazar/status/1200750502125981696; None; None]
[2019-11-30 12:13:57+00:00; ProfBunazar; A defesa diz que não há base legal para condenação. O caso se tornou exemplo escolar de imprudência paterna. A culpa (agir descuidado) está gravada em vídeo https://t.co/gE9GtKSUPw; https://twitter.com/ProfBunazar/status/1200749808551694336; None; https://twitter.com/g1/status/1200746297101180928]
[2019-11-30 01:28:02+00:00; ProfBunazar; @madeiradez Hahahhaha; https://twitter.com/ProfBunazar/status/1200587255078887426; None; None]
[2019-11-30 01:27:28+00:00; ProfBunazar; @madeiradez Parolaccia; https://twitter.com/ProfBunazar/status/1200587115010113537; None; None]
