[2020-12-05 20:21:09+00:00; Miltonneves; Leão: sempre em forma. Poderia até voltar https://t.co/jiM979sguX; 9; 1; 70; 0; https://twitter.com/Miltonneves/status/1335318314445320196; None; None]
[2020-12-05 20:10:00+00:00; Miltonneves; @calilcomc @tresportes Vc é um corintiano enrustido. Sempre soube; 1; 0; 5; 0; https://twitter.com/Miltonneves/status/1335315508653068291; None; None]
[2020-12-05 20:05:48+00:00; Miltonneves; @FerWalison Acesse Que Levou Pepe. Pronto; 1; 0; 1; 0; https://twitter.com/Miltonneves/status/1335314449859796994; None; None]
[2020-12-05 20:04:41+00:00; Miltonneves; @AdailtonMansur Que Gabriel?; 0; 0; 0; 0; https://twitter.com/Miltonneves/status/1335314168342261760; None; None]
[2020-12-05 20:03:06+00:00; Miltonneves; O primeiro tricampeão paulista: Zé Carlos, Zito, Dalmo, Calvet, Mauro e LaérciO. Agachados: Dorval, Lima, Coutinho, ELE e Pepe! https://t.co/bfe7PTrgw7; 2; 2; 19; 0; https://twitter.com/Miltonneves/status/1335313769581436928; None; None]
[2020-12-05 20:00:16+00:00; Miltonneves; Talvez a mais linda foto de Sócrates! https://t.co/1m0I8WbBY3; 14; 1; 51; 0; https://twitter.com/Miltonneves/status/1335313058198118404; None; None]
[2020-12-05 19:59:28+00:00; Miltonneves; Qdo quem foi malufista juramentado  e virou comunista oportunista vai parar de amar esse assassino? https://t.co/NDD8UJfJkH; 30; 38; 311; 4; https://twitter.com/Miltonneves/status/1335312857022468097; None; None]
[2020-12-05 19:38:40+00:00; Miltonneves; Elas eram muito mais bonitas em minha FITNEVES WOMAN nos anos 60!https://t.co/tByLKHWorX; 6; 2; 68; 2; https://twitter.com/Miltonneves/status/1335307621641891841; None; None]
[2020-12-05 19:21:03+00:00; Miltonneves; Em clássico nordestino, Bahia encara o Ceará em Salvador - Notícias - Terceiro Tempo https://t.co/vsWUJ0j34b; 1; 3; 9; 0; https://twitter.com/Miltonneves/status/1335303186685431808; None; None]
[2020-12-05 19:01:40+00:00; Miltonneves; @zinomcu @mariliaruiz Ela é a melhor?; 1; 0; 1; 0; https://twitter.com/Miltonneves/status/1335298310349926406; None; None]
[2020-12-05 18:59:31+00:00; Miltonneves; @rubens_winther Não faço ostentação, mas consagração, como dizem em NYC. Lá não tem inveja e vc consegue se incomodar com 5 taças? Nem isso vc tem, além de ser inoportuno?; 2; 0; 10; 0; https://twitter.com/Miltonneves/status/1335297768009707521; None; None]
[2020-12-05 18:50:46+00:00; Miltonneves; @gugachacra @JornalOGlobo E o meu pobrezinho??? Nem leu, opinou ou exibiu mesmo de ladinho!!; 0; 0; 10; 0; https://twitter.com/Miltonneves/status/1335295566381715456; None; None]
[2020-12-05 18:49:27+00:00; Miltonneves; Cachorrinho de @denilsonshow depois dessa ficou 15 dias de castigo por “carona irregular”! https://t.co/Oqe3O0TtN9; 7; 7; 85; 3; https://twitter.com/Miltonneves/status/1335295237242105858; None; None]
[2020-12-05 18:46:43+00:00; Miltonneves; “Eu peço desculpas por tanto ter crucificado e pedido a demissão de Fernando Diniz,mas a culpa foi de @fapiperno q/tanto me influenciou na igreja durante o casamento dele. Hj vi que fui enganada pelo Piperno e Diniz para mim é Telê,Guardiola,Kloop e Rinnus Michels”!(@mariliaruiz); 8; 2; 86; 1; https://twitter.com/Miltonneves/status/1335294546104692737; None; None]
[2020-12-05 18:08:55+00:00; Miltonneves; Reunião familiar para comemorar ontem os 42 anos de meu Rafael em apto do Netto, o filho mais novo, na zona sul de SP. Deus te pague, Lenice! https://t.co/zaOckqORzn; 32; 6; 382; 1; https://twitter.com/Miltonneves/status/1335285036015382535; None; None]
[2020-12-05 17:13:03+00:00; Miltonneves; Com campanhas parecidas, Santos e Palmeiras se enfrentam na Vila: possíveis times - Notícias - Terceiro Tempo https://t.co/joiNCNaIJs; 1; 3; 18; 0; https://twitter.com/Miltonneves/status/1335270974720098305; None; None]
[2020-12-05 16:12:02+00:00; Miltonneves; F1: Verstappen destrona Mercedes e fica na frente no último treino livre em Sakhir - Notícias - Terceiro Tempo https://t.co/j4km6AgrJ8; 2; 3; 6; 0; https://twitter.com/Miltonneves/status/1335255620421701632; None; None]
[2020-12-05 16:09:49+00:00; Miltonneves; A canhota e a surda: gênios! https://t.co/o1wNz2rIhN; 9; 2; 241; 2; https://twitter.com/Miltonneves/status/1335255062730465280; None; None]
[2020-12-05 16:08:10+00:00; Miltonneves; Vamos ajudar, gente! https://t.co/sMTCJMFQ0r; 3; 17; 87; 2; https://twitter.com/Miltonneves/status/1335254648370966528; None; None]
