2019-12-29 13:16:46+00:00; miriamleitao; A entrevista com os maravilhosos Geraldo Carneiro e  @Antoniotorres61 https://t.co/DXRsFiUX6e; 18; 7; 46; 1; https://twitter.com/miriamleitao/status/1211274864188940288; None; None
2019-12-27 13:03:43+00:00; miriamleitao; Patrimônio dos banqueiros precisa entrar no roteiro de salvamento de bancos proposto pelo BC, que prevê até uso de dinheiro público em última instância. A coluna: https://t.co/UR9vkEZ2HD; 49; 21; 154; 3; https://twitter.com/miriamleitao/status/1210546804598693889; None; None
2019-12-27 00:32:01+00:00; miriamleitao; Meu programa vai começar com Antonio Torres e Geraldo Carneiro; 33; 3; 67; 2; https://twitter.com/miriamleitao/status/1210357633842069504; None; None
2019-12-26 21:26:19+00:00; miriamleitao; Uni as inteligências de @antoniotorres61 e Geraldo Carneiro no último programa do ano na ⁦@GloboNews⁩ . Ficou muito bom. Nesta quinta 21:30 https://t.co/roiHHgnSk7; 30; 9; 130; 3; https://twitter.com/miriamleitao/status/1210310897127874561; None; None
2019-12-26 17:12:21+00:00; miriamleitao; Nova regra para escolha de reitores revoga o slogan de campanha ‘Menos Brasília, Mais Brasil’ https://t.co/xSvNVYNdrS; 19; 20; 104; 1; https://twitter.com/miriamleitao/status/1210246986110251009; None; None
2019-12-26 17:11:16+00:00; miriamleitao; Até o próprio governo já admite que o desemprego vai recuar muito lentamente.  https://t.co/gI6kGdAIOQ; 88; 15; 122; 2; https://twitter.com/miriamleitao/status/1210246713669300224; None; None
2019-12-26 17:10:09+00:00; miriamleitao; O ano ambiental do Brasil superou as piores expectativas. Acreditava-se que o bom senso iria se impor num país que depende da boa imagem para ter mercados para o seu agronegócio. A coluna: https://t.co/4fQKJ9Z8FG; 38; 12; 91; 1; https://twitter.com/miriamleitao/status/1210246433632325632; None; None
2019-12-24 14:24:07+00:00; miriamleitao; Minha coluna de Natal. Uma Noite de Paz pra você e sua família. https://t.co/gdvPNTEoaJ; 58; 27; 263; 11; https://twitter.com/miriamleitao/status/1209479874836123648; None; None
2019-12-23 13:13:08+00:00; miriamleitao; Beijo nas duas https://t.co/pqVsLE4O22; 7; 0; 33; 1; https://twitter.com/miriamleitao/status/1209099622209261569; None; https://twitter.com/cassiagodoy/status/1209072263275974659
2019-12-22 21:43:53+00:00; miriamleitao; Moralidade como estratégia eleitoral | Míriam Leitão - O Globo https://t.co/ZEPCQv34qn; 49; 12; 89; 4; https://twitter.com/miriamleitao/status/1208865770010226688; None; None
2019-12-21 20:34:46+00:00; miriamleitao; Lutamos muito. Jogamos bem. Ganhamos tudo. Menos do Liverpool. Nao percamos as nossas vitorias. #Mengo ❤️🖤; 177; 57; 1572; 16; https://twitter.com/miriamleitao/status/1208485987443249152; None; None
