2020-12-09 17:31:00+00:00; rafinhabastos; Sim... voltamos! 2020 está salvo. #IlhaDeBarbados; 42381; 1308; ; ; https://www.instagram.com/p/CIleCZQHydf/
2020-12-07 03:29:38+00:00; rafinhabastos; Bolinho de aniversário com meus amores. 44 anos... aí vamos nós! Ps: Meu filho de máscara pra não contaminar o pai idoso.; 37372; 355; ; ; https://www.instagram.com/p/CIe0KVWHBZz/
2020-12-06 15:49:24+00:00; rafinhabastos; Marcius Melhiem, a vítima.; 112071; 4582; ; ; https://www.instagram.com/p/CIdj_AwnHq5/
2020-11-29 21:08:12+00:00; rafinhabastos; Sou um jovem que curte praia, ondas e muita azaração. Sou tio do Felipe Dilon. 🏖; 74254; 482; ; ; https://www.instagram.com/p/CIMG8k2nRrT/
2020-11-20 12:10:40+00:00; rafinhabastos; Vídeo registrado no Carrefour de Porto Alegre. O homem negro espancado, veio a falecer. Tudo isso no DIA DA CONSCIÊNCIA NEGRA. Esse é o Brasil que se comove com George Floyd e não percebe que essa merda acontece TODO DIA por aqui. O histórico de atrocidades do Carrefour no Brasil inclui ainda o espancamento de cachorro e a ocultação de cadáver com guarda-sol durante o expediente. Tem que boicotar essa merda. É o mínimo a se fazer. Ps: Já tem gente buscando a ficha da vítima pra justificar a agressão... como se houvesse uma explicação pro ocorrido.; 124445; 7201; ; ; https://www.instagram.com/p/CHz9Qywn6qm/
2020-11-07 22:51:13+00:00; rafinhabastos; Tio Biden nem assumiu a presidência e já tá provocando a boiada BR. 🇺🇸🇧🇷 Compartilha ae! @detonautas #2020election #election2020 #eleição2020; 36251; 1059; ; ; https://www.instagram.com/p/CHTpAVEnt9u/
2020-11-05 22:58:44+00:00; rafinhabastos; Informação de qualidade é aqui.; 42418; 1308; ; ; https://www.instagram.com/p/CHOgd5VH0xJ/
2020-10-28 19:54:11+00:00; rafinhabastos; Ps: ‘Este vídeo contém maconha’. Em breve, novos episódios do Chamado Central no YouTube. #videonha; 17440; 681; ; ; https://www.instagram.com/p/CG5kiLBnz6e/
2020-10-25 17:30:28+00:00; rafinhabastos; Adeus. 👋 👋 👋; 33284; 668; ; ; https://www.instagram.com/p/CGxmNHvn0RA/
2020-10-23 17:24:45+00:00; rafinhabastos; Há tempos meu 8 MINUTOS precisava de um up. Faz algumas semanas que tô trabalhando nesse projetinho aqui e fiquei feliz demais com o resultado. Quero começar a gravar na semana meu novo MAIS QUE 8 MINUTOS. Quem você quer ver nessa reestréia? Diz aqui nos comentários. Postei nos stories um tour pelo cenarinho.; 24177; 1992; ; ; https://www.instagram.com/p/CGsb9l3HsXE/
2020-10-18 19:07:03+00:00; rafinhabastos; Platéia de máscara, cadeiras vazias por causa do distanciamento (60% do teatro) e mesmo assim um baita show foda. Começando a escrever meu 4º solo. Tá pegando corpo (como o @maumeirelles). Prazer dividir o palco com um grande amigo e voltar a fazer o que eu amo. Nossos próximos shows: Dias 14/11, 21/11 e 5/12. Corre porque já estão quase todos lotados (link na bio).; 9278; 109; ; ; https://www.instagram.com/p/CGfvsZtHfwb/
2020-10-15 15:31:35+00:00; rafinhabastos; Se curtir, compartilha. 🙌🙌🙌; 35774; 1304; ; ; https://www.instagram.com/p/CGXohwqHuhK/
2020-10-12 19:50:43+00:00; rafinhabastos; Feliz dia das crianças!!! 🥳🎈🎉; 112186; 1412; ; ; https://www.instagram.com/p/CGQX7BqnZ8A/
