2018-12-27 18:53:43+00:00; rafinhabastos; @OtakuAlgum Hahehhshhshs; 121; 2; 0; 0; https://twitter.com/rafinhabastos/status/1078363313400995841; None; None
2018-12-27 06:12:50+00:00; rafinhabastos; 1º jogo da @nba. O próximo é com ele na quadra (nem q seja distribuindo toalha). https://t.co/Gnnb3m4CtU; 1486; 17; 16; 3; https://twitter.com/rafinhabastos/status/1078171828512849920; None; None
2018-12-26 16:53:13+00:00; rafinhabastos; Uma semana longe e óia o que os caras me fazem. Não dá pra confiar mesmo. @ilhadebarbados https://t.co/LzS7h2XkwL; 2011; 116; 52; 28; https://twitter.com/rafinhabastos/status/1077970599031406593; None; None
2018-12-25 20:47:56+00:00; rafinhabastos; Obrigado Dollynho! https://t.co/t1RB6ma45d; 399; 12; 43; 5; https://twitter.com/rafinhabastos/status/1077667279549038592; None; None
2018-12-24 16:00:18+00:00; rafinhabastos; Mano... https://t.co/FAtjLU2tCe; 4727; 114; 1113; 256; https://twitter.com/rafinhabastos/status/1077232509371535361; None; None
2018-12-23 20:19:53+00:00; rafinhabastos; @rmarcomini Uhrheeahshsha; 8; 0; 0; 0; https://twitter.com/rafinhabastos/status/1076935447165763584; None; None
2018-12-23 18:45:29+00:00; rafinhabastos; Fuck the police!!! 🚔 👮🏻 #VidaLoka https://t.co/K2rFK1ecft; 1763; 54; 156; 20; https://twitter.com/rafinhabastos/status/1076911690544041985; None; None
2018-12-23 18:43:30+00:00; rafinhabastos; @AqueleCaraYT @lgqueiroga @andrefran @demori Concordo com o tweet todo.; 17; 0; 0; 0; https://twitter.com/rafinhabastos/status/1076911188821323776; None; None
2018-12-23 16:06:02+00:00; rafinhabastos; @biancarothier Que horror isso! Nossa!; 33; 0; 0; 0; https://twitter.com/rafinhabastos/status/1076871564287791104; None; None
2018-12-22 23:53:46+00:00; rafinhabastos; Só por isso tenho redes sociais... https://t.co/Qx0PiPFAxy; 804; 28; 106; 7; https://twitter.com/rafinhabastos/status/1076626882181951488; None; None
2018-12-22 21:31:21+00:00; rafinhabastos; @lgqueiroga @andrefran @demori You have a point. Eu entendo. Não tinha visto por este lado... acho errado e meio babaca, mas ainda vejo exagero em proibir o bloqueio da rede do sujeito. Ainda é pessoal a conta... mas o debate é bacana.; 52; 7; 0; 2; https://twitter.com/rafinhabastos/status/1076591044047896576; None; None
2018-12-22 21:28:46+00:00; rafinhabastos; @andrefran @jacksrogerio @demori Uhahhehhahe; 16; 2; 0; 0; https://twitter.com/rafinhabastos/status/1076590394807406593; None; None
2018-12-22 21:00:30+00:00; rafinhabastos; @annaclaral Não é canal de comunicação oficial. Não vem do governo. Não é porque eu discordo do cara que vou ficar cerceando a liberdade dele de bloquear quem ele quiser.; 39; 6; 1; 0; https://twitter.com/rafinhabastos/status/1076583281263554560; None; None
2018-12-22 20:57:52+00:00; rafinhabastos; @farmacolucas Pelo amor de deus. Discordei de uma coisa. Não é pq penso diferente q ñ posso zoar exageros.; 48; 7; 0; 0; https://twitter.com/rafinhabastos/status/1076582616629944320; None; None
2018-12-22 20:56:23+00:00; rafinhabastos; @lais_csiqueira @andrefran @demori Tweet é informação oficial de onde? É uma rede social criada pela comunicação social do governo? Pelo amor de deus.; 129; 37; 1; 2; https://twitter.com/rafinhabastos/status/1076582242401558531; None; None
