2019-12-30 16:22:21+00:00; rafinhabastos; Desculpem meu silêncio. Estou sob a benção de vênus. https://t.co/Eq6Gc1AGNa; 3959; 153; 132; 22; https://twitter.com/rafinhabastos/status/1211683955252092929; None; None
2019-12-30 00:48:41+00:00; rafinhabastos; @bicmuller Aqui tb.; 5; 4; 0; 0; https://twitter.com/rafinhabastos/status/1211448988601212928; None; None
2019-12-29 21:15:22+00:00; rafinhabastos; @bicmuller No exato momento que li isso, meu filho: https://t.co/jSZF7Amn3j; 53; 3; 0; 0; https://twitter.com/rafinhabastos/status/1211395306237186048; None; None
2019-12-27 19:00:28+00:00; rafinhabastos; @cauemoura Sampa Crew; 1118; 32; 3; 0; https://twitter.com/rafinhabastos/status/1210636583457693696; None; None
2019-12-27 16:49:30+00:00; rafinhabastos; @Mederi Ta ridiculo isso. O YT ta fudendo tudo.; 7; 1; 0; 0; https://twitter.com/rafinhabastos/status/1210603622658129920; None; None
2019-12-27 15:56:58+00:00; rafinhabastos; @JeferSelva Nao é um video monetizado, campeão. Chupa.; 16; 2; 0; 0; https://twitter.com/rafinhabastos/status/1210590402111266818; None; None
2019-12-27 15:44:50+00:00; rafinhabastos; O mais louco ao ataque a Porta dos Fundos é que tem cristão celebrando. Sim... celebrando um ataque covarde que colocou vidas em risco. Isso não me parece muito cristão. 🤷🏻‍♂️; 20153; 955; 1791; 155; https://twitter.com/rafinhabastos/status/1210587348053962754; None; None
2019-12-27 06:04:34+00:00; rafinhabastos; @CarneiroLeon @duascoisa Os cara não quer ver.; 14; 2; 0; 0; https://twitter.com/rafinhabastos/status/1210441322567471104; None; None
2019-12-27 00:32:29+00:00; rafinhabastos; @Normose_ @hmcpedro Picharem a porta do meu bar em protesto da esquerda vc quer dizer? Não tô falando de levar processo.; 67; 19; 0; 6; https://twitter.com/rafinhabastos/status/1210357750154383361; None; None
2019-12-27 00:31:24+00:00; rafinhabastos; @engbadass É essa imbecilidade de TER que escolher lado que fode tudo. Quando os 2 estão falando bosta eu tenho que ter lado só pra brilhar? Não champz.; 594; 26; 8; 2; https://twitter.com/rafinhabastos/status/1210357476522115072; None; None
2019-12-27 00:28:36+00:00; rafinhabastos; @viniTasApollo Esquerda foi calar boquinha pichando a porta do meu bar. Não tô falando de processo judicial.; 0; 1; 0; 0; https://twitter.com/rafinhabastos/status/1210356773800026122; None; None
