[2020-12-04 21:30:14+00:00; renansantosmbl; Eita porra!!!! Valew!!!; https://www.instagram.com/p/CIZBcT8n1Ji/; 2695; 78]
[2020-12-02 17:46:25+00:00; renansantosmbl; Não creio! Consegui tirar uma foto com o tiktoker político @gutozacariasmbl . Quantos likes esse Cirilo Liberal merece?; https://www.instagram.com/p/CITePQAHHsH/; 1637; 42]
[2020-12-02 00:00:44+00:00; renansantosmbl; Arrasta aí e veja pq estou na lista negra do Paulo Palestra. Meme do maldito @willianrochapr; https://www.instagram.com/p/CIRkR_WnbTF/; 1176; 23]
[2020-12-01 22:21:50+00:00; renansantosmbl; ATENÇÃO: SOU UM DETRATOR.  Estou na lista de detratores do Paulo Guedes; no gabinete do GSI com Gen. Heleno; fui investigado por “lavar dinheiro” no YouTube com superchat.   O governo Bolsonaro é uma piada autoritária e tem mais é que se foder. “Ah mas o Paulo Guedes!” — outro bosta. Tá lá pra dourar a pílula de populista autoritário. E aumentar impostos, claro.; https://www.instagram.com/p/CIRY9jLHmyP/; 2263; 154]
[2020-11-30 00:33:26+00:00; renansantosmbl; Vídeo novo no canal: a cara dos Felipes Netos do Leblonistão é essa, e eu quero é que se f@$&#!; https://www.instagram.com/p/CIMebqgnYqV/; 1524; 33]
[2020-11-28 00:37:22+00:00; renansantosmbl; Evento maravilhoso em São José. Visual de bicheiro.... na foto com  @lucaspavanato @arthurmoledoval @lohanfuly; https://www.instagram.com/p/CIHVSsfnHud/; 1010; 34]
[2020-11-26 22:18:05+00:00; renansantosmbl; Time de Memeiros não tem mais o que fazer e fica me tirando. Como assim não tenho cabelo? @willianrochapr é um fdp!!!!; https://www.instagram.com/p/CIEgjsanWaT/; 3438; 132]
[2020-11-20 19:13:32+00:00; renansantosmbl; Foda-se; https://www.instagram.com/p/CH0uqwKny6g/; 1458; 33]
[2020-11-20 03:13:08+00:00; renansantosmbl; Sim, eu peguei COVID e fiquei em casa vendo Naruto. Pq? Não sei. Mas gostei. Esse Sasuke é um cara ótimo. Meio emo... mas mto bem construído.   Perfeito caso de anti-herói. Vale um vídeo; https://www.instagram.com/p/CHzAwj-nCKt/; 795; 54]
[2020-11-17 01:52:12+00:00; renansantosmbl; Foto de 2016, em Nova York, com @kimkataguiri e o grande Pedrão!; https://www.instagram.com/p/CHrJHOZHMr_/; 2304; 29]
[2020-11-06 21:32:50+00:00; renansantosmbl; Pois é; https://www.instagram.com/p/CHQ7ex_n0qP/; 1805; 89]
[2020-11-03 01:25:29+00:00; renansantosmbl; Poste no seu perfil em apoio ao @arthurmoledoval; https://www.instagram.com/p/CHHC7RsHa7_/; 543; 1]
[2020-10-18 16:59:11+00:00; renansantosmbl; Vagabundagem by 📸 @vitorliasch; https://www.instagram.com/p/CGfhD23HyXQ/; 1620; 113]
[2020-10-16 16:02:45+00:00; renansantosmbl; Cavaleiro de Touro sem chifre; https://www.instagram.com/p/CGaRAyIHCeD/; 729; 12]
