[2018-12-27 12:45:17+00:00; silviogrimaldo; Acabou de publicar uma foto https://t.co/OKyPdhFDvK; https://twitter.com/silviogrimaldo/status/1078270593613602816; None; None]
[2018-12-18 12:38:19+00:00; silviogrimaldo; A Folha tentou jogar católicos contra a primeira-dama, com uma historianha pra lá de fajuta. Mas o pior mesmo é ver conservadores que ainda acreditam na grande… https://t.co/mlqB5KcE5c; https://twitter.com/silviogrimaldo/status/1075007348215767040; None; None]
[2018-12-18 10:52:39+00:00; silviogrimaldo; @Alemaozao1990 É assim porque o Andreazza é o único discípulo intelectual do Reinaldo de que a história já teve notícia.; https://twitter.com/silviogrimaldo/status/1074980759763644416; None; None]
[2018-12-16 16:27:51+00:00; silviogrimaldo; Dando uma ajudinha para o sr. ministro. https://t.co/tPeU23n2pZ; https://twitter.com/silviogrimaldo/status/1074340339488444416; None; None]
[2018-12-16 16:04:10+00:00; silviogrimaldo; Esse é o Brasil que queremos. https://t.co/q1BdTDi71c; https://twitter.com/silviogrimaldo/status/1074334376618590208; None; https://twitter.com/ernestofaraujo/status/1074253831255535616]
[2018-12-12 09:48:50+00:00; silviogrimaldo; @JornalOGlobo Como não amá-lo?; https://twitter.com/silviogrimaldo/status/1072790371904692226; None; None]
[2018-12-08 19:24:02+00:00; silviogrimaldo; Acabou de publicar uma foto em Maringá https://t.co/IqtkJFPjA0; https://twitter.com/silviogrimaldo/status/1071485573276319755; None; None]
[2018-12-07 16:11:57+00:00; silviogrimaldo; @instmillenium O livro indicado pelo João Batista tem em português, sim, numa excelente edição da Vide Editorial, https://t.co/9nVgXqb0FP; https://twitter.com/silviogrimaldo/status/1071074845633458177; None; None]
[2018-11-25 01:50:31+00:00; silviogrimaldo; @panhoca, o mestre do #americanbbq  dando umas dicas pra galera. em Itapetininga https://t.co/d8g1lvrhTT; https://twitter.com/silviogrimaldo/status/1066509404529410048; None; None]
[2018-11-23 09:57:48+00:00; silviogrimaldo; Vamos defumar, nova era? https://t.co/VlWfm7T4nA; https://twitter.com/silviogrimaldo/status/1065907256452136961; None; None]
[2018-11-17 23:54:06+00:00; silviogrimaldo; Paulo Briguet, Fernando Capovilla e Padre Pio. Imaginem a conversa! https://t.co/mLvIEn4Rd1; https://twitter.com/silviogrimaldo/status/1063943393255059458; None; None]
[2018-11-05 23:29:56+00:00; silviogrimaldo; Esse pajubá vacabá, talkey?; https://twitter.com/silviogrimaldo/status/1059588657949093888; None; None]
[2018-11-04 03:31:00+00:00; silviogrimaldo; Saquê triple X do @bernardopkuster em Londrina https://t.co/kjlYNZ9hLr; https://twitter.com/silviogrimaldo/status/1058924548605788160; None; None]
[2018-10-30 23:52:28+00:00; silviogrimaldo; @flaviogordon https://t.co/TVD58QsrCG; https://twitter.com/silviogrimaldo/status/1057420001085480960; None; None]
[2018-10-25 01:26:25+00:00; silviogrimaldo; Quem são os intolerantes e violentos?  3 https://t.co/CAgJqr6677; https://twitter.com/silviogrimaldo/status/1055269316336205825; None; None]
[2018-10-25 01:25:39+00:00; silviogrimaldo; Quem são os intolerantes e violentos?  1 https://t.co/vj3xu5HqVI; https://twitter.com/silviogrimaldo/status/1055269121884110848; None; None]
[2018-10-25 01:24:04+00:00; silviogrimaldo; Quem são os intolerantes e violentos?  2 https://t.co/92Lfuh4p49; https://twitter.com/silviogrimaldo/status/1055268724754788352; None; None]
[2018-10-24 23:27:22+00:00; silviogrimaldo; https://t.co/NkiKMSFkX7; https://twitter.com/silviogrimaldo/status/1055239356263358465; None; None]
[2018-10-23 18:16:56+00:00; silviogrimaldo; Alô, Capitão https://t.co/ucEvRxwfA5 via @OdeCarvalho; https://twitter.com/silviogrimaldo/status/1054798845245341696; None; None]
[2018-10-23 18:12:33+00:00; silviogrimaldo; Não dá pra negar que foi gosto ver a feminarcótica surtar hoje no 
@programapanico, durante a entrevista com um maloqueiro lá; https://twitter.com/silviogrimaldo/status/1054797742202109952; None; None]
[2018-10-19 20:35:13+00:00; silviogrimaldo; Se o @jairbolsonaro levar o Mendonça Filho de volta para o MEC ele estará traindo seu eleitorado.
https://t.co/cFY5Y0G7kf; https://twitter.com/silviogrimaldo/status/1053384092677521408; None; None]
[2018-08-30 20:33:17+00:00; silviogrimaldo; Novo curso de Olavo de Carvalho https://t.co/EoxPMWLJhr; https://twitter.com/silviogrimaldo/status/1035264213130928133; None; None]
[2018-08-30 20:32:58+00:00; silviogrimaldo; O Triunfo do Marxismo Cultural Olavo de Carvalho, Cliff Kincaid e Jerry Kenney https://t.co/Ww3Or3skVE; https://twitter.com/silviogrimaldo/status/1035264136068956160; None; None]
[2018-08-30 20:32:52+00:00; silviogrimaldo; Cultura e personalidade – Aula 286 do Curso Online de Filosofia https://t.co/n1azXOiPpy; https://twitter.com/silviogrimaldo/status/1035264107044323329; None; None]
[2018-08-30 20:32:24+00:00; silviogrimaldo; Trecho da aula 287 https://t.co/HcXqzJTmzB; https://twitter.com/silviogrimaldo/status/1035263993005441024; None; None]
[2018-08-30 20:32:21+00:00; silviogrimaldo; Hangout com Olavo de Carvalho e Pe. Paulo Ricardo – Método Filosófico https://t.co/9si8YVDYPv; https://twitter.com/silviogrimaldo/status/1035263978434453511; None; None]
[2018-08-30 20:31:42+00:00; silviogrimaldo; Olavo de Carvalho e Matheus Faria https://t.co/ZgtSAotyn3; https://twitter.com/silviogrimaldo/status/1035263813694697474; None; None]
[2018-08-30 20:31:37+00:00; silviogrimaldo; Breve análise da atual situação política brasileira https://t.co/DVJP1FGctq; https://twitter.com/silviogrimaldo/status/1035263792354078721; None; None]
[2018-08-30 20:31:20+00:00; silviogrimaldo; O Brasil perante a nova ordem mundial https://t.co/GBvou2H6Bv; https://twitter.com/silviogrimaldo/status/1035263723093602305; None; None]
[2018-08-30 20:31:15+00:00; silviogrimaldo; vin https://t.co/AtutUFeA1u; https://twitter.com/silviogrimaldo/status/1035263703992750080; None; None]
[2018-08-30 20:30:48+00:00; silviogrimaldo; COF – Trecho da aula 322 https://t.co/xGGYqOV05B; https://twitter.com/silviogrimaldo/status/1035263590234841090; None; None]
[2018-08-30 20:30:43+00:00; silviogrimaldo; COF – Trecho da aula 323 https://t.co/2gZRMAu8kX; https://twitter.com/silviogrimaldo/status/1035263566427897858; None; None]
[2018-08-30 20:30:38+00:00; silviogrimaldo; COF – Trecho da aula 329 https://t.co/fQjMdQSfsV; https://twitter.com/silviogrimaldo/status/1035263548002369536; None; None]
[2018-08-30 20:30:20+00:00; silviogrimaldo; O que aconteceu e o que acontecerá com o Brasil https://t.co/i7YAsYboQJ; https://twitter.com/silviogrimaldo/status/1035263472857214978; None; None]
[2018-08-30 20:30:16+00:00; silviogrimaldo; COF – Trecho da aula 338 https://t.co/7NiR3EENyb; https://twitter.com/silviogrimaldo/status/1035263455174053888; None; None]
[2018-08-30 20:30:11+00:00; silviogrimaldo; OdeC – Palestra Maranhão https://t.co/bsrUZn6clI; https://twitter.com/silviogrimaldo/status/1035263432822542336; None; None]
[2018-08-30 20:29:47+00:00; silviogrimaldo; COF – Trecho da aula 376 https://t.co/Kpo3G0u9bM; https://twitter.com/silviogrimaldo/status/1035263333887344646; None; None]
[2018-08-30 20:29:42+00:00; silviogrimaldo; Politica e Cultura no Brasil https://t.co/92rLFDldfX; https://twitter.com/silviogrimaldo/status/1035263310520897536; None; None]
[2018-08-30 20:29:24+00:00; silviogrimaldo; SIMBOLISMO E ORDEM CÓSMICA https://t.co/yutwWbxH2L; https://twitter.com/silviogrimaldo/status/1035263235585454080; None; None]
[2018-08-30 20:29:20+00:00; silviogrimaldo; O que está acontecendo com o Brasil https://t.co/OIwMCBCpLV; https://twitter.com/silviogrimaldo/status/1035263221161181184; None; None]
[2018-08-30 20:28:26+00:00; silviogrimaldo; I Seminário Capixaba de Filosofia ‘Os EUA e a Nova Ordem Mundial’ https://t.co/mfEjR6W2MI; https://twitter.com/silviogrimaldo/status/1035262992563228672; None; None]
[2018-08-30 20:28:19+00:00; silviogrimaldo; O Ocidente Islamizado https://t.co/OaZRuPlbm8; https://twitter.com/silviogrimaldo/status/1035262965421887490; None; None]
[2018-08-30 20:27:47+00:00; silviogrimaldo; A Amnésia Histórica https://t.co/Pj2GyDiImn; https://twitter.com/silviogrimaldo/status/1035262827886465026; None; None]
[2018-08-30 20:27:43+00:00; silviogrimaldo; Palestra do livro O Jardim das Aflições https://t.co/YRAQqRxLJg; https://twitter.com/silviogrimaldo/status/1035262812229181440; None; None]
[2018-08-30 20:27:20+00:00; silviogrimaldo; Olavo de Carvalho e Carlos Nadalim https://t.co/1NLsVgjy33; https://twitter.com/silviogrimaldo/status/1035262717391724544; None; None]
[2018-08-30 20:27:16+00:00; silviogrimaldo; Curso Introdução à Filosofia Política de Olavo de Carvalho https://t.co/yEFmzJYFoe; https://twitter.com/silviogrimaldo/status/1035262697582014465; None; None]
[2018-08-30 20:26:53+00:00; silviogrimaldo; Olavo de Carvalho comenta Muita Retórica Pouca Literatura https://t.co/S6YXCrNC8B; https://twitter.com/silviogrimaldo/status/1035262602962718722; None; None]
[2018-08-30 20:26:48+00:00; silviogrimaldo; Flavia Tavares entrevista Olavo de Carvalho https://t.co/N5sgWU1CHh; https://twitter.com/silviogrimaldo/status/1035262581982806016; None; None]
[2018-08-30 20:26:19+00:00; silviogrimaldo; Segunda conversa de Olavo de Carvalho e Flavia Tavares https://t.co/NjnqnOXqqE; https://twitter.com/silviogrimaldo/status/1035262462164127744; None; None]
[2018-08-30 20:26:14+00:00; silviogrimaldo; Olavo de Carvalho – A educação brasileira https://t.co/bpUDK97Khd; https://twitter.com/silviogrimaldo/status/1035262441037463552; None; None]
[2018-08-30 20:26:10+00:00; silviogrimaldo; Olavo de Carvalho no programa da Joice Hasselmann https://t.co/3EdrqpTkTX; https://twitter.com/silviogrimaldo/status/1035262423966593024; None; None]
[2018-08-30 20:25:52+00:00; silviogrimaldo; Globalismo: Bastidores do Mundo | Debate entre Olavo de Carvalho e Paulo. R. de Almeida https://t.co/8bznqoesJL; https://twitter.com/silviogrimaldo/status/1035262345482842115; None; None]
[2018-08-30 20:25:45+00:00; silviogrimaldo; Olavo de Carvalho – Torres Gêmeas https://t.co/kVNKqLmN8V; https://twitter.com/silviogrimaldo/status/1035262317884309506; None; None]
[2018-08-30 20:25:38+00:00; silviogrimaldo; Olavo de Carvalho – Véia dos Gatos https://t.co/ThqKMGsFmF; https://twitter.com/silviogrimaldo/status/1035262288524206080; None; None]
[2018-08-30 20:25:21+00:00; silviogrimaldo; Olavo de Carvalho – Véia dos Gatos Parte II https://t.co/yzqgq9nvsx; https://twitter.com/silviogrimaldo/status/1035262217602707457; None; None]
[2018-08-30 20:25:16+00:00; silviogrimaldo; Olavo de Carvalho – Nunca houve democracia no Oriente Médio https://t.co/rzNihRxEpM; https://twitter.com/silviogrimaldo/status/1035262197302276097; None; None]
[2018-08-30 20:25:12+00:00; silviogrimaldo; Olavo de Carvalho – Ideologia de gênero e dissonância cognitiva https://t.co/iLWia455eM; https://twitter.com/silviogrimaldo/status/1035262181024116736; None; None]
[2018-08-30 20:24:45+00:00; silviogrimaldo; Olavo de Carvalho – Aviso aos ingressantes do Seminário de Filosofia https://t.co/gRWAol0wVZ; https://twitter.com/silviogrimaldo/status/1035262066892976130; None; None]
[2018-08-30 20:24:41+00:00; silviogrimaldo; Olavo de Carvalho – Censura Total https://t.co/qpjo9iFFsc; https://twitter.com/silviogrimaldo/status/1035262049079701504; None; None]
[2018-08-30 20:23:37+00:00; silviogrimaldo; Olavo de Carvalho – Aula 432 do Curso Online de Filosofia https://t.co/2n7pSa0JH9; https://twitter.com/silviogrimaldo/status/1035261781982236677; None; None]
[2018-08-30 20:23:33+00:00; silviogrimaldo; Olavo de Carvalho – Terceiro Encontro Europeu do COF (Portugal) https://t.co/xY1VrNqw7f; https://twitter.com/silviogrimaldo/status/1035261762906386433; None; None]
[2018-08-30 20:23:16+00:00; silviogrimaldo; Olavo de Carvalho – Entrevista com Stefan Basil Molyneux https://t.co/kZNKh9zEvo; https://twitter.com/silviogrimaldo/status/1035261692886667264; None; None]
[2018-08-30 20:23:11+00:00; silviogrimaldo; Olavo de Carvalho – Conversa com Luis Philippe de Orleans e Bragança https://t.co/vtyZKK6JYQ; https://twitter.com/silviogrimaldo/status/1035261670497681408; None; None]
[2018-08-30 20:22:49+00:00; silviogrimaldo; Olavo de Carvalho – URSAL, doze anos depois https://t.co/vCJBlplpPb; https://twitter.com/silviogrimaldo/status/1035261578898235393; None; None]
[2018-08-30 20:22:42+00:00; silviogrimaldo; Olavo de Carvalho – Ditadura escancarada e obscena https://t.co/aQ4ThwxCeM; https://twitter.com/silviogrimaldo/status/1035261552373452800; None; None]
[2018-08-30 20:22:26+00:00; silviogrimaldo; Olavo de Carvalho – Sacanagem universal https://t.co/YsVGM6DMje; https://twitter.com/silviogrimaldo/status/1035261481636560897; None; None]
[2018-08-30 20:22:21+00:00; silviogrimaldo; Olavo de Carvalho – Sacanagem universal II https://t.co/NjKcclsCJX; https://twitter.com/silviogrimaldo/status/1035261461164171265; None; None]
[2018-08-30 20:21:31+00:00; silviogrimaldo; Olavo de Carvalho – Jumentice universitária https://t.co/9hAZC1OnHh; https://twitter.com/silviogrimaldo/status/1035261252619132928; None; None]
[2018-08-30 20:21:29+00:00; silviogrimaldo; Olavo de Carvalho – Jumentice universitária II https://t.co/mgWPmcAzNB; https://twitter.com/silviogrimaldo/status/1035261244243095558; None; None]
[2018-08-30 20:21:21+00:00; silviogrimaldo; Olavo de Carvalho – Como salvar a educação no Brasil https://t.co/LxBHQssqrn; https://twitter.com/silviogrimaldo/status/1035261210604830720; None; None]
[2018-08-30 20:21:12+00:00; silviogrimaldo; Olavo de Carvalho – A maior fraude religiosa de todos os tempos https://t.co/ALLooT1vKW; https://twitter.com/silviogrimaldo/status/1035261171992064001; None; None]
[2018-08-30 18:37:18+00:00; silviogrimaldo; O branco cristão, europeu ou americano... https://t.co/hrPJapcV35; https://twitter.com/silviogrimaldo/status/1035235026068299777; None; None]
