[2020-12-05 01:36:28+00:00; pavinatto; Quem janta seus males espanta. #friday #fridaymood #fridayvibes #fridaynight #dinner; https://www.instagram.com/p/CIZdntSHBtt/; 1702; 55]
[2020-12-04 19:30:23+00:00; pavinatto; “São Paulo pode ser perturbadora como em Sampa e opressora como em Trem das Onze, mas também sedutora como em Sampa e divertida como em Trem das Onze.” (ROBERTO POMPEU DE TOLEDO)  #sampa #sp #saopaulo #edificiomartinelli #picture #pic #pictureoftheday #picoftheday #picofday #album #pavinatto #cidade #centro #historia #coragem; https://www.instagram.com/p/CIYzuhMnTwX/; 1203; 18]
[2020-12-03 21:12:18+00:00; pavinatto; Hora da academia... e nóis tá como?; https://www.instagram.com/p/CIWakkCnpoK/; 533; 13]
[2020-12-03 11:35:46+00:00; pavinatto; Há 3 anos... Miss u girls! #tbt #tbt❤️ #tbt🔙📸 #tbt🔙 #throwbackthursday #pic #picture #picoftheday #pictureoftheday #rosemacgowan #pavinatto #anapaulajunqueira #india #delhi #delhigram; https://www.instagram.com/p/CIVYnb-HPue/; 860; 7]
[2020-12-01 21:28:12+00:00; pavinatto; do Governo Bolsonaro. Em breve, nos cinemas (se o Covas não fechar).; https://www.instagram.com/p/CIRS0tYHVr9/; 968; 25]
[2020-12-01 19:56:23+00:00; pavinatto; É com muito orgulho que recebo uma das 50 comendas de Detrator Oficial Monitorado pelo Governo Federal. #pavinatto #detrator #governo #governofederal #brasil #brasil🇧🇷 #bolsonaro #honra #titulo; https://www.instagram.com/p/CIRIURfHiMW/; 1269; 82]
[2020-12-01 12:40:20+00:00; pavinatto; Há 15 anos, eu estava com Paulo Autran numa avant-première aqui em São Paulo. Um jornalista nos interrompeu (ele fumava no saguão do Teatro) e perguntou porquê ele fumava tanto. “Fumo porque sou burro”, disse o maior dos nossos atores. #pavinatto #pauloautran #cigarro #fumar #ator #pic #pictureoftheday #picofday #picture #cigarette #cigarettes #teatro #saopaulo; https://www.instagram.com/p/CIQWaj6Hf13/; 1738; 41]
[2020-11-27 23:23:46+00:00; pavinatto; Sextou e nóis tá como?; https://www.instagram.com/p/CIHM2j4nzlP/; 717; 28]
[2020-11-26 23:09:52+00:00; pavinatto; None; https://www.instagram.com/p/CIEmfBLHMbn/; 326; 15]
[2020-11-22 18:10:32+00:00; pavinatto; Armadilha de satanás com @paulot; https://www.instagram.com/p/CH5xCW5H5fP/; 844; 42]
[2020-11-21 22:30:01+00:00; pavinatto; @tadeuhiroaki; https://www.instagram.com/p/CH3p7s4n0II/; 276; 9]
[2020-11-20 20:21:53+00:00; pavinatto; Madrinhas X Afilhadas; https://www.instagram.com/p/CH02fYgHnuY/; 1069; 24]
[2020-11-19 21:37:52+00:00; pavinatto; Saudades dos meus 30 anos... #tbt #tbt❤️ #tbt🔙📸 #throwbackthursday; https://www.instagram.com/p/CHyaY_yHkWA/; 1948; 45]
[2020-11-17 23:45:31+00:00; pavinatto; Desculpem a demora na manifestação. Ontem me senti mal, com febre, dor no corpo. Fui ao hospital, fiquei com receio de COVID, passei a noite lá. Fiz exame, estou bem e já to em casa. Muito obrigado a todos os meus apoiadores. Fizemos uma campanha limpa, livre de dinheiro público e bastante propositiva. Quero agradecer meus voluntários apoiadores, minha família destes últimos 45 dias. Vocês são sensacionais e moram no meu coração. Último aviso: é só o começo com certeza.; https://www.instagram.com/p/CHtfaOXn3H-/; 2686; 128]
[2020-11-16 15:36:18+00:00; pavinatto; Agradeço as 3.298 pessoas que acreditaram em mim depositando seu voto de confiança.  Saio renovado desta eleição, que é a minha primeira, com muita vontade de fazer por minha Cidade, Estado, País! Certo que minhas propostas para as crianças, para a fiscalização e controle das manobras que até hoje só sacrificaram nossos cidadãos e para a Dignidade Humana.  Obrigado pelo apoio nessa caminhada, da campanha das mais baratas que houve. Conto com seu voto futuro.  Um grande abraço   Pavinatto; https://www.instagram.com/p/CHqCoNcnHKX/; 3616; 271]
[2020-11-14 23:13:11+00:00; pavinatto; Propostas do Pavi para São Paulo  Vote 5️⃣1️⃣ 111  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador; https://www.instagram.com/p/CHlr9wEnexv/; 219; 22]
