"Abraham_Weintraub,AbrahamWeint"
"Ailton_Benedito,AiltonBendito"
"Alberto_Benett,Benett_"
"Alexandre_Garcia,alexandregarcia"
"Allan_dos_Santos,allanldsantos"
"Ana_Paula_Henkel,AnaPaulaVolei"
"Antonio_Prata,antonioprata" 
"Arthur_do_Val,arthurmoledoval"
"Arthur_Weintraub,ArthurWeint"
"Atila_Iamarino,oatila"
"Augusto_Nunes,augustosnunes"
"Bia_Kicis,Biakicis"
"Brunno_Melo,brunnomelocbn"
"Caio_Coppolla,BoletimCoppolla"
"Camila_Abdo,camila_abdo"
"Carla_Zambelli,CarlaZambelli38"
"Carlos_Bolsonaro,CarlosBolsonaro"
"Carol_Pires,pirescarol"
"Clarice_Falcao,euclarice" 
"Claudio_Dantas,claudioedantas"
"Claudio_Ferraz,claudferraz"
"Conrado_Hubner,conradohubner"
"Cristiana_Lobo,cristilobo"
"Cristiano_Zanin_Martin,czmartins"
"Cynara_Menezes,cynaramenezes"
"Damares_Alves,DamaresAlves"
"Danilo_Gentili,DaniloGentili"
"Debora_Diniz,Debora_D_Diniz"
"Deltan_Dallagnol,deltanmd"
"Deltan_Dallagnol,deltanmd"
"Douglas_Garcia,DouglasGarcia"
"Eduardo_Bolsonaro,BolsonaroSP"
"Eduardo_Moreira,eduardomoreira"
"Eliane_Brum,brumelianebrum"
"emicida,emicida"
"Emir_Sader,emirsader"
"Evaristo_Costa,evaristocosta"
"Fabio_Talhari,fabiotalhari"
"Felipe_Moura,FMouraBrasil"
"Felipe_Neto,felipeneto"
"Fernando_Holiday,FernandoHoliday"
"Filipe_Altamir,filipealtamir"
"Filipe_Martins,filgmartin"
"Flavio_Bolsonaro,FlavioBolsonaro"
"Flavio_Martins,sigaoflavio"
"Flavio_VM_Costa,flaviovmcosta"
"Gabriela_Prioli,GabrielaPrioli"
"General_Heleno,gen_heleno" 
"General_Villas_Boas,Gen_VillasBoas"
"George_Marques,GeorgMarques"
"Gilmar_Mendes,gilmarmendes"
"Glenn_Greenwald,ggreenwald" 
"Gregorio_Duvivier,gduvivier"
"Guga_Chacra,gugachacra"
"Guilherme_Caetano,guiicaetano"
"Guilherme_Fiuza,gfiuza_oficial"
"Guilherme_Macalossi,gtmacalossi"
"Gustavo_Nogy,gustavonogy"
"Gustavo_Victorino,victorinogustav"
"Hamilton_Mourao,GeneralMourao"
"Hildegard_Angel,hilde_angel"
"Igor_Natusch,igornatusch"
"Iza,IzaReal"
"Jair_Bolsonaro,jairbolsonaro"
"Janaina_Paschoal,JanainaDoBrasil"
"Jean_Wyllys,jeanwyllys_real"
"Jesse_Souza,jessesouzaecht"
"Joao_Carvalho,assimdisseojoao"
"Joao_de_Andrade_Neto,jdeandradeneto"
"Joao_Doria,jdoriajr"
"Joao_Romero,joao_p_romero"
"Joaquim_Barbosa,joaquimboficial"
"Joaquin_Teixeira,JoaquinTeixeira"
"Joel_Pinheiro,JoelPinheiro85"
"JoiceHasselmann,joicehasselmann"
"Jones_Manoel,_makavelijones"
"Jose_de_Abreu,zehdeabreu" 
"Jose_Fernandes_Junior,JosFernandesJr2"
"Jose_Roberto_Guzzo,jrguzzofatos"
"Kim_Kataguiri,kimpkat"
"Kim_Paim,kimpaim"
"Laura_Carvalho,lauraabcarvalho"
"Leo_Jaime,LeoJaime" 
"Leo_Lins,LeoLins" 
"Leonardo_Sakamoto,blogdosakamoto"
"Liliane_Ventura,lilianeventura"
"Lobao,lobaoeletrico"
"Lola_Aronovich,lolaescreva"
"Lucas_de_Aragao,LucasdeAragao"
"Lucas_Paulino,lucasapaulino"
"Luciano_Hang,luciano_hang"
"Luciano_Huck,LucianoHuck"
"Luis_Augusto_Simon,allansimon91"
"Luis_Lacombe,luislacombereal"
"Luis_Nassif,luisnassif"
"Luis_Roberto_Barroso,LRobertoBarroso"
"Luiz_Philippe_Braganca,lpbragancabr"
"Lula_Falcao,lulafalcao"
"Malu_Gaspar,malugaspar"
"Marcelo_Adnet,MarceloAdnet" 
"Marcelo_Bretas,mcbretas"
"Marcelo_D2,Marcelodedois" 
"Marcelo_Freixo,MarceloFreixo"
"Marcelo_Lins,MarceloLins68"
"Marcelo_Tas,mascelotas"
"Marcia_Denser,mdenser"
"Marcio_Porchmann,MarcioPochmann"
"Marco_Antonio_Villa,VillaMarcovilla"
"Marcos_Botelho,marcosbotelho"
"Marcos_Mion,marcosmion"
"Mariana_Brito_Soares,marianabritosl"
"Matheus_Hector,mathector"
"Mauricio_Bunazar,profbunazar"
"May_Almeida,mayrannealmeida"
"Milton_Neves,Miltonneves"
"Miriam_Leitao,miriamleitao"
"Modesto_Carvalhosa,CarvalhosaMo"
