

"Abraham_Weintraub,abrahamweintraub"
"Alex_Silva,blogalexsilva"
"Alexandre_Garcia,alexandregarcia.br"
"Allan_dos_Santos,allansantosbr"
"Ana_Paula_Henkel,anapaulavolei"
"Arthur_do_Val,arthurmoledoval"
"Arthur_Weintraub,arthurweint"
"Atila_Iamarino,oatila"
"Augusto_Nunes,augustosnunesoficial"
"Barbara_Zambaldi_Destefani,teatualizeioficial"
"Bernardo_Kuster,bernardopkuster"
"Bia_Kicis,biakicis"
"Brunno_Melo,brunnomelocbn"
"Caio_Coppolla,boletimcoppolla"
"Camila_Abdo,caabdo"
"Carla_Zambelli,carla.zambelli"
"Carlos_Bolsonaro,carlosbolsonaro"
"Carol_Pires,pirescarol"
"Clarice_Falcao,clarafalcao" 
"Claudio_Dantas,claudiodantassequeira"
"Cristiana_Lobo,cristianalobo"
"Cristiano_Zanin_Martin,cristianozaninmartins"
"Cynara_Menezes,socialistamorena"
"Damares_Alves,damaresalvesoficial1"
"Danilo_Gentili,danilogentili"
"Debora_Diniz,debora_d_diniz"
"Deltan_Dallagnol,deltandallagnol"
"Deltan_Dallagnol,deltandallagnol"
"Douglas_Garcia,douglasgarciaspc"
"Eduardo_Bolsonaro,bolsonarosp"
"Eduardo_Moreira,eduardomoreirareal"
"Eliane_Brum,brumelianebrum"
"emicida,emicida"
"Evaristo_Costa,evaristocostaoficial"
"Fabio_Talhari,vidadestra"
"Felipe_Moura,felipemourabrasil"
"Felipe_Neto,felipeneto"
"Fernando_Holiday,fernandoholiday"
"Filipe_Altamir,filipealtamir"
"Filipe_Martins,filgmartin"
"Flavio_Bolsonaro,flaviobolsonaro"
"Flavio_Martins,sigaoflavio"
"Gabriela_Prioli,gabrielaprioli"
"General_Heleno,genheleno" 
"Glenn_Greenwald,glenn.11.greenwald" 
"Gregorio_Duvivier,gduvivier"
"Guga_Chacra,gugachacra"
"Guilherme_Fiuza,guilhermefiuzaoficial"
"Guilherme_Macalossi,guilhermemacalossi"
"Gustavo_Nogy,gustavonogy"
"Hamilton_Mourao,vprhamiltonmourao"
"Hildegard_Angel,blogdahilde"
"Iza,iza"
"Jair_Bolsonaro,jairmessiasbolsonaro"
"Janaina_Paschoal,janainacpaschoal"
"Jean_Wyllys,jeanwyllys_real"
"Jesse_Souza,jesse_souza1960"
"Joao_Carvalho,assimdisseojoao"
"Joao_Doria,jdoriajr"
"Joaquin_Teixeira,joaquimteixeiraoficialc"
"Joel_Pinheiro,joelpinheiro85"
"JoiceHasselmann,joicehasselmannoficial"
"Jones_Manoel,jones.manoel"
"Jose_de_Abreu,josedeabreu" 
"Jose_Fernandes_Junior,portaldojose"
"Jose_Roberto_Guzzo,jrguzzofatos"
"Kim_Kataguiri,kimkataguiri"
"Kim_Paim,kimpaim"
"Laura_Carvalho,laurabdecarvalho"
"Leo_Jaime,leojaimeoficial" 
"Leo_Lins,leolins" 
"Leonardo_Sakamoto,leosakamoto"
"Liliane_Ventura,lilianeventuraoficial"
"Lobao,lobaow"
"Lucas_de_Aragao,lucasdearagao"
"Lucas_Paulino,lucasapaulino"
"Luciano_Hang,luciano.hang"
"Luciano_Huck,lucianohuck"
"Luis_Augusto_Simon,blogdomenon"
"Luis_Lacombe,luis.lacombe"
"Luis_Nassif,jornalggn"
"Luis_Roberto_Barroso,lrobertobarroso"
"Luiz_Philippe_Braganca,lpbragancabr"
"Marcelo_Adnet,marceloadnet0" 
"Marcelo_Bretas,mcbretas"
"Marcelo_D2,marcelod2" 
"Marcelo_Freixo,marcelofreixo"
"Marcelo_Tas,marcelotas"
"Marcia_Denser,marciadenser"
"Marco_Antonio_Villa,marcoantoniovillaoficial"
"Marcos_Botelho,marcosbotelho"
"Marcos_Mion,marcosmion"
"Matheus_Hector,matheushector"
"Mauricio_Bunazar,profbunazar"
"Milton_Neves,miltonneves"
"Monica_Bergamo,monica_bergamo"
"Nando_Moura,nandomoura_oficial_101"
"Nathalia_Rodrigues,nathfinancas"
"Nildo_Ouriques,nildopsol"
"Octavio_Guedes,ocguedes"
"Olavo_de_Carvalho,opropriolavodecarvalho"
"Olavo_de_Carvalho,opropriolavodecarvalho"
"Oscar_Filho,oscarfilho"
"Osmar_Terra,terra.osmar"
"Paulo_Coelho,paulocoelho"
"Pedro_Bial,pedrobial"
"Pedro_Menezes,p_dromenezes"
"Rachel_Sheherazade,rachelsherazade"
"Rafinha_Bastos,rafinhabastos"
"Rafinha_Bastos,rafinhabastos"
"Reinaldo_Azevedo,reinaldoazevedo.com.br"
"Renan_Santos,renansantosmbl"
"Ricardo_Amorim,ricamorim"
"Rodrigo_Constantino,rodrigoconstantino1976"
"Roger_Rocha_Moreira,roxmo"
"Rubens_Valente,rubensvalente"
"Sabrina_Fernandes,teseonze"
"Sergio_Camargo,sergiodireita"
"Sergio_Moro,sf_moro"
"Silas_Malafaia,silasmalafaia"
"Silvio_Almeida,silviolual"
"Silvio_Grimaldo,silviogrimaldo"
"Tiago_Luis_Pavinatto,pavinatto"
"Tome_Abduch,tome_abduch"
"Vera_Magalhaes,veramagalhaesjornalista"
"Virginia,mulhertamarinda"
"Winston_Ling,WinstonLing"
"Xico_Sa,xicosa"
